prompt,output
"Tế bào não có di chuyển được không? Ý tôi là sự di cư đường dài (tốt nhất là chỉ trong não bộ).
","Câu hỏi tương đối rộng và người ta nên lưu ý rằng não không chỉ bao gồm các tế bào thần kinh, mà còn cả tế bào thần kinh đệm (tế bào hỗ trợ) và tế bào gốc thần kinh tiền phân bào. Hơn nữa, như các đồng nghiệp-nhà khoa học quan trọng đã chỉ ra, giai đoạn phát triển rất quan trọng, vì não phôi đang phát triển rất khác với não trưởng thành.
Tuy nhiên, sau khi sàng lọc qua nhiều ấn phẩm khác nhau, câu trả lời cho câu hỏi thực sự đơn giản đáng kể: Có, các tế bào não di chuyển.
Trong não trưởng thành, các tế bào thần kinh đệm di chuyển trong não (Klämbt, 2009). Tế bào thần kinh đệm tham gia vào vô số chức năng, nhưng một ví dụ đáng chú ý về các tế bào thần kinh đệm di chuyển là các tế bào oligodendrocyte di chuyển những khoảng cách tương đối dài để tìm các sợi trục mục tiêu của chúng, nơi chúng quấn quanh để tạo thành vỏ myelin cách điện (Tsai và Miller, 2002).
Tế bào gốc thần kinh di chuyển trên những khoảng cách dài để đáp ứng với tổn thương (Imitola et al., 2004) và chúng di chuyển từ các vị trí tế bào gốc cụ thể (ví dụ: vùng hải mã và vùng dưới thất) đến các vùng khác (Clarke, 2003).
Các tế bào thần kinh hậu phân bào, nhưng chưa biệt hóa đã được chứng minh là di chuyển trong não trưởng thành ở cá (Scott et al., 2012), và ở động vật có vú và linh trưởng không phải người cũng vậy (Sawada et al., 2011).
Không có gì đáng ngạc nhiên, tế bào thần kinh đệm, tế bào gốc và tế bào thần kinh cũng di chuyển trong quá trình phát triển phôi thai. Đáng chú ý nhất, các tế bào thần kinh hậu phân bào được định sẵn để thực hiện các chức năng ngoại vi phải di chuyển trên những khoảng cách tương đối dài từ mào thần kinh đến các vị trí mục tiêu của chúng (Neuroscience, 2nd ed, Neuronal Migration).
"
"Trong bài giảng về hệ thống máy tính, chúng tôi đã được giới thiệu về bộ xử lý MIPS. Nó đã được (tái) phát triển trong suốt học kỳ và thực tế khá dễ hiểu. Nó sử dụng thiết kế RISC, tức là các lệnh cơ bản của nó được mã hóa đồng đều và chỉ có một vài lệnh để giữ cho các dây đơn giản.
Người ta đã đề cập rằng CISC tuân theo một triết lý khác. Tôi đã xem qua tập lệnh x86 một cách sơ bộ và bị sốc. Tôi không thể hình dung được làm thế nào mà ai đó lại muốn xây dựng một bộ xử lý sử dụng một tập lệnh phức tạp như vậy!
Vì vậy, tôi cho rằng phải có những lý lẽ tốt để giải thích tại sao phần lớn thị trường bộ xử lý lại sử dụng kiến trúc CISC. Chúng là gì?
","Có một xu hướng lịch sử chung.
Ngày xưa, bộ nhớ nhỏ, và do đó các chương trình buộc phải nhỏ. Ngoài ra, trình biên dịch không thông minh lắm, và nhiều chương trình được viết bằng assembler, vì vậy việc có thể viết một chương trình bằng một vài lệnh được coi là một điều tốt. Các pipeline lệnh đơn giản, và bộ xử lý lấy từng lệnh một để thực thi. Dù sao thì bộ máy bên trong bộ xử lý cũng khá phức tạp; việc giải mã các lệnh không được coi là một gánh nặng lớn.
Trong những năm 1970, các nhà thiết kế CPU và trình biên dịch nhận ra rằng việc có các lệnh phức tạp như vậy không thực sự hữu ích. Thật khó để thiết kế các bộ xử lý mà trong đó các lệnh đó thực sự hiệu quả, và thật khó để thiết kế các trình biên dịch thực sự tận dụng được các lệnh này. Diện tích chip và độ phức tạp của trình biên dịch tốt hơn nên được dành cho các mục tiêu chung hơn như nhiều thanh ghi đa năng hơn. Bài viết Wikipedia về RISC giải thích điều này chi tiết hơn.
MIPS là kiến ​​trúc RISC tối thượng, đó là lý do tại sao nó được dạy rất thường xuyên.
Họ x86 có một chút khác biệt. Ban đầu nó là một kiến ​​trúc CISC dành cho các hệ thống có bộ nhớ rất nhỏ (không có chỗ cho các lệnh lớn), và đã trải qua nhiều phiên bản kế tiếp nhau. Tập lệnh x86 ngày nay không chỉ phức tạp vì nó là CISC, mà còn vì nó thực sự là một 8088 với một 80386 với một Pentium có thể với một bộ xử lý x86_64.
Trong thế giới ngày nay, RISC và CISC không còn là sự phân biệt trắng đen như trước đây nữa. Hầu hết các kiến ​​trúc CPU đã phát triển thành các sắc thái xám khác nhau.
Về phía RISC, một số biến thể MIPS hiện đại đã thêm các lệnh nhân và chia, với một mã hóa không đồng nhất. Bộ xử lý ARM đã trở nên phức tạp hơn: nhiều bộ xử lý trong số đó có một tập lệnh 16-bit gọi là Thumb ngoài các lệnh 32-bit ""gốc"", chưa kể đến Jazelle để thực thi các lệnh JVM trên CPU. Bộ xử lý ARM hiện đại cũng có các lệnh SIMD cho các ứng dụng đa phương tiện: một số lệnh phức tạp vẫn có ích sau cùng.
Về phía CISC, tất cả các bộ xử lý gần đây đều ở một mức độ nào đó là RISC bên trong. Chúng có microcode để xác định tất cả các macro lệnh phức tạp này. Sự phức tạp tuyệt đối của bộ xử lý khiến việc thiết kế mỗi mô hình mất vài năm, ngay cả với thiết kế RISC, với số lượng lớn các thành phần, với pipeline và thực thi dự đoán và những thứ tương tự.
Vậy tại sao các bộ xử lý nhanh nhất vẫn là CISC bên ngoài? Một phần trong đó, trong trường hợp của họ x86 (32-bit và 64-bit), là khả năng tương thích lịch sử. Nhưng đó không phải là tất cả. Vào đầu những năm 2000, Intel đã cố gắng thúc đẩy kiến ​​trúc Itanium. Itanium là một trường hợp cực đoan của các lệnh phức tạp (mặc dù không thực sự là CISC: thiết kế của nó đã được gọi là EPIC). Nó thậm chí còn loại bỏ ý tưởng lỗi thời về việc thực thi các lệnh theo trình tự: tất cả các lệnh được thực thi song song cho đến rào cản tiếp theo. Một trong những lý do khiến Itanium không thành công là vì không ai, dù ở Intel hay ở nơi khác, có thể viết một trình biên dịch tốt cho nó. Bây giờ, một bộ xử lý tuần tự chủ yếu tốt như x86_64, đó là thứ chúng ta hiểu.
"
"Xem tệp dạng bảng như CSV từ dòng lệnh, có cuộn ngang và dọc thì tuyệt vời.
","Chắc chắn, hãy xem qua csvkit. Nó cung cấp một bộ công cụ tuân thủ triết lý UNIX (nghĩa là chúng nhỏ, đơn giản, mục đích đơn và có thể kết hợp).

Đây là một ví dụ trích xuất mười thành phố đông dân nhất ở Đức từ cơ sở dữ liệu Maxmind World Cities miễn phí và hiển thị kết quả ở định dạng dễ đọc trên giao diện điều khiển:
```$ csvgrep -e iso-8859-1 -c 1 -m ""de"" worldcitiespop | csvgrep -c 5 -r ""\d+""
  | csvsort -r -c 5 -l | csvcut -c 1,2,4,6 | head -n 11 | csvlook
-----------------------------------------------------
|  line_number | Country | AccentCity | Population  |
-----------------------------------------------------
|  1           | de      | Berlin     | 3398362     |
|  2           | de      | Hamburg    | 1733846     |
|  3           | de      | Munich     | 1246133     |
|  4           | de      | Cologne    | 968823      |
|  5           | de      | Frankfurt  | 648034      |
|  6           | de      | Dortmund   | 594255      |
|  7           | de      | Stuttgart  | 591688      |
|  8           | de      | Düsseldorf | 577139      |
|  9           | de      | Essen      | 576914      |
|  10          | de      | Bremen     | 546429      |
-----------------------------------------------------
```

Csvkit không phụ thuộc vào nền tảng vì nó được viết bằng Python.
"
"Các orbital Slater (STO) được coi là chính xác hơn các orbital Gaussian (GTO) trong các tính toán QM nguyên tử và phân tử vì - trong số những lý do khác - chúng suy giảm theo $e^{-\alpha r}$ khi $r \to \infty$. Nhưng GTO phổ biến hơn vì chúng dễ tính toán hơn. GTO suy giảm theo $e^{-\alpha r^2}$, vì vậy đôi khi nên thêm các hàm khuếch tán vào bộ cơ sở GTO để bù cho hành vi suy giảm Gaussian.
Ngoài ra, hàm sóng hydro chính xác suy giảm theo hàm mũ, do đó có động lực cho STO.
Tôi hiểu rằng yêu cầu biên duy nhất để giải phương trình Schrödinger cho các nguyên tử và phân tử trong không gian tự do là hàm sóng tiến đến 0 khi $r \to \infty$, nhưng không có yêu cầu tiên nghiệm nào về cách nó suy giảm khi nó làm như vậy.
Câu hỏi của tôi là: chúng ta có lý do lý thuyết (ab initio) và/hoặc thực nghiệm để tin rằng tất cả các hàm sóng nguyên tử và phân tử đều suy giảm như $e^{-\alpha r}$ khi $r \to \infty$ hay không.
","Tôi sẽ trả lời câu hỏi này từ góc độ lý thuyết. Tính chất hàm mũ xuất phát đơn giản từ phương trình Schrödinger. Xét phương trình Schrödinger một electron:
$$
(-\frac{1}{2}\nabla^2 + V(\mathbf{r}))\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Tại những điểm không gian rất xa hạt nhân, $V(\mathbf{r})\approx 0$, do đó nghiệm tiệm cận được cho bởi
$$
-\frac{1}{2}\nabla^2\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Phương trình vi phân này có các nghiệm cơ bản dạng
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{-2\epsilon}\mathbf{k}\cdot\mathbf{r}}
$$
với một vector đơn vị $\mathbf{k}$ nào đó. Do đó, tính chất tiệm cận thực của $\psi(\mathbf{r})$ là sự kết hợp tuyến tính của các nghiệm cơ bản này. Sự kết hợp tuyến tính có thể mang lại một thừa số đa thức đứng trước hàm mũ, nhưng sẽ không bao giờ thay đổi số mũ. Như vậy, chúng ta không chỉ chứng minh được tính chất hàm mũ, mà còn suy ra được số mũ đúng $\alpha = \sqrt{-2\epsilon}$. Đối với một hệ đa electron, không tương tác, tốc độ suy giảm tổng thể được quy định bởi orbital suy giảm chậm nhất, tức là HOMO.
Tất nhiên, hàm sóng thực chỉ có thể được mô tả bằng một phương trình Schrödinger đa electron. Nhưng chúng ta có thể làm việc trên hệ Kohn-Sham tương đương và chỉ ra rằng hàm sóng Kohn-Sham suy giảm với tốc độ được cho bởi năng lượng HOMO Kohn-Sham. Theo định lý Janak, năng lượng HOMO Kohn-Sham chỉ là âm của thế ion hóa của hệ chính xác. Để thấy điều này, hãy xem xét một tập hợp lớn gồm $N$ phân tử giống hệt nhau, không tương tác. Nếu chúng ta loại bỏ một electron khỏi tập hợp và để lỗ điện tử khuếch tán đều giữa tất cả các phân tử, thì khi $N\to +\infty$, việc loại bỏ electron có tác động không đáng kể đến mật độ electron của bất kỳ phân tử nào (và do đó thế Kohn-Sham của mỗi phân tử). Do đó, theo khuôn khổ Kohn-Sham, chúng ta thấy rằng việc loại bỏ một electron như vậy tốn một năng lượng là $-\epsilon_{\mathrm{HOMO}}$ (không quan trọng HOMO đề cập đến tập hợp hay phân tử, vì năng lượng orbital của chúng bằng nhau), vì electron được lấy từ một mức năng lượng có năng lượng là $\epsilon_{\mathrm{HOMO}}$ và Hamiltonian không thay đổi trong quá trình này. Mặt khác, từ góc độ của hệ thực, rõ ràng là chi phí năng lượng bằng năng lượng ion hóa đầu tiên của một trong các phân tử, $I$. Do đó, chúng ta có $\epsilon_{\mathrm{HOMO}} = -I$, có nghĩa là hàm sóng Kohn-Sham suy giảm như (một lần nữa, có thể có một thừa số đa thức đứng trước; việc xác định chính xác thừa số đa thức này là một câu hỏi khó hơn nhiều)
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{2I}\mathbf{k}\cdot\mathbf{r}}
$$
Mặc dù hàm sóng Kohn-Sham là hư cấu, mật độ của nó bằng với mật độ đa electron thực, và để mật độ thực có cùng tính chất tiệm cận với mật độ Kohn-Sham, hàm sóng thực phải có cùng tính chất tiệm cận với hàm sóng Kohn-Sham. Q.E.D.
"
"```git reset``` làm gì. Tôi quen với SVN và Git là một mô hình hoàn toàn mới. Tôi làm quen với Mercurial dễ dàng, nhưng Git thì kỹ thuật hơn nhiều.
Tôi nghĩ ```git reset``` gần với ```hg revert```, nhưng dường như có sự khác biệt. Vui lòng bao gồm giải thích chi tiết về:

* các tùy chọn ```--hard```, ```--soft``` và ```--merge```;
* ký hiệu lạ bạn sử dụng với ```HEAD``` như ```HEAD^``` và ```HEAD~1```;
* các trường hợp sử dụng và quy trình làm việc cụ thể;
* hậu quả đối với bản sao làm việc, ```HEAD``` và mức độ căng thẳng tổng thể của bạn.
","Trong ```git```, bạn có:

* con trỏ ```HEAD```, cho biết bạn đang làm việc trên commit nào
* working tree, biểu thị trạng thái của các file trên hệ thống của bạn
* staging area (còn được gọi là index), ""stage"" các thay đổi để sau này có thể được commit cùng nhau

> Vui lòng bao gồm giải thích chi tiết về:
> ```--hard```, ```--soft``` và ```--merge```;

Theo thứ tự tăng dần về độ nguy hiểm:

* ```--soft``` di chuyển ```HEAD``` nhưng không chạm vào staging area hoặc working tree.
* ```--mixed``` di chuyển ```HEAD``` và cập nhật staging area, nhưng không cập nhật working tree.
* ```--merge``` di chuyển ```HEAD```, reset staging area và cố gắng di chuyển tất cả các thay đổi trong working tree của bạn vào working tree mới.
* ```--hard``` di chuyển ```HEAD``` và điều chỉnh staging area và working tree của bạn theo ```HEAD``` mới, loại bỏ mọi thứ.

> Các trường hợp sử dụng và quy trình làm việc cụ thể;

* Sử dụng ```--soft``` khi bạn muốn chuyển sang một commit khác và vá các thứ mà không ""làm mất vị trí"" của bạn. Rất hiếm khi bạn cần điều này.

```
# git reset --soft ví dụ
touch foo                            // Thêm một file, thực hiện một số thay đổi.
git add foo                          //
git commit -m ""bad commit message""   // Commit... D'oh, đó là một sai lầm!
git reset --soft HEAD^               // Quay lại một commit và sửa mọi thứ.
git commit -m ""good commit""          // Vậy là xong, giờ thì đúng rồi.
```
--

* Sử dụng ```--mixed``` (mặc định) khi bạn muốn xem mọi thứ trông như thế nào ở một commit khác, nhưng bạn không muốn mất bất kỳ thay đổi nào bạn đã có.
* Sử dụng ```--merge``` khi bạn muốn chuyển đến một vị trí mới nhưng kết hợp các thay đổi bạn đã có vào working tree đó.
* Sử dụng ```--hard``` để xóa mọi thứ và bắt đầu một trang mới tại commit mới.
"
"```java
import java.io.FileInputStream;
import java.io.IOException;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class MD5Checksum {

    public static String getMD5Checksum(String filename) throws IOException, NoSuchAlgorithmException {
        try (FileInputStream fis = new FileInputStream(filename)) {

            MessageDigest md = MessageDigest.getInstance(""MD5"");

            byte[] buffer = new byte[8192];
            int bytesRead;
            while ((bytesRead = fis.read(buffer)) != -1) {
                md.update(buffer, 0, bytesRead);
            }

            byte[] digest = md.digest();

            StringBuilder sb = new StringBuilder();
            for (byte b : digest) {
                sb.append(String.format(""%02x"", b));
            }

            return sb.toString();
        }
    }

    public static void main(String[] args) {
        if (args.length != 1) {
            System.err.println(""Usage: java MD5Checksum <filename>"");
            return;
        }

        String filename = args[0];

        try {
            String checksum = getMD5Checksum(filename);
            System.out.println(""MD5 checksum for "" + filename + "" is: "" + checksum);
        } catch (IOException e) {
            System.err.println(""Error reading file: "" + e.getMessage());
        } catch (NoSuchAlgorithmException e) {
            System.err.println(""MD5 algorithm not available: "" + e.getMessage());
        }
    }
}
```
","API com.google.common.hash cung cấp:

* Một API thống nhất, thân thiện với người dùng cho tất cả các hàm băm
* Các triển khai có thể gieo mầm 32 và 128 bit của murmur3
* Các bộ điều hợp md5(), sha1(), sha256(), sha512(), chỉ cần thay đổi một dòng mã để chuyển đổi giữa chúng và murmur.
* goodFastHash(int bits), khi bạn không quan tâm đến thuật toán bạn sử dụng
* Các tiện ích chung cho các phiên bản HashCode, như combineOrdered / combineUnordered

Đọc Hướng dẫn sử dụng (IO Explained, Hashing Explained).
Đối với trường hợp sử dụng của bạn, ```Files.hash()``` tính toán và trả về giá trị digest cho một tệp.
Ví dụ: tính toán digest sha-1 (thay đổi SHA-1 thành MD5 để lấy digest MD5)
```HashCode hc = Files.asByteSource(file).hash(Hashing.sha1());
""SHA-1: "" + hc.toString();
```
Lưu ý rằng crc32 nhanh hơn nhiều so với md5, vì vậy hãy sử dụng crc32 nếu bạn không cần tổng kiểm tra an toàn về mặt mật mã. Cũng lưu ý rằng md5 không nên được sử dụng để lưu trữ mật khẩu, v.v. vì nó quá dễ bị tấn công brute force, đối với mật khẩu, hãy sử dụng bcrypt, scrypt hoặc sha-256 thay thế.
Để bảo vệ lâu dài bằng băm, lược đồ chữ ký Merkle tăng cường bảo mật và Nhóm Nghiên cứu Mật mã Hậu Lượng tử do Ủy ban Châu Âu tài trợ đã khuyến nghị sử dụng mật mã này để bảo vệ lâu dài chống lại máy tính lượng tử (tham khảo).
Lưu ý rằng crc32 có tỷ lệ xung đột cao hơn so với các thuật toán khác.
Phần nào của Files.hash như đã nêu ở trên không bao gồm Files.hash?
"
"Những phản đối chính của Đảng Dân chủ đối với bức tường biên giới là gì?
","Tôi không chắc chắn rằng đảng Dân chủ phản đối việc xây dựng tường biên giới (nguồn duy nhất của bạn cho thấy họ không phản đối tường/hàng rào biên giới khi cần thiết), mà đúng hơn là họ phản đối một số kế hoạch xây dựng tường bao quanh toàn bộ biên giới đã được đưa ra cho đến nay.

Gần đây, để phản hồi các báo cáo rằng dự luật chi tiêu sẽ bao gồm kinh phí cho một bức tường biên giới, 5 Thượng nghị sĩ đảng Dân chủ đã công bố một lá thư bày tỏ lo ngại về chi phí, hiệu quả và các vấn đề pháp lý của việc xây dựng nó.

Chúng tôi cũng lo ngại về các báo cáo rằng có thể có một nỗ lực đưa vào kinh phí cho một bức tường mới rất tốn kém dọc theo biên giới phía nam với Mexico và một ""lực lượng trục xuất"". Theo các chuyên gia độc lập, bức tường biên giới mới được đề xuất có thể tốn tới 25 triệu đô la mỗi dặm và đặt ra những vấn đề đáng kể mà Quốc hội hoặc Bộ An ninh Nội địa chưa giải quyết được. Thứ nhất, nhiều chuyên gia tin rằng một bức tường biên giới như vậy sẽ không hiệu quả. Thứ hai, có một mối lo ngại thực sự rằng Chính quyền, nói một cách đơn giản, không có kế hoạch xây dựng bức tường biên giới. Ví dụ, Chính quyền chưa nêu chi tiết cách 1) sử dụng quyền trưng dụng và các thủ tục khác để thu hồi đất từ ​​các chủ đất tư nhân và các bộ lạc người Mỹ bản địa, 2) thiết kế bức tường, 3) định vị bức tường, 4) xây dựng bức tường và 5) yêu cầu Mexico trả tiền cho bức tường theo như những lời hứa rõ ràng và lặp đi lặp lại của Tổng thống rằng ông sẽ buộc Mexico làm như vậy. Cuối cùng, có những phản đối đối với việc xây dựng một bức tường từ các thành viên đảng Dân chủ và Cộng hòa của Quốc hội đại diện cho các bang biên giới. Với những lo ngại này và các lo ngại khác, chúng tôi tin rằng sẽ không phù hợp nếu cứ khăng khăng đòi đưa khoản kinh phí đó vào một dự luật phân bổ ngân sách cần thiết để đảng Cộng hòa chiếm đa số trong Quốc hội ngăn chặn việc chính phủ đóng cửa quá sớm trong nhiệm kỳ của Tổng thống Trump.
[...]
Thượng nghị sĩ Charles Schumer
Thượng nghị sĩ Richard Durbin
Thượng nghị sĩ Patty Murray
Thượng nghị sĩ Debbie Stabenow
Thượng nghị sĩ Patrick Leahy

Dựa trên lá thư này, có vẻ như những phản đối chính của họ đối với một bức tường biên giới hoàn chỉnh hiện tại là tỷ lệ chi phí-lợi ích và các vấn đề pháp lý của việc lấy đất từ ​​người Mỹ để xây dựng nó; những phản đối có thể không chỉ riêng đảng Dân chủ có.
"
"Tôi đang chuyển đổi video sang tệp GIF bằng ```ffmpeg```:
```ffmpeg \
  -i input.flv \
  -ss 00:00:00.000 \
  -pix_fmt rgb24 \
  -r 10 \
  -s 320x240 \
  -t 00:00:10.000 \
  output.gif
```
Nó hoạt động tốt, nhưng tệp gif đầu ra có chất lượng rất thấp.
Có ý tưởng nào về cách cải thiện chất lượng gif đã chuyển đổi không?
","Nếu bạn muốn tránh các tệp hình ảnh trung gian, các lệnh được cung cấp bởi LordNeckBeard có thể được truyền giữa ```ffmpeg``` và ```convert``` của ImageMagick để không cần tệp trung gian:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - output.gif
```
```-f image2pipe``` báo cho ffmpeg chia video thành các hình ảnh và làm cho nó phù hợp để xuất ra, và ```-vcodec ppm``` chỉ định định dạng đầu ra là ppm (vì một số lý do nếu định dạng là png, thì ```convert``` không đọc tất cả các hình ảnh từ pipe, hoặc ffmpeg không xuất ra tất cả). Dấu ```-``` cho cả hai lệnh chỉ định rằng một pipe sẽ được sử dụng cho đầu ra và đầu vào tương ứng.
Để tối ưu hóa kết quả mà không cần lưu tệp, bạn có thể truyền đầu ra từ ```convert``` đến lệnh ```convert``` thứ hai:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - gif:- | convert -layers Optimize - output.gif
```
```gif:-``` báo cho ```convert``` truyền đầu ra của nó dưới dạng dữ liệu có định dạng gif và ```-layers Optimize``` báo cho ```convert``` thứ hai thực hiện các phương pháp ```optimize-frame``` và ```optimize-transparancy``` (xem phần Giới thiệu về Tối ưu hóa Hoạt ảnh của ImageMagick). Lưu ý rằng đầu ra từ ```-layers Optimize``` có thể không phải lúc nào cũng cung cấp kích thước tệp nhỏ hơn, vì vậy bạn có thể muốn thử chuyển đổi sang gif mà không cần tối ưu hóa trước để chắc chắn.
Hãy nhớ rằng trong toàn bộ quá trình này, mọi thứ đều nằm trong bộ nhớ, vì vậy bạn có thể cần đủ bộ nhớ nếu các hình ảnh khá lớn.
"
"Tor chỉ có thể xử lý các kết nối TCP, nhưng DNS là một giao thức UDP. Tor định tuyến các yêu cầu DNS qua mạng dựa trên TCP của nó như thế nào? Tại sao cách tiếp cận tương tự không thể được sử dụng để định tuyến tất cả lưu lượng UDP qua Tor?
","Nói chung, các máy khách Tor không trực tiếp thực hiện các yêu cầu DNS. Khi bạn mở một kết nối thông qua mạng tor, bạn thường yêu cầu máy khách của mình (trên các cổng socks của nó) kết nối bạn với một tên máy chủ và cổng, ví dụ như www.example.com:80.
Máy khách Tor của bạn, sau khi đã tạo một mạch, sẽ gửi tên máy chủ và cổng đó đến nút thoát trong ô RELAY_BEGIN của nó.
Nút thoát sau đó sẽ thực hiện phân giải DNS và mở một kết nối TCP đến mục tiêu. Khi kết nối đó được thiết lập, nó sẽ thông báo cho máy khách của bạn rằng kết nối đã mở và cho mục đích thông tin, cũng sẽ cho máy khách của bạn biết địa chỉ mà tên máy chủ đó phân giải thành.
Tor, ngoài ra, có một số loại giao thức ""phân giải DNS từ xa"" được tích hợp sẵn. Hỗ trợ này cho phép máy khách truy vấn các loại tài nguyên nhất định, chẳng hạn như địa chỉ IPv4 hoặc IPv6. Ở đây cũng vậy, nút thoát thực hiện việc gửi và nhận gói DNS thực tế và chỉ chuyển tiếp câu trả lời cho máy khách.
Không có gói UDP nào thực sự được định tuyến từ máy khách.
Ngoài ra, còn có một đề xuất để thêm hỗ trợ DNS đầy đủ tính năng hơn vào Tor. Cho đến nay, nó vẫn chưa được triển khai.

Tham khảo Đặc tả Giao thức Tor

* 6.2. Mở luồng và truyền dữ liệu
* 6.4. Tra cứu tên máy chủ từ xa
* Đề xuất 219 - Hỗ trợ phân giải DNS và DNSSEC đầy đủ trong Tor
"
"Tại sao đoạn mã này gây ra lỗi ```NullPointerException```
```public static void main(String[] args) throws Exception {
    Boolean b = true ? returnsNull() : false; // NPE ở dòng này.
    System.out.println(b);
}
public static Boolean returnsNull() {
    return null;
}
```
trong khi đoạn mã này thì không
```public static void main(String[] args) throws Exception {
    Boolean b = true ? null : false;
    System.out.println(b); // null
}
```
?
Giải pháp là thay ```false``` bằng ```Boolean.FALSE``` để tránh ```null``` bị unbox thành ```boolean``` -- điều này là không thể. Nhưng đó không phải là câu hỏi. Câu hỏi là tại sao? Có tài liệu tham khảo nào trong JLS xác nhận hành vi này không, đặc biệt là trường hợp thứ 2?
","Sự khác biệt là kiểu tường minh của phương thức ```returnsNull()``` ảnh hưởng đến việc gõ tĩnh của các biểu thức tại thời điểm biên dịch:
```E1: `true ? returnsNull() : false` - boolean (tự động unboxing toán hạng thứ 2 sang boolean)
E2: `true ? null : false` - Boolean (tự động boxing toán hạng thứ 3 sang Boolean)
```
Xem Java Language Specification, phần 15.25 Conditional Operator ? :

* Đối với E1, kiểu của toán hạng thứ 2 và thứ 3 lần lượt là ```Boolean``` và ```boolean```, vì vậy mệnh đề này áp dụng:

  Nếu một trong các toán hạng thứ hai và thứ ba có kiểu boolean và kiểu của toán hạng còn lại là kiểu Boolean, thì kiểu của biểu thức điều kiện là boolean.

Vì kiểu của biểu thức là ```boolean```, toán hạng thứ 2 phải được ép kiểu thành ```boolean```. Trình biên dịch chèn mã tự động unboxing vào toán hạng thứ 2 (giá trị trả về của ```returnsNull()```) để có kiểu ```boolean```. Điều này tất nhiên gây ra NPE từ ```null``` được trả về tại thời điểm chạy.
* Đối với E2, kiểu của toán hạng thứ 2 và thứ 3 là `````` (không phải ```Boolean``` như trong E1!) và ```boolean``` tương ứng, vì vậy không có mệnh đề gõ cụ thể nào áp dụng (hãy đọc chúng!), vì vậy mệnh đề ""otherwise"" cuối cùng được áp dụng:

  Otherwise, the second and third operands are of types S1 and S2 respectively. Let T1 be the type that results from applying boxing conversion to S1, and let T2 be the type that results from applying boxing conversion to S2. The type of the conditional expression is the result of applying capture conversion (§5.1.10) to lub(T1, T2) (§15.12.2.7).


* S1 == `````` (xem §4.1)
* S2 == ```boolean```
* T1 == box(S1) == `````` (xem mục cuối cùng trong danh sách các chuyển đổi boxing trong §5.1.7)
* T2 == box(S2) == `Boolean
* lub(T1, T2) == ```Boolean```

Vì vậy, kiểu của biểu thức điều kiện là ```Boolean``` và toán hạng thứ 3 phải được ép kiểu thành ```Boolean```. Trình biên dịch chèn mã tự động boxing cho toán hạng thứ 3 (```false```). Toán hạng thứ 2 không cần tự động unboxing như trong ```E1```, vì vậy không có NPE tự động unboxing khi ```null``` được trả về.


Câu hỏi này cần một phân tích kiểu tương tự:
Java conditional operator ?: result type
"
