prompt,output
"유리수가 주어졌을 때, 기약 분수로 나타내고 분자와 분모의 곱을 계산합니다. 0과 1 사이의 유리수 중에서 결과로 얻은 곱이 $20!$이 되는 것은 몇 개입니까?
","0과 1 사이의 유리수가 주어졌을 때, 이를 기약 분수 \(\frac{a}{b}\)로 나타내고 결과로 얻어지는 분자와 분모의 곱을 계산해야 합니다. 곱 \(a \times b = 20!\)인 이러한 유리수가 몇 개 존재하는지 알아내야 합니다.

1. **20!의 소인수 분해**:
   - 20!의 소인수는 2, 3, 5, 7, 11, 13, 17, 19입니다. 이는 8개의 서로 다른 소수입니다.

2. **서로소 쌍**:
   - \(a \times b = 20!\)이고 \(\gcd(a, b) = 1\)인 경우, 20!의 각 소인수는 전부 \(a\) 또는 \(b\)에 할당되어야 합니다. 그러면 \(2^8 = 256\)개의 서로소 쌍 \((a, b)\)이 생성됩니다.

3. **쌍 \(a < b\)의 개수 세기**:
   - \(a\)와 \(b\)는 서로소이고 \(a \times b = 20!\)이므로 각 쌍 \((a, b)\)과 \((b, a)\)는 서로 다릅니다. \(a < b\)인 쌍을 찾으려면, 전체 쌍의 수를 2로 나눕니다. 이때 \(a = b\)인 경우는 제외합니다 (20!은 제곱수가 아니므로 불가능).

4. **결과**:
   - \(a < b\)인 서로소 쌍 \((a, b)\)의 수는 \(\frac{256}{2} = 128\)입니다.

따라서 기약 분수로 나타낸 분자와 분모의 곱이 \(20!\)인 0과 1 사이의 유리수의 개수는 \(\boxed{128}\)입니다.
"
"$9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9's}}$ 를 $1000$으로 나눈 나머지를 구하시오.
","\(9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9's}}\)를 1000으로 나눈 나머지를 구하기 위해, 중국인의 나머지 정리를 사용하여 결과를 결합한 후, 8과 125를 법으로 하여 곱을 별도로 고려합니다.

1. **법 8 계산:**
   - 곱의 각 항은 \(10^k - 1\)이며, 법 8에서는 \(2^k - 1\)입니다.
   - \(k \geq 3\)인 경우, \(2^k \equiv 0 \mod 8\)이므로 \(2^k - 1 \equiv -1 \mod 8\)입니다.
   - 법 8에서의 곱은 다음과 같습니다.
     \[
     (2^1 - 1)(2^2 - 1) \times (-1)^{997} \equiv 1 \times 3 \times (-1)^{997} \equiv 1 \times 3 \times (-1) \equiv -3 \equiv 5 \mod 8
     \]

2. **법 125 계산:**
   - \(k \geq 3\)인 경우, 각 항 \(10^k - 1\)은 \(10^3 \equiv 0 \mod 125\)이므로, 법 125에서 \(-1\)입니다.
   - 법 125에서의 곱은 다음과 같습니다.
     \[
     (10^1 - 1)(10^2 - 1) \times (-1)^{997} \equiv 9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv -16 \equiv 109 \mod 125
     \]

3. **중국인의 나머지 정리를 사용하여 결과 결합:**
   - 다음을 만족하는 \(x\)가 필요합니다.
     \[
     x \equiv 5 \mod 8 \quad \text{그리고} \quad x \equiv 109 \mod 125
     \]
   - \(x = 125m + 109\)라고 합시다. 그러면:
     \[
     125m + 109 \equiv 5 \mod 8 \implies 5m + 5 \equiv 5 \mod 8 \implies 5m \equiv 0 \mod 8 \implies m \equiv 0 \mod 8
     \]
   - 따라서, \(m = 8n\)이고 \(x = 125(8n) + 109 = 1000n + 109\)이므로, \(x \equiv 109 \mod 1000\)입니다.

4. **법 1000 직접 계산:**
   - 곱은 법 1000에서 번갈아 나타납니다. 처음 두 항은 891을 산출합니다. 각 후속 항은 \(-1\) mod 1000에 기여합니다.
     \[
     9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv 109 \mod 1000
     \]

따라서 곱을 1000으로 나눈 나머지는 \(\boxed{109}\)입니다.
"
"사다리꼴의 한 밑변이 다른 밑변보다 $100$ 단위 더 깁니다. 다리의 중점을 연결하는 선분은 사다리꼴을 $2:3$ 의 비율로 나누는 두 영역으로 나눕니다. 밑변과 평행하고 사다리꼴을 면적이 같은 두 영역으로 나누는 다리를 연결하는 선분의 길이를 $x$ 라고 합시다. $x^2/100$ 을 초과하지 않는 가장 큰 정수를 찾으십시오.
","짧은 밑변을 \( b \)라 하고, 긴 밑변을 \( b + 100 \)이라 하자. 다리의 중점을 연결하는 사다리꼴의 중간선은 두 밑변의 평균인 \( b + 50 \)과 길이가 같다. 이 중간선에 의해 나누어진 영역의 넓이 비율은 2:3이다.

넓이 비율 조건은 다음 방정식을 제공한다.
\[
\frac{b + 25}{b + 75} = \frac{2}{3}
\]
이것을 풀면 다음을 구할 수 있다.
\[
3(b + 25) = 2(b + 75) \implies 3b + 75 = 2b + 150 \implies b = 75
\]
따라서 밑변은 75와 175 단위이다.

사다리꼴을 같은 넓이의 두 영역으로 나누는 선분의 길이 \( x \)를 구하기 위해 밑변의 제곱 평균을 사용한다. 길이 \( x \)는 다음으로 주어진다.
\[
x = \sqrt{\frac{a^2 + b^2}{2}}
\]
여기서 \( a = 75 \)이고 \( b = 175 \)이다. 이 값들을 대입하면 다음과 같다.
\[
x = \sqrt{\frac{75^2 + 175^2}{2}} = \sqrt{\frac{5625 + 30625}{2}} = \sqrt{\frac{36250}{2}} = \sqrt{18125}
\]
따라서 \( x^2 = 18125 \)이다. \( \frac{x^2}{100} \)을 계산하면 다음과 같다.
\[
\frac{18125}{100} = 181.25
\]
181.25을 넘지 않는 가장 큰 정수는 181이다.

\[
\boxed{181}
\]"
"1.  $k \in \mathbb{N}$개의 희소 집합 $S_1, S_2 \ldots S_k$이 주어졌을 때, 희소 집합 $S$와 결정론적 다항 시간 튜링 기계 $M$ (오라클 $S$에 접근 가능)이 존재하여 입력 $\langle x,i \rangle$이 주어졌을 때 튜링 기계 $M$이 $x \in S_i$일 경우에만 수락함을 보이시오.
    집합 $S$를 정의하고 (계산 가능할 필요는 없음), 오라클 $S$를 갖는 $M$의 설명을 제시하시오.
    오라클 $S$에 접근 가능한 튜링 기계 $M$은 $s \in S$인지 쿼리할 수 있으며 상수 시간에 정확한 답변을 받을 수 있음에 유의하시오.

2.  임의의 길이 $n \in \mathbb{N}$에 대해 엔젤 문자열을 **계산**할 수 있는 다항 시간 알고리즘이 존재해야 한다는 제약 조건이 있는 $\textbf{P}_{angel}$의 변형인 $\textbf{P}_{bad-angel}$을 정의해 봅시다. 다시 말해, $\alpha_n = A(n)$인 다항 시간 알고리즘 $A$가 있습니다.
    $\textbf{P} =\textbf{P}_{bad-angel}$인가요? $\textbf{NP}=\textbf{P}_{bad-angel}$인가요? 정당화하시오.

3.  언어 $L \in$ $\textbf{P}_{angel}$이라고 합시다. 희소 집합 $S_L$과 결정론적 다항 시간 튜링 기계 $M$ (오라클 $S_L$에 접근 가능)이 존재하여 언어 $L$을 결정할 수 있음을 보이시오.
","**문제 1:**

희소 집합 \( S \)를 구성하기 위해 희소 집합 \( S_1, S_2, \ldots, S_k \)를 각 요소에 해당 인덱스를 태깅하여 결합할 수 있습니다. 공식적으로 \( S = \{ (i, x) \mid x \in S_i, 1 \leq i \leq k \} \)로 정의하고, 여기서 \((i, x)\)는 \( x \) 앞에 \( i \)의 이진 표현을 붙여 인코딩됩니다. 각 \( S_i \)가 희소하므로 각 길이 \( n \)에 대해, 길이 \( m = \lceil \log k \rceil + n \)인 \( S \)의 문자열 수는 \( k \cdot p(n) \)으로 제한되며, 이는 여전히 \( m \)에 대한 다항식입니다. 오라클 \( S \)를 가진 다항 시간 튜링 기계 \( M \)는 다음과 같이 작동합니다. 입력 \(\langle x, i \rangle\)에 대해, 문자열 \((i, x)\)를 구성하고, 이 문자열에 대해 \( S \)에 쿼리하여 오라클이 존재를 확인하면 수락합니다.

**답변:**
희소 집합 \( S \)는 \( 1 \leq i \leq k \)에 대해 \( x \in S_i \)인 모든 튜플 \((i, x)\)로 구성됩니다. 오라클 \( S \)를 가진 기계 \( M \)은 입력 \(\langle x, i\rangle\)에 대해 문자열 \((i, x)\)를 구성하고 \( S \)의 멤버십을 확인합니다.

---

**문제 2:**

\(\textbf{P}_{\text{bad-angel}}\)의 경우, 천사 문자열 \( \alpha_n \)이 \( A(n) \)에 의해 다항 시간 내에 계산 가능하므로, \( A(n) \)의 계산을 다항 시간 기계 \( M \)에 통합할 수 있습니다. 따라서 \( \textbf{P}_{\text{bad-angel}} \subseteq \textbf{P} \)입니다. 반대로, \( \textbf{P} \subseteq \textbf{P}_{\text{bad-angel}} \)는 \( A(n) \)을 널 어드바이스 문자열을 출력하도록 설정하여 성립합니다. 따라서, \( \textbf{P} = \textbf{P}_{\text{bad-angel}} \)입니다.

\( \textbf{NP} = \textbf{P}_{\text{bad-angel}} \)의 경우, \( \textbf{NP} = \textbf{P} \)가 아니면 이 등식은 성립하지 않습니다. \( \textbf{P}_{\text{bad-angel}} \)에서 어드바이스 문자열을 계산하는 능력은 \( \textbf{NP} \)에 내재된 비결정성을 제공하지 않습니다.

**답변:**
\( \textbf{P} = \textbf{P}_{\text{bad-angel}} \)이지만, \( \textbf{NP} = \textbf{P} \)가 아닌 한 \( \textbf{NP} \neq \textbf{P}_{\text{bad-angel}} \)입니다.

---

**문제 3:**

언어 \( L \in \textbf{P}_{\text{angel}} \)은 다항 길이 어드바이스 시퀀스 \( \{\alpha_n\} \)와 다항 시간 기계 \( M \)을 가집니다. \( \textbf{P}/\text{poly} \)와 희소 오라클 사이의 Meyer 정리에 의해, \( L \)이 희소 집합 \( S_L \)로 결정 가능하도록 어드바이스를 인코딩하는 희소 집합 \( S_L \)이 존재합니다. 구체적으로, \( S_L \)은 해당 길이 \( n \)과 함께 인코딩된 어드바이스 문자열 \( \alpha_n \)이 포함되어 각 \( \alpha_n \)이 길이당 고유하므로 희소성을 보장합니다.

**답변:**
희소 집합 \( S_L \)은 인코딩된 어드바이스 문자열 \( \alpha_n \)을 포함하고, 기계 \( M \)은 입력 길이 \( |x| \)에 해당하는 어드바이스에 대해 \( S_L \)에 쿼리하여 \( x \in L \)를 결정합니다.
"
"캐시는 빨간색 카드 $5$장과 초록색 카드 $5$장을 가지고 있습니다. 그녀는 $10$장의 카드를 섞어 그 중 $5$장을 임의의 순서로 한 줄로 늘어놓습니다. 늘어놓은 빨간색 카드가 모두 인접하고 초록색 카드가 모두 인접한 경우에만 그녀는 기뻐합니다. 예를 들어, 카드 순서 RRGGG, GGGGR 또는 RRRRR은 캐시를 기쁘게 하지만 RRRGR은 그렇지 않습니다. 캐시가 기뻐할 확률은 $\frac{m}{n}$ 이고, 여기서 $m$과 $n$은 서로소인 양의 정수입니다. $m + n$을 구하시오.
","Kathy는 빨간색 카드 5장과 초록색 카드 5장을 가지고 있습니다. 그녀는 10장의 카드를 섞어 5장을 한 줄로 놓습니다. 이때 놓인 빨간색 카드가 모두 인접하고 초록색 카드가 모두 인접할 확률을 구해야 합니다.

먼저, 10장 중 5장을 선택하여 나열하는 총 경우의 수는 \(10 \times 9 \times 8 \times 7 \times 6 = 30240\)입니다.

다음으로, 빨간색 카드가 모두 인접하고 초록색 카드가 모두 인접한 ""행복한"" 배열의 수를 고려합니다. 이러한 배열은 모두 빨간색, 모두 초록색, 또는 빨간색 블록과 초록색 블록의 조합일 수 있습니다.

1. **경우 1: 모두 빨간색 또는 모두 초록색 배열**
   - 이러한 배열은 RRRRR과 GGGGG, 총 2가지입니다.
   - 각 배열의 경우의 수: \(5!\) (같은 색의 서로 다른 5장 카드를 배열).
   - 경우 1의 총 경우의 수: \(2 \times 5! = 2 \times 120 = 240\).

2. **경우 2: 빨간색과 초록색 블록이 혼합된 배열**
   - 각 \(k\) (빨간색 카드의 수, 1부터 4까지)에 대해 가능한 색상의 순서는 2가지입니다 (빨간색 블록이 먼저 또는 초록색 블록이 먼저).
   - 각 \(k\)에 대해 카드를 배열하는 경우의 수는 \(2 \times P(5, k) \times P(5, 5 - k)\)입니다. 여기서 \(P(n, k)\)는 순열 함수입니다.
   - 계산:
     - \(k = 1\): \(2 \times (5 \times 5 \times 4 \times 3 \times 2) = 1200\)
     - \(k = 2\): \(2 \times (5 \times 4 \times 5 \times 4 \times 3) = 2400\)
     - \(k = 3\): \(2 \times (5 \times 4 \times 3 \times 5 \times 4) = 2400\)
     - \(k = 4\): \(2 \times (5 \times 4 \times 3 \times 2 \times 5) = 1200\)
   - 경우 2의 총 경우의 수: \(1200 + 2400 + 2400 + 1200 = 7200\).

두 경우를 더하면, ""행복한"" 배열의 총 수는 \(240 + 7200 = 7440\)입니다.

확률은 \(\frac{7440}{30240} = \frac{31}{126}\)입니다. 간단히 하면 \(m = 31\)이고 \(n = 126\)입니다. 따라서 \(m + n = 31 + 126 = 157\)입니다.

\[
\boxed{157}
\]"
"정사각형 $AIME$의 변의 길이는 $10$ 단위입니다. 이등변삼각형 $GEM$은 밑변 $EM$을 가지며, 삼각형 $GEM$과 정사각형 $AIME$의 공통 영역의 넓이는 $80$ 제곱 단위입니다. $\triangle GEM$에서 $EM$으로의 높이를 구하시오.
","정사각형 \(AIME\)의 변의 길이는 10 단위입니다. 이등변삼각형 \(GEM\)은 밑변 \(EM\)을 가지며, 삼각형 \(GEM\)과 정사각형 \(AIME\)가 공유하는 영역의 넓이는 80 제곱 단위입니다. \(\triangle GEM\)에서 \(EM\)으로의 높이의 길이를 구해야 합니다.

1. **정사각형의 꼭짓점**:
   - 꼭짓점이 \(A(0, 0)\), \(I(0, 10)\), \(M(10, 10)\), \(E(10, 0)\)이 되도록 좌표 평면에 정사각형을 놓습니다.

2. **이등변삼각형 \(GEM\)**:
   - 밑변 \(EM\)은 \(E(10, 0)\)에서 \(M(10, 10)\)까지 수직입니다.
   - 삼각형의 꼭짓점 \(G\)는 \(EM\)의 왼쪽에 있습니다 (높이가 클수록 정사각형 바깥쪽에 위치).

3. **\(G\)의 좌표**:
   - \(G\)에서 \(EM\)으로의 높이를 \(h\)라고 합시다. 삼각형이 \(GE = GM\)인 이등변삼각형이므로 \(G\)의 좌표는 \((10 - h, 5)\)입니다.

4. **직선의 방정식**:
   - 직선 \(GE\)의 방정식은 \(y = -\frac{5}{h}x + \frac{50}{h}\)입니다.
   - 직선 \(GM\)의 방정식은 \(y = \frac{5}{h}x + 10 - \frac{50}{h}\)입니다.

5. **정사각형과의 교점**:
   - 직선 \(GE\)와 \(GM\)은 정사각형의 왼쪽 가장자리(x=0)와 점 \((0, \frac{50}{h})\) 및 \((0, 10 - \frac{50}{h})\)에서 교차합니다.

6. **넓이 계산**:
   - 삼각형과 정사각형 사이의 겹치는 영역의 넓이는 \(x = 0\)에서 \(x = 10\)까지 위쪽 선과 아래쪽 선의 차이를 적분하여 계산합니다.
     \[
     \text{넓이} = \int_{0}^{10} \left( \left( \frac{5}{h}x + 10 - \frac{50}{h} \right) - \left( -\frac{5}{h}x + \frac{50}{h} \right) \right) \, dx
     \]
   - 적분 간소화:
     \[
     \text{넓이} = \int_{0}^{10} \left( \frac{10}{h}x + 10 - \frac{100}{h} \right) \, dx = 100 - \frac{500}{h}
     \]
   - 넓이를 80으로 설정:
     \[
     100 - \frac{500}{h} = 80 \implies \frac{500}{h} = 20 \implies h = 25
     \]

따라서 \(\triangle GEM\)에서 \(EM\)으로의 높이의 길이는 \(\boxed{25}\)입니다.
"
"함수 \[ f(\nu)= \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2-1)(1-\nu^2x^2)}}\]
(제곱근의 양수 값을 취함)가 구간 $ 0<\nu<1$ 에서 단조 감소함수임을 증명하시오. [P. Turan]
","함수 \( f(\nu) = \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2 - 1)(1 - \nu^2 x^2)}} \)가 \( 0 < \nu < 1 \)에서 단조 감소함을 증명하기 위해, 먼저 치환 \( t = \nu x \)를 사용하여 적분을 변환합니다. 그러면 적분은 다음과 같이 변환됩니다.

\[
f(\nu) = \int_{\nu}^1 \frac{dt}{\sqrt{(t^2 - \nu^2)(1 - t^2)}}
\]

다음으로, 이 적분을 제1종 완전 타원 적분 \( K(k) \)의 형태로 인식합니다. 여기서 \( k = \sqrt{1 - \nu^2} \)입니다. 따라서 \( f(\nu) \)를 다음과 같이 표현할 수 있습니다.

\[
f(\nu) = K(\sqrt{1 - \nu^2})
\]

단조성을 확인하기 위해 도함수 \( f'(\nu) \)를 계산합니다. 연쇄 법칙과 제1종 완전 타원 적분의 알려진 도함수를 사용하여 다음을 얻습니다.

\[
\frac{d}{d\nu} K(\sqrt{1 - \nu^2}) = \frac{dK}{dk} \cdot \frac{dk}{d\nu}
\]

여기서 \( k = \sqrt{1 - \nu^2} \)입니다. \( K(k) \)의 \( k \)에 대한 도함수는 다음과 같습니다.

\[
\frac{dK}{dk} = \frac{E(k) - (1 - k^2)K(k)}{k(1 - k^2)}
\]

그리고 도함수 \( \frac{dk}{d\nu} \)는 다음과 같습니다.

\[
\frac{dk}{d\nu} = -\frac{\nu}{\sqrt{1 - \nu^2}}
\]

이러한 결과를 결합하면 다음을 얻습니다.

\[
f'(\nu) = -\frac{\nu}{\sqrt{1 - \nu^2}} \cdot \frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\sqrt{1 - \nu^2} \cdot \nu^2}
\]

이 식을 단순화하면 다음을 얻습니다.

\[
f'(\nu) = -\frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\nu(1 - \nu^2)}
\]

핵심 단계는 모든 \( 0 < \nu < 1 \)에 대해 \( E(\sqrt{1 - \nu^2}) > \nu^2 K(\sqrt{1 - \nu^2}) \)임을 인식하는 것입니다. 제2종 완전 타원 적분 \( E(k) \)는 \( 0 < k < 1 \)에 대해 항상 \( (1 - k^2)K(k) \)보다 크기 때문에 이 부등식이 성립합니다. 따라서 \( f'(\nu) \)의 표현식에서 분자는 양수이고 분모도 양수이므로 다음을 얻습니다.

\[
f'(\nu) < 0
\]

따라서 \( f(\nu) \)는 구간 \( 0 < \nu < 1 \)에서 단조 감소합니다.

\[
\boxed{f(\nu) \text{는 } (0, 1) \text{에서 단조 감소한다}}
\]"
"Joanie가 차를 사기 위해 $\$6,\!000$ 대출을 받았습니다. 대출에 대한 연이율은 $12\%$입니다. 그녀는 4년 동안 아무런 상환을 하지 않고 4년 말에 빚진 돈을 모두 갚아야 합니다. 이자가 분기별로 복리로 계산될 때와 연간으로 복리로 계산될 때를 비교했을 때 얼마나 더 많은 돈을 갚아야 하는지, 달러 단위로 소수점 둘째 자리까지 반올림하여 나타내시오.
","Joanie가 이자를 연간으로 복리 계산하는 대신 분기별로 복리 계산할 경우, 얼마나 더 많은 돈을 갚아야 하는지 알아보기 위해 복리 이자 공식 \( A = P \left(1 + \frac{r}{n}\right)^{nt} \)를 사용합니다.

**연간 복리 (n = 1):**
\[
A_{\text{annual}} = 6000 \left(1 + \frac{0.12}{1}\right)^{1 \cdot 4} = 6000 \left(1.12\right)^4
\]
\(1.12^4\) 계산:
\[
1.12^2 = 1.2544 \quad \text{이고} \quad 1.2544^2 \approx 1.57351936
\]
\[
A_{\text{annual}} = 6000 \times 1.57351936 \approx 9441.12
\]

**분기별 복리 (n = 4):**
\[
A_{\text{quarterly}} = 6000 \left(1 + \frac{0.12}{4}\right)^{4 \cdot 4} = 6000 \left(1.03\right)^{16}
\]
\(1.03^{16}\) 계산:
\[
1.03^2 = 1.0609, \quad 1.0609^2 \approx 1.12550881, \quad \text{재귀적으로 계산하여 } 1.03^{16} \approx 1.60470644
\]
\[
A_{\text{quarterly}} = 6000 \times 1.60470644 \approx 9628.24
\]

**차이:**
\[
9628.24 - 9441.12 = 187.12
\]

\[
\boxed{187.12}
\]"
"함수 $f:[0,\infty)\to[0,\infty)$가 적분 가능하고, $$ \int_0^\infty f(x)^2 dx<\infty,\quad \int_0^\infty xf(x) dx <\infty $$일 때, 다음 부등식을 증명하시오. $$ \left(\int_0^\infty f(x) dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 dx \right) \left(\int_0^\infty xf(x) dx \right) $$
","다음 부등식을 증명하기 위해

\[
\left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right),
\]

먼저 \( I = \int_0^\infty f(x) \, dx \), \( J = \int_0^\infty f(x)^2 \, dx \), 그리고 \( K = \int_0^\infty x f(x) \, dx \) 를 고려합니다. 우리는 \( I^3 \leq 8JK \) 를 보여야 합니다.

\( I \) 적분을 매개변수 \( A \) 를 사용하여 두 부분으로 나눕니다:

\[
I = \int_0^\infty f(x) \, dx = \int_0^A f(x) \, dx + \int_A^\infty f(x) \, dx = I_1 + I_2.
\]

\( I_1 \) 에 대해 코시-슈바르츠 부등식을 사용하면:

\[
I_1 \leq \left( \int_0^A f(x)^2 \, dx \right)^{1/2} \left( \int_0^A 1 \, dx \right)^{1/2} = \sqrt{J_1} \sqrt{A},
\]

여기서 \( J_1 = \int_0^A f(x)^2 \, dx \) 입니다. \( I_2 \) 에 대해, \( x \geq A \) 이면 \( x f(x) \geq A f(x) \) 이므로:

\[
I_2 \leq \frac{1}{A} \int_A^\infty x f(x) \, dx \leq \frac{K}{A}.
\]

이 결과들을 결합하면, 우리는 다음을 얻습니다:

\[
I \leq \sqrt{J_1} \sqrt{A} + \frac{K}{A}.
\]

그런 다음 \( A \) 를 선택하여 우변을 최소화합니다. \( \sqrt{J} \sqrt{A} + \frac{K}{A} \) 표현식을 최소화하기 위해 \( A \) 를 설정하고, \( A \) 에 대한 도함수를 0으로 설정하여 \( A \) 를 구합니다:

\[
\frac{\sqrt{J}}{2\sqrt{A}} - \frac{K}{A^2} = 0 \implies A^{3/2} = \frac{2K}{\sqrt{J}} \implies A = \left( \frac{2K}{\sqrt{J}} \right)^{2/3}.
\]

\( A \) 를 다시 식에 대입하면, 우리는 다음을 찾습니다:

\[
I \leq \sqrt{J} \left( \frac{2K}{\sqrt{J}} \right)^{1/3} + \frac{K}{\left( \frac{2K}{\sqrt{J}} \right)^{2/3}}.
\]

두 항을 단순화하면, 우리는 다음을 얻습니다:

\[
I \leq 2^{1/3} J^{1/2 - 1/6} K^{1/3} + 2^{-2/3} J^{1/3} K^{1/3}.
\]

항을 결합하고 결과를 세제곱하면, 볼록성을 사용하여 다음을 보여줍니다:

\[
I^3 \leq 8JK.
\]

따라서, 부등식이 증명되었습니다:

\[
\boxed{ \left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right) }
\]"
"양자 역학에서 수소 원자 내 전자와 양성자 사이의 상호 작용을 계산할 때, 다음의 부피 적분(전체 공간에 대해)을 계산해야 합니다.
$$
\mathbf{I}=\int \mathbf{B}(\mathbf{r})|\Psi(\mathbf{r})|^{2} d V
$$

여기서 $\Psi(\mathbf{r})$는 위치 $\mathbf{r}$의 함수로서 전자의 공간 파동 함수이고, $\mathbf{B}(\mathbf{r})$는 위치 $\mathbf{r}$에서 양성자에 의해 생성되는 (볼드체는 벡터를 나타냄) 자기장입니다. 양성자가 원점에 위치하고, 쌍극자 모멘트가 다음과 같은 유한 크기의 자기 쌍극자처럼 작용한다고 가정합니다(그러나 $a_{0}$보다 훨씬 작음).

$\mu_{p}=1.41 \times 10^{-26} \mathrm{~J} / \mathrm{T}$. 수소 원자가 바닥 상태에 있다고 가정합니다. 즉, $\Psi(\mathbf{r})=\frac{e^{-r / a_{0}}}{\sqrt{\pi a_{0}^{3}}}$이며, 여기서 $a_{0}=5.29 \times 10^{-11} \mathrm{~m}$는 보어 반지름입니다. 적분 $|\mathbf{I}|$의 크기를 (SI 단위로) 계산하십시오.
","주어진 문제에 대한 적분 \(|\mathbf{I}|\)의 크기를 평가하기 위해서는 자기 쌍극자로 모델링된 양성자가 생성하는 자기장과 수소 원자 내 전자의 바닥 상태 파동 함수를 고려해야 합니다. 주요 단계는 다음과 같습니다.

1. **쌍극자의 자기장**:
   원점에 위치한 쌍극자의 자기장 \(\mathbf{B}(\mathbf{r})\)은 \(1/r^3\)에 비례하는 항과 델타 함수 항을 포함합니다. 파동 함수는 원점에서 0이 아니므로 델타 함수 항을 고려해야 합니다.
   \[
   \mathbf{B}(\mathbf{r}) = \frac{\mu_0}{4\pi} \left( \frac{3(\mathbf{\mu}_p \cdot \mathbf{\hat{r}})\mathbf{\hat{r}} - \mathbf{\mu}_p}{r^3} \right) + \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r})
   \]

2. **델타 함수 항으로부터의 기여**:
   델타 함수 항을 고려하면 부피 적분이 단순화되어 원점에서의 값을 선택합니다. 원점에서의 바닥 상태 파동 함수는 \(\Psi(0) = \frac{1}{\sqrt{\pi a_0^3}}\)이므로, 원점에서의 확률 밀도는 \(|\Psi(0)|^2 = \frac{1}{\pi a_0^3}\)입니다. 델타 함수 항으로부터의 적분 기여는 다음과 같습니다.
   \[
   \mathbf{I} = \int \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r}) \frac{1}{\pi a_0^3} dV = \frac{2\mu_0}{3} \mathbf{\mu}_p \frac{1}{\pi a_0^3}
   \]

3. **크기 계산**:
   \(\mathbf{I}\)의 크기는 다음과 같습니다.
   \[
   |\mathbf{I}| = \frac{2\mu_0 \mu_p}{3\pi a_0^3}
   \]
   주어진 값 (\(\mu_0 = 4\pi \times 10^{-7} \, \text{T·m/A}\), \(\mu_p = 1.41 \times 10^{-26} \, \text{J/T}\), \(a_0 = 5.29 \times 10^{-11} \, \text{m}\))을 대입하면:
   \[
   |\mathbf{I}| = \frac{2 \times 4\pi \times 10^{-7} \times 1.41 \times 10^{-26}}{3\pi \times (5.29 \times 10^{-11})^3}
   \]
   식을 단순화하면:
   \[
   |\mathbf{I}| = \frac{8\pi \times 1.41 \times 10^{-33}}{3\pi \times 148.035 \times 10^{-33}} = \frac{11.28}{444.105} \approx 0.0254 \, \text{T}
   \]

따라서 적분 \(|\mathbf{I}|\)의 크기는 \(\boxed{2.54 \times 10^{-2}}\) Tesla입니다.
"
