prompt,output
"Dipunparingi nomer rasional, seratan minangka pecahan ing wujud prasaja lan petung produk saking numerator lan denominator ingkang dipunasilaken. Kangge pinten kathah nomer rasional antawisipun 0 lan 1 ingkang $20!$ bakal dados produk ingkang dipunasilaken?
","Dipunparingi angka rasional ing antawisipun 0 lan 1, kita kedah nyerat minangka pecahan ingkang prasaja \(\frac{a}{b}\) lan ngitung asilipun numerator lan denominator ingkang dipuncakaken. Kita kedah nemtokaken pinten kathahipun angka rasional ingkang wonten ing pundi asilipun \(a \times b = 20!\).

1. **Faktorisasi Prima saking 20!**:
   - Faktor prima saking 20! inggih menika 2, 3, 5, 7, 11, 13, 17, lan 19. Punika wonten 8 prima ingkang benten.

2. **Pasangan Coprime**:
   - Kangge \(a \times b = 20!\) lan \(\gcd(a, b) = 1\), saben faktor prima saking 20! kedah dipuntugasaken sedayanipun dhateng \(a\) utawi \(b\). Punika ngasilaken \(2^8 = 256\) pasangan coprime \((a, b)\).

3. **Ngitung Pasangan \(a < b\)**:
   - Amargi \(a\) lan \(b\) menika coprime lan \(a \times b = 20!\), saben pasangan \((a, b)\) lan \((b, a)\) menika benten. Kangge manggihaken pasangan ing pundi \(a < b\), kita bagi jumlah total pasangan kanthi 2, kajawi kasus \(a = b\) (ingkang boten mungkin amargi 20! sanes kuadrat).

4. **Asil**:
   - Jumlah pasangan coprime \((a, b)\) kanthi \(a < b\) inggih menika \(\frac{256}{2} = 128\).

Dadosipun, jumlah angka rasional ing antawisipun 0 lan 1 kangge pundi asilipun numerator lan denominator ing wujud prasaja inggih menika \(20!\) inggih menika \(\boxed{128}\).
"
"Temokake sisa nalika $9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9's}}$ dipérang karo $1000$ .
","Kanggo nemokake sisa nalika \(9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9's}}\) dipérang karo 1000, kita nimbang asil mod 8 lan mod 125 kanthi kapisah, banjur nggabungake asil kasebut nggunakake Teorema Sisa Tiongkok.

1. **Calculasi Modulo 8:**
   - Saben suku ing asil yaiku \(10^k - 1\), sing modulo 8 yaiku \(2^k - 1\).
   - Kanggo \(k \geq 3\), \(2^k \equiv 0 \mod 8\), dadi \(2^k - 1 \equiv -1 \mod 8\).
   - Asil modulo 8 yaiku:
     \[
     (2^1 - 1)(2^2 - 1) \times (-1)^{997} \equiv 1 \times 3 \times (-1)^{997} \equiv 1 \times 3 \times (-1) \equiv -3 \equiv 5 \mod 8
     \]

2. **Calculasi Modulo 125:**
   - Saben suku \(10^k - 1\) modulo 125 kanggo \(k \geq 3\) yaiku \(-1\) awit \(10^3 \equiv 0 \mod 125\).
   - Asil modulo 125 yaiku:
     \[
     (10^1 - 1)(10^2 - 1) \times (-1)^{997} \equiv 9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv -16 \equiv 109 \mod 125
     \]

3. **Nggabungake Asil Nggunakake Teorema Sisa Tiongkok:**
   - Kita butuh \(x\) supaya:
     \[
     x \equiv 5 \mod 8 \quad \text{lan} \quad x \equiv 109 \mod 125
     \]
   - Ayo \(x = 125m + 109\). Banjur:
     \[
     125m + 109 \equiv 5 \mod 8 \implies 5m + 5 \equiv 5 \mod 8 \implies 5m \equiv 0 \mod 8 \implies m \equiv 0 \mod 8
     \]
   - Mula, \(m = 8n\) lan \(x = 125(8n) + 109 = 1000n + 109\), dadi \(x \equiv 109 \mod 1000\).

4. **Calculasi Langsung Modulo 1000:**
   - Asil selang-seling modulo 1000. Loro suku pisanan ngasilake 891. Saben suku sabanjure nyumbang \(-1\) mod 1000:
     \[
     9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv 109 \mod 1000
     \]

Mangkono, sisa nalika asil dipérang karo 1000 yaiku \(\boxed{109}\).
"
"Salah satunggaling dhasar trapesium punika $100$ unit langkung panjang tinimbang dhasar ingkang sanes. Ruas garis ingkang nggabungaken titik tengah suku-suku trapesium mbagi trapesium dados kalih wilayah ingkang ambanipun gadhah rasio $2: 3$ . Upami $x$ punika dawa ruas garis ingkang nggabungaken suku-suku trapesium ingkang sejajar kaliyan dhasar-dhasar lan mbagi trapesium dados kalih wilayah ingkang ambanipun sami. Padosa wilangan bulat paling ageng ingkang boten nglangkungi $x^2/100$ .
","Misala dhasar sing luwih cendhek yaiku \( b \) lan dhasar sing luwih dawa yaiku \( b + 100 \). Garis tengah trapesium, sing ngubungake titik tengah sikil, dawane padha karo rata-rata dhasar loro, \( b + 50 \). Jembar wilayah sing dipérang déning garis tengah iki rasioné 2:3.

Kondisi rasio jembar menehi persamaan:
\[
\frac{b + 25}{b + 75} = \frac{2}{3}
\]
Nalika dipecahake, kita nemokake:
\[
3(b + 25) = 2(b + 75) \implies 3b + 75 = 2b + 150 \implies b = 75
\]
Dadi, dhasare yaiku 75 lan 175 unit.

Kanggo nemokake dawa \( x \) saka ruas garis sing mbagi trapesium dadi rong wilayah sing jembaré padha, kita nggunakake akar rata-rata kuadrat dhasar. Dawa \( x \) diwenehake dening:
\[
x = \sqrt{\frac{a^2 + b^2}{2}}
\]
ing ngendi \( a = 75 \) lan \( b = 175 \). Ngganti nilai-nilai iki:
\[
x = \sqrt{\frac{75^2 + 175^2}{2}} = \sqrt{\frac{5625 + 30625}{2}} = \sqrt{\frac{36250}{2}} = \sqrt{18125}
\]
Dadi, \( x^2 = 18125 \). Ngetung \( \frac{x^2}{100} \):
\[
\frac{18125}{100} = 181.25
\]
Bilangan bulat paling gedhe sing ora ngluwihi 181.25 yaiku 181.

\[
\boxed{181}
\]"
"Punika contone terjemahan ing basa Jawa:

Ayo kandhané basa  $L \subseteq \{0,1\}^*$  iku ana ing  $\textbf{P}_{angel}$  yen ana polinom  $p : \mathbb{N} \mapsto \mathbb{N}$ , urutan string  $\{\alpha_n\}_{n \in \mathbb{N}}$  kanthi  $\alpha_n \in \{0,1\}^{p(n)}$ , lan Mesin Turing wektu polinom deterministik  $M$  saéngga kanggo saben  $x \in \{0,1\}^n$   $$ x \in L \Leftrightarrow M(x, \alpha_n) = 1 $$  Ayo diwastani  $\alpha_n$  minangka *string malaékat* kanggo kabèh  $x$  kanthi dawa  $n$ . Wigati yèn *string malaékat* iku  $\textbf{ora}$  padha karo *seksi* utawa *sertifikat* kaya kang digunakaké ing definisi  $\textbf{NP}$  Contone, kabèh basa unary, malah  $UHALT$  kang ora bisa diputusaké, ana ing  $\textbf{P}_{angel}$  amarga \textit{string malaékat} mung bisa dadi bit tunggal kang ngandhani yèn string unary kang diwènèhaké iku ana ing  $UHALT$  utawa ora.

Sakumpulan  $S \subseteq \Sigma^*$  diarani **jarang** yèn ana polinom  $p : \mathbb{N} \mapsto \mathbb{N}$  saéngga kanggo saben  $n \in \mathbb{N}$ , cacahé string kanthi dawa  $n$  ing  $S$  iku diwatesi déning  $p(n)$ . Ing tembung liya,  $|S^{=n}| \leq p(n)$ , ing ngendi  $S^{=n} \subseteq S$  ngandhut kabèh string ing  $S$  kanthi dawa  $n$ .

[list=1]
    [*] Diwènèhaké  $k \in \mathbb{N}$  sakumpulan jarang  $S_1, S_2 \ldots S_k$ , tuduhaké yèn ana sakumpulan jarang  $S$  lan TM wektu polinom deterministik  $M$  kanthi akses oracle menyang  $S$  saéngga diwènèhi input  $\langle x,i \rangle$  TM  $M$  bakal nampa yèn lan mung yèn  $x \in S_i$ .
    Definisikaké sakumpulan  $S$  (wigati yèn ora kudu bisa dikomputasi), lan wènèhi dèskripsi  $M$  kanthi oracle  $S$ .
    Wigati yèn TM  $M$  kanthi akses oracle menyang  $S$  bisa takon apa  $s \in S$  lan olèh jawaban kang bener ing wektu konstan. [/*]
    
    [*] Ayo didefinisikaké varian saka  $\textbf{P}_{angel}$  kang diarani  $\textbf{P}_{bad-angel}$  kanthi watesan yèn kudu ana algoritma wektu polinom kang bisa **ngomputasi** string malaékat kanggo saben dawa  $n \in \mathbb{N}$ . Ing tembung liya, ana algoritma wektu-poli  $A$  saéngga  $\alpha_n = A(n)$ .
    Apa  $\textbf{P} =\textbf{P}_{bad-angel}$ ? Apa  $\textbf{NP}=\textbf{P}_{bad-angel}$ ? Justifikasi.
    [/*]
    
    [*] Ayo basané  $L \in$   $\textbf{P}_{angel}$ . Tuduhaké yèn ana sakumpulan jarang  $S_L$  lan TM wektu polinom deterministik  $M$  kanthi akses oracle menyang  $S_L$  kang bisa mutusaké basané  $L$ . [/*]
","**Soal 1:**

Kanggo mbangun set jarang \( S \), kita bisa nggabungake set jarang \( S_1, S_2, \ldots, S_k \) kanthi menehi tag saben elemen karo indeks masing-masing. Sacara formal, definisikake \( S = \{ (i, x) \mid x \in S_i, 1 \leq i \leq k \} \), ing ngendi \((i, x)\) dikode kanthi menehi awalan \( x \) karo representasi biner saka \( i \). Amarga saben \( S_i \) jarang, kanggo saben dawa \( n \), jumlah string ing \( S \) dawa \( m = \lceil \log k \rceil + n \) diwatesi dening \( k \cdot p(n) \), sing isih polinomial ing \( m \). Mesin Turing wektu-polinomial \( M \) karo oracle \( S \) beroperasi kaya mangkene: ing input \(\langle x, i \rangle\), mesin kasebut mbangun string \((i, x)\), takon \( S \) kanggo string iki, lan nampa yen oracle ngonfirmasi anane.

**Jawaban:**
Set jarang \( S \) dumadi saka kabeh tuple \((i, x)\) ing ngendi \( x \in S_i \) kanggo \( 1 \leq i \leq k \). Mesin \( M \) karo oracle \( S \) mbangun string \((i, x)\) kanggo input \(\langle x, i\rangle\) lan mriksa keanggotaan ing \( S \).

---

**Soal 2:**

Kanggo \(\textbf{P}_{\text{bad-angel}}\), amarga string malaikat \( \alpha_n \) bisa diitung ing wektu polinomial dening \( A(n) \), petungan \( A(n) \) bisa dilebokake ing mesin wektu-polinomial \( M \). Mula, \( \textbf{P}_{\text{bad-angel}} \subseteq \textbf{P} \). Sabaliké, \( \textbf{P} \subseteq \textbf{P}_{\text{bad-angel}} \) kanthi nyetel \( A(n) \) kanggo ngasilake string saran null. Mula, \( \textbf{P} = \textbf{P}_{\text{bad-angel}} \).

Kanggo \( \textbf{NP} = \textbf{P}_{\text{bad-angel}} \), kajaba \( \textbf{NP} = \textbf{P} \), kesetaraan iki ora bener. Kemampuan kanggo ngitung string saran ing \( \textbf{P}_{\text{bad-angel}} \) ora nyedhiyakake nondeterminisme sing ana ing \( \textbf{NP} \).

**Jawaban:**
\( \textbf{P} = \textbf{P}_{\text{bad-angel}} \), nanging \( \textbf{NP} \neq \textbf{P}_{\text{bad-angel}} \) kajaba \( \textbf{NP} = \textbf{P} \).

---

**Soal 3:**

Basa \( L \in \textbf{P}_{\text{angel}} \) duwe urutan saran dawa-polinomial \( \{\alpha_n\} \) lan mesin wektu-polinomial \( M \). Miturut kesetaraan teorema Meyer antarane \( \textbf{P}/\text{poly} \) lan oracle jarang, ana set jarang \( S_L \) sing ngode saran supaya \( L \) bisa diputusake dening mesin Turing wektu-polinomial karo oracle \( S_L \). Khususé, \( S_L \) ngemot string saran \( \alpha_n \) sing dikode karo dawa \( n \), njamin kerapatan amarga saben \( \alpha_n \) unik saben dawa.

**Jawaban:**
Set jarang \( S_L \) ngemot string saran sing dikode \( \alpha_n \), lan mesin \( M \) takon \( S_L \) kanggo saran sing cocog karo dawa input \( |x| \) kanggo mutusake \( x \in L \).
"
"Kathy duwe $5$ kertu abang lan $5$ kertu ijo. Dheweke ngacak $10$ kertu kasebut lan nyelehake $5$ kertu ing baris kanthi urutan acak. Dheweke bakal seneng yen lan mung yen kabeh kertu abang sing dilebokake jejer lan kabeh kertu ijo sing dilebokake jejer. Contone, urutan kertu RRGGG, GGGGR, utawa RRRRR bakal nggawe Kathy seneng, nanging RRRGR ora. Probabilitas yen Kathy bakal seneng yaiku $\frac{m}{n}$ , ing ngendi $m$ lan $n$ minangka integer positif sing relatif prima. Temokake $m + n$ .
","Kathy nduweni 5 kertu abang lan 5 kertu ijo. Dheweke ngacak 10 kertu lan nggelar 5 kertu ing larikan. Kita kudu nemokake kemungkinan yen kabeh kertu abang sing digelar jejer lan kabeh kertu ijo sing digelar jejer.

Kaping pisanan, kita ngitung total nomer urutan sing bisa ditindakake kanthi nggelar 5 kertu saka 10, yaiku \(10 \times 9 \times 8 \times 7 \times 6 = 30240\).

Sabanjure, kita nimbang nomer urutan ""seneng"" ing ngendi kabeh kertu abang jejer lan kabeh kertu ijo jejer. Urutan iki bisa dadi kabeh abang, kabeh ijo, utawa kombinasi saka siji blok abang lan siji blok ijo.

1. **Kasus 1: Kabeh urutan abang utawa kabeh urutan ijo.**
   - Ana 2 urutan kaya ngono: RRRRR lan GGGGG.
   - Nomer cara kanggo saben urutan: \(5!\) (ngatur 5 kertu sing beda-beda kanthi warna sing padha).
   - Total kanggo Kasus 1: \(2 \times 5! = 2 \times 120 = 240\).

2. **Kasus 2: Urutan campuran kanthi blok abang lan ijo.**
   - Kanggo saben \(k\) (nomer kertu abang, saka 1 nganti 4), ana 2 urutan warna sing bisa ditindakake (blok abang luwih dhisik utawa blok ijo luwih dhisik).
   - Kanggo saben \(k\), nomer cara kanggo ngatur kertu yaiku \(2 \times P(5, k) \times P(5, 5 - k)\), ing ngendi \(P(n, k)\) minangka fungsi permutasi.
   - Pitungan:
     - \(k = 1\): \(2 \times (5 \times 5 \times 4 \times 3 \times 2) = 1200\)
     - \(k = 2\): \(2 \times (5 \times 4 \times 5 \times 4 \times 3) = 2400\)
     - \(k = 3\): \(2 \times (5 \times 4 \times 3 \times 5 \times 4) = 2400\)
     - \(k = 4\): \(2 \times (5 \times 4 \times 3 \times 2 \times 5) = 1200\)
   - Total kanggo Kasus 2: \(1200 + 2400 + 2400 + 1200 = 7200\).

Nambahake loro kasus kasebut, total nomer urutan seneng yaiku \(240 + 7200 = 7440\).

Kamungkinan yaiku \(\frac{7440}{30240} = \frac{31}{126}\). Nyederhanakake, kita entuk \(m = 31\) lan \(n = 126\). Mula, \(m + n = 31 + 126 = 157\).

\[
\boxed{157}
\]"
"Kothak $AIME$ duwé sisi dawane $10$ unit. Segitiga padhasuku $GEM$ duwé alas $EM$, lan wilayah sing padha ing segitiga $GEM$ lan kothak $AIME$ yaiku $80$ unit persegi. Temokake dawa garis dhuwur tumuju $EM$ ing $\triangle GEM$.
","Kothak \(AIME\) nduwèni sisi dawane 10 unit. Segitiga sama kaki \(GEM\) nduwèni alas \(EM\), lan jembar wilayah sing padha antarane segitiga \(GEM\) lan kothak \(AIME\) yaiku 80 unit persegi. Kita kudu nemokake dawa garis dhuwur menyang \(EM\) ing \(\triangle GEM\).

1. **Titik-titik Sudut Kothak**:
   - Selehake kothak ing sistem koordinat kanthi titik-titik sudut \(A(0, 0)\), \(I(0, 10)\), \(M(10, 10)\), lan \(E(10, 0)\).

2. **Segitiga Sama Kaki \(GEM\)**:
   - Alas \(EM\) vertikal saka \(E(10, 0)\) menyang \(M(10, 10)\).
   - Pucuk \(G\) segitiga ana ing sisih kiwa \(EM\) (ing njaba kothak kanggo garis dhuwur sing luwih gedhe).

3. **Koordinat \(G\)**:
   - Ayo garis dhuwur saka \(G\) menyang \(EM\) dadi \(h\). Koordinat \(G\) yaiku \((10 - h, 5)\) amarga segitiga kasebut sama kaki kanthi \(GE = GM\).

4. **Persamaan Garis**:
   - Garis \(GE\) nduweni persamaan \(y = -\frac{5}{h}x + \frac{50}{h}\).
   - Garis \(GM\) nduweni persamaan \(y = \frac{5}{h}x + 10 - \frac{50}{h}\).

5. **Persimpangan karo Kothak**:
   - Garis \(GE\) lan \(GM\) ngethok pinggir kiwa kothak (x=0) ing titik \((0, \frac{50}{h})\) lan \((0, 10 - \frac{50}{h})\).

6. **Perhitungan Jembar**:
   - Jembar tumpang tindih antarane segitiga lan kothak diitung kanthi ngintegrasi bedane antarane garis ndhuwur lan ngisor saka \(x = 0\) nganti \(x = 10\):
     \[
     \text{Jembar} = \int_{0}^{10} \left( \left( \frac{5}{h}x + 10 - \frac{50}{h} \right) - \left( -\frac{5}{h}x + \frac{50}{h} \right) \right) \, dx
     \]
   - Nyederhanakake integral:
     \[
     \text{Jembar} = \int_{0}^{10} \left( \frac{10}{h}x + 10 - \frac{100}{h} \right) \, dx = 100 - \frac{500}{h}
     \]
   - Nyetel jembar padha karo 80:
     \[
     100 - \frac{500}{h} = 80 \implies \frac{500}{h} = 20 \implies h = 25
     \]

Dadi, dawa garis dhuwur menyang \(EM\) ing \(\triangle GEM\) yaiku \(\boxed{25}\).
"
"Buktikake yen fungsi \[ f(\nu)= \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2-1)(1-\nu^2x^2)}}\]
(ing ngendi nilai positif saka oyod kuadrat dijupuk) iku kanthi monoton mudhun ing interval $ 0<\nu<1$ . [P. Turan]
","Kanggo mbuktèkaké yèn fungsi \( f(\nu) = \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2 - 1)(1 - \nu^2 x^2)}} \) iku monoton mudhun kanggo \( 0 < \nu < 1 \), kita miwiti kanthi ngowahi integral nganggo substitusi \( t = \nu x \). Iki ngowahi integral dadi:

\[
f(\nu) = \int_{\nu}^1 \frac{dt}{\sqrt{(t^2 - \nu^2)(1 - t^2)}}
\]

Sabanjuré, kita ngertèni integral iki minangka wujud saka integral eliptik jangkep jinis kapisan, \( K(k) \), ing ngendi \( k = \sqrt{1 - \nu^2} \). Mula, kita bisa ngandharaké \( f(\nu) \) minangka:

\[
f(\nu) = K(\sqrt{1 - \nu^2})
\]

Kanggo nemtokaké kemonotonan, kita ngétung turunan \( f'(\nu) \). Nganggo aturan rantai lan turunan integral eliptik jangkep jinis kapisan sing wis dingertèni, kita duwé:

\[
\frac{d}{d\nu} K(\sqrt{1 - \nu^2}) = \frac{dK}{dk} \cdot \frac{dk}{d\nu}
\]

ing ngendi \( k = \sqrt{1 - \nu^2} \). Turunan saka \( K(k) \) marang \( k \) diwènèhi déning:

\[
\frac{dK}{dk} = \frac{E(k) - (1 - k^2)K(k)}{k(1 - k^2)}
\]

lan turunan \( \frac{dk}{d\nu} \) yaiku:

\[
\frac{dk}{d\nu} = -\frac{\nu}{\sqrt{1 - \nu^2}}
\]

Nggabungaké asil-asil iki, kita éntuk:

\[
f'(\nu) = -\frac{\nu}{\sqrt{1 - \nu^2}} \cdot \frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\sqrt{1 - \nu^2} \cdot \nu^2}
\]

Nyederhanakaké èksprèsi iki, kita nemokaké:

\[
f'(\nu) = -\frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\nu(1 - \nu^2)}
\]

Langkah wigati yaiku ngertèni yèn \( E(\sqrt{1 - \nu^2}) > \nu^2 K(\sqrt{1 - \nu^2}) \) kanggo kabèh \( 0 < \nu < 1 \). Katrangan iki bener amarga integral eliptik jangkep jinis kapindho \( E(k) \) mesthi luwih gedhé tinimbang \( (1 - k^2)K(k) \) kanggo \( 0 < k < 1 \). Mula, pambagyan ing èksprèsi kanggo \( f'(\nu) \) iku positif, lan panyebut uga positif, njalari:

\[
f'(\nu) < 0
\]

Mula, \( f(\nu) \) iku monoton mudhun ing interval \( 0 < \nu < 1 \).

\[
\boxed{f(\nu) \text{ iku monoton mudhun ing } (0, 1)}
\]"
"Joanie njupuk silihan \$6,000 kanggo mbayar mobil. Tingkat bunga tahunan kanggo silihan yaiku 12%. Dheweke ora mbayar suwene 4 taun, nanging kudu mbayar kabeh dhuwit sing dadi utang ing pungkasan 4 taun. Pira dhuwit luwih akeh sing bakal dadi utang yen bunga dikompaun saben triwulan tinimbang yen bunga dikompaun saben taun? Nyatakake jawaban minangka nilai dolar nganti sen sing paling cedhak.
","Kanggo nemtokake pinten dhuwit luwih akeh sing bakal dadi utange Joanie yen bunga diperparah saben kuartal tinimbang saben taun, kita nggunakake rumus bunga majemuk \( A = P \left(1 + \frac{r}{n}\right)^{nt} \).

**Kanggo bunga majemuk taunan (n = 1):**
\[
A_{\text{taunan}} = 6000 \left(1 + \frac{0.12}{1}\right)^{1 \cdot 4} = 6000 \left(1.12\right)^4
\]
Ngitung \(1.12^4\):
\[
1.12^2 = 1.2544 \quad \text{lan} \quad 1.2544^2 \approx 1.57351936
\]
\[
A_{\text{taunan}} = 6000 \times 1.57351936 \approx 9441.12
\]

**Kanggo bunga majemuk saben kuartal (n = 4):**
\[
A_{\text{kuartal}} = 6000 \left(1 + \frac{0.12}{4}\right)^{4 \cdot 4} = 6000 \left(1.03\right)^{16}
\]
Ngitung \(1.03^{16}\):
\[
1.03^2 = 1.0609, \quad 1.0609^2 \approx 1.12550881, \quad \text{lan ngitung kanthi rekursif nganti } 1.03^{16} \approx 1.60470644
\]
\[
A_{\text{kuartal}} = 6000 \times 1.60470644 \approx 9628.24
\]

**Beda:**
\[
9628.24 - 9441.12 = 187.12
\]

\[
\boxed{187.12}
\]"
"Fungsi $f:[0,\infty)\to[0,\infty)$ terintegralkan lan $$\int_0^\infty f(x)^2 dx<\infty,\quad \int_0^\infty xf(x) dx <\infty$$ Buktekna ketidaksetaraan ing ngisor iki. $$\left(\int_0^\infty f(x) dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 dx \right) \left(\int_0^\infty xf(x) dx \right)$$
","Kanggo mbuktèkaké ketaksamaan

\[
\left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right),
\]

awaké dhéwé miwiti kanthi nimbang integral \( I = \int_0^\infty f(x) \, dx \), \( J = \int_0^\infty f(x)^2 \, dx \), lan \( K = \int_0^\infty x f(x) \, dx \). Awaké dhéwé kudu nuduhaké yèn \( I^3 \leq 8JK \).

Awaké dhéwé misahaké integral \( I \) dadi rong bagéan nggunakaké paramèter \( A \):

\[
I = \int_0^\infty f(x) \, dx = \int_0^A f(x) \, dx + \int_A^\infty f(x) \, dx = I_1 + I_2.
\]

Nggunakaké ketaksamaan Cauchy-Schwarz kanggo \( I_1 \):

\[
I_1 \leq \left( \int_0^A f(x)^2 \, dx \right)^{1/2} \left( \int_0^A 1 \, dx \right)^{1/2} = \sqrt{J_1} \sqrt{A},
\]

ing ngendi \( J_1 = \int_0^A f(x)^2 \, dx \). Kanggo \( I_2 \), gatèkaké yèn kanggo \( x \geq A \), \( x f(x) \geq A f(x) \), mula:

\[
I_2 \leq \frac{1}{A} \int_A^\infty x f(x) \, dx \leq \frac{K}{A}.
\]

Nggabungaké asil iki, awaké dhéwé éntuk:

\[
I \leq \sqrt{J_1} \sqrt{A} + \frac{K}{A}.
\]

Banjur awaké dhéwé ngéminimize sisih tengen kanthi milih \( A \). Nyetel \( A \) kanggo ngéminimize èksprèsi \( \sqrt{J} \sqrt{A} + \frac{K}{A} \), awaké dhéwé ngrampungaké kanggo \( A \) kanthi nyetel derivatif marang \( A \) dadi nol:

\[
\frac{\sqrt{J}}{2\sqrt{A}} - \frac{K}{A^2} = 0 \implies A^{3/2} = \frac{2K}{\sqrt{J}} \implies A = \left( \frac{2K}{\sqrt{J}} \right)^{2/3}.
\]

Nggantèkaké \( A \) manèh menyang èksprèsi, awaké dhéwé nemokaké:

\[
I \leq \sqrt{J} \left( \frac{2K}{\sqrt{J}} \right)^{1/3} + \frac{K}{\left( \frac{2K}{\sqrt{J}} \right)^{2/3}}.
\]

Nyederhanakaké loro-loroné istilah, awaké dhéwé éntuk:

\[
I \leq 2^{1/3} J^{1/2 - 1/6} K^{1/3} + 2^{-2/3} J^{1/3} K^{1/3}.
\]

Nggabungaké istilah lan ngubikaké asil, awaké dhéwé nggunakaké konvèksitas kanggo nuduhaké:

\[
I^3 \leq 8JK.
\]

Mula, ketaksamaan wis kabuktèkaké:

\[
\boxed{ \left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right) }
\]"
"Ing mekanika kuantum, nalika ngitung interaksi antarane elektron karo proton ing atom hidrogen, prelu ngitung integral volume ing ngisor iki (ing kabeh ruang):
$$
\mathbf{I}=\int \mathbf{B}(\mathbf{r})|\Psi(\mathbf{r})|^{2} d V
$$

ing ngendi $\Psi(\mathbf{r})$ minangka fungsi gelombang spasial elektron minangka fungsi posisi $\mathbf{r}$ lan $\mathbf{B}(\mathbf{r})$ yaiku (huruf kandel nuduhake vektor) medan magnet sing diasilake proton ing posisi $\mathbf{r}$. Upamane proton dumunung ing titik asal lan tumindak kaya dipol magnet ukuran winates (nanging luwih cilik tinimbang $a_{0}$ ) kanthi momen dipol

$\mu_{p}=1.41 \times 10^{-26} \mathrm{~J} / \mathrm{T}$. Ayo atom hidrogen ana ing kahanan dhasar, tegese $\Psi(\mathbf{r})=\frac{e^{-r / a_{0}}}{\sqrt{\pi a_{0}^{3}}}$, ing ngendi $a_{0}=5.29 \times 10^{-11} \mathrm{~m}$ minangka radius Bohr. Evaluasi gedhene integral $|\mathbf{I}|$ (ing unit SI).
","Kanggo ngira gedhené integral \(|\mathbf{I}|\) tumrap masalah sing wis ditemtokaké, kita kudu nimbang médan magnèt sing diasilaké déning proton, sing dimodelaké minangka dipol magnèt, lan fungsi gelombang kaanan dhasar èlèktron ing atom hidrogen. Tahapan utamané kaya ing ngisor iki:

1. **Médan Magnèt Dipol**:
   Médan magnèt \(\mathbf{B}(\mathbf{r})\) saka dipol sing dunungé ing titik asal nyakup istilah sing proporsional karo \(1/r^3\) lan istilah fungsi delta. Fungsi gelombang ora nol ing titik asal, dadi kita kudu nimbang istilah fungsi delta:
   \[
   \mathbf{B}(\mathbf{r}) = \frac{\mu_0}{4\pi} \left( \frac{3(\mathbf{\mu}_p \cdot \mathbf{\hat{r}})\mathbf{\hat{r}} - \mathbf{\mu}_p}{r^3} \right) + \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r})
   \]

2. **Kontribusi saka Istilah Fungsi Delta**:
   Integral volume disadakaké nalika nimbang istilah fungsi delta, sing njupuk nilai ing titik asal. Fungsi gelombang kaanan dhasar ing titik asal yaiku \(\Psi(0) = \frac{1}{\sqrt{\pi a_0^3}}\), dadi karapetan probabilitas ing titik asal yaiku \(|\Psi(0)|^2 = \frac{1}{\pi a_0^3}\). Kontribusi integral saka istilah fungsi delta yaiku:
   \[
   \mathbf{I} = \int \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r}) \frac{1}{\pi a_0^3} dV = \frac{2\mu_0}{3} \mathbf{\mu}_p \frac{1}{\pi a_0^3}
   \]

3. **Ngitung Gedhené**:
   Gedhené \(\mathbf{I}\) diwènèhi:
   \[
   |\mathbf{I}| = \frac{2\mu_0 \mu_p}{3\pi a_0^3}
   \]
   Ngganti nilai sing diwènèhaké (\(\mu_0 = 4\pi \times 10^{-7} \, \text{T·m/A}\), \(\mu_p = 1.41 \times 10^{-26} \, \text{J/T}\), \(a_0 = 5.29 \times 10^{-11} \, \text{m}\)):
   \[
   |\mathbf{I}| = \frac{2 \times 4\pi \times 10^{-7} \times 1.41 \times 10^{-26}}{3\pi \times (5.29 \times 10^{-11})^3}
   \]
   Nyadakaké èksprèsi:
   \[
   |\mathbf{I}| = \frac{8\pi \times 1.41 \times 10^{-33}}{3\pi \times 148.035 \times 10^{-33}} = \frac{11.28}{444.105} \approx 0.0254 \, \text{T}
   \]

Mula, gedhené integral \(|\mathbf{I}|\) yaiku \(\boxed{2.54 \times 10^{-2}}\) Tesla.
"
