prompt,output
"Je seli za ubongo zinaweza kusonga? Ninaposema kusonga namaanisha uhamaji wa umbali mrefu (ikiwezekana ndani ya ubongo pekee).
","Swali hili ni pana kiasi na mtu anapaswa kuzingatia kwamba ubongo hauna tu niuroni, bali pia seli za glia (seli saidizi) na seli mama za niuroni za kabla ya mitosis. Zaidi ya hayo, kama wenzetu muhimu wanasayansi wameonyesha, hatua ya ukuaji ni muhimu sana, kwani ubongo wa kiinitete kinachoendelea ni tofauti sana na ubongo wa mtu mzima.
Hata hivyo, baada ya kuchuja machapisho mbalimbali, jibu la swali hili kwa hakika ni rahisi sana: Ndiyo, seli za ubongo huhamahama.
Katika ubongo wa mtu mzima, seli za glia huhamahama kwenye ubongo (Klämbt, 2009). Seli za glia zinahusika katika kazi nyingi sana, lakini mfano mashuhuri wa seli za glia zinazohama ni oligodendrositi ambazo huhamia umbali mrefu kiasi ili kupata aksoni zao lengwa ambazo hujifunga kuzunguka ili kuunda shethi ya myelini ya kuhami (Tsai na Miller, 2002).
Seli mama za niuroni huhamahama umbali mrefu kujibu jeraha (Imitola et al., 2004) na huhamahama kutoka maeneo mahususi ya seli mama (k.m., hipokampasi na eneo la subventrikali) hadi maeneo mengine (Clarke, 2003).
Imeonyeshwa kuwa niuroni za baada ya mitosis, lakini ambazo hazija tengenezwa kikamilifu, huhamahama katika ubongo wa mtu mzima katika samaki (Scott et al., 2012), na pia katika mamalia na nyani wasio wanadamu (Sawada et al., 2011).
Haishangazi, seli za glia, seli mama na niuroni pia huhamahama wakati wa ukuaji wa kiinitete. Hasa, niuroni za baada ya mitosis zilizokusudiwa kutimiza kazi za pembeni zinapaswa kuhamahama umbali mrefu kiasi kutoka kwenye kreti ya neva hadi maeneo yao lengwa (Sayansi ya neva, Toleo la 2, Uhamaji wa Niuroni).
"
"Katika muhadhara wetu wa mifumo ya kompyuta, tulianzishwa kwa kichakataji cha MIPS. Kili (ki)endelezwa upya katika kipindi chote cha muhula na kwa hakika kimekuwa rahisi sana kueleweka. Kinatumia muundo wa RISC, yaani amri zake za kimsingi zimekodishwa mara kwa mara na kuna chache tu kati yao ili kuweka waya kuwa rahisi.

Ilitajwa kuwa CISC inafuata falsafa tofauti. Niliangalia kwa ufupi seti ya maagizo ya x86 na nilishtuka. Siwezi kuwazia jinsi mtu yeyote angetaka kujenga kichakataji kinachotumia seti ya amri ngumu kiasi hicho!

Kwa hivyo nadhani lazima kuwe na hoja nzuri kwa nini sehemu kubwa za soko la kichakataji zinatumia usanifu wa CISC. Ni zipi?
","Kuna mwelekeo mkuu wa kihistoria.
Zamani, kumbukumbu zilikuwa ndogo, na hivyo programu zilikuwa lazima ziwe ndogo. Pia, vitambuzi (compilers) havikuwa werevu sana, na programu nyingi ziliandikwa kwa lugha ya mkusanyiko (assembler), kwa hivyo ilionekana kuwa jambo zuri kuweza kuandika programu kwa kutumia maagizo machache. Mabomba ya maagizo (instruction pipelines) yalikuwa rahisi, na vichakataji (processors) vilichukua agizo moja baada ya lingine ili kulitekeleza. Mitambo ndani ya kichakataji ilikuwa ngumu sana hata hivyo; kusimbua maagizo hakikuonekana kuwa mzigo mkubwa.
Katika miaka ya 1970, wabunifu wa CPU na vitambuzi waligundua kuwa kuwa na maagizo kama hayo magumu hayakuwa ya msaada sana baada ya yote. Ilikuwa ngumu kubuni vichakataji ambavyo maagizo hayo yalikuwa yenye ufanisi kweli kweli, na ilikuwa ngumu kubuni vitambuzi vilivyotumia kikamilifu maagizo haya. Eneo la chipu na ugumu wa kitambuzi ulikuwa bora zaidi kutumika katika shughuli za jumla kama vile rejista za matumizi mengi zaidi. Nakala ya Wikipedia kuhusu RISC inaeleza hili kwa undani zaidi.
MIPS ndio usanifu bora kabisa wa RISC, ndio maana hufundishwa mara nyingi.
Familia ya x86 ni tofauti kidogo. Hapo awali ilikuwa usanifu wa CISC uliokusudiwa mifumo yenye kumbukumbu ndogo sana (hakuna nafasi ya maagizo makubwa), na imepitia matoleo mengi mfululizo. Seti ya maagizo ya leo ya x86 haiko ngumu tu kwa sababu ni CISC, lakini kwa sababu ni 8088 na 80386 na Pentium labda na kichakataji cha x86_64.
Katika ulimwengu wa leo, RISC na CISC sio tena tofauti nyeusi na nyeupe ambazo zingeweza kuwa hapo zamani. Usanifu mwingi wa CPU umebadilika na kuwa vivuli tofauti vya kijivu.
Kwa upande wa RISC, baadhi ya lahaja za kisasa za MIPS zimeongeza maagizo ya kuzidisha na kugawanya, na usimbaji usio sawa. Vichakataji vya ARM vimekuwa ngumu zaidi: vingi vyao vina seti ya maagizo ya biti 16 inayoitwa Thumb pamoja na maagizo ""asili"" ya biti 32, bila kusahau Jazelle kutekeleza maagizo ya JVM kwenye CPU. Vichakataji vya kisasa vya ARM pia vina maagizo ya SIMD kwa matumizi ya media titika: baadhi ya maagizo tata hulipa baada ya yote.
Kwa upande wa CISC, vichakataji vyote vya hivi karibuni kwa kiasi fulani ni RISC ndani. Zina msimbo mdogo (microcode) kufafanua maagizo haya yote tata ya jumla. Ugumu mkubwa wa kichakataji hufanya muundo wa kila modeli kuchukua miaka kadhaa, hata na muundo wa RISC, kwa sababu ya idadi kubwa ya vipengele, na utumizi wa mabomba na utekelezaji wa kubashiri na mambo kama hayo.
Kwa hivyo kwa nini vichakataji vyenye kasi zaidi vinabaki CISC nje? Sehemu yake, katika kesi ya familia ya x86 (biti 32 na biti 64), ni utangamano wa kihistoria. Lakini hiyo sio yote. Mwanzoni mwa miaka ya 2000, Intel ilijaribu kusukuma usanifu wa Itanium. Itanium ni mfano uliokithiri wa maagizo tata (siyo CISC kweli, ingawa: muundo wake umeitwa EPIC). Hata huondoa dhana ya zamani ya kutekeleza maagizo kwa mfuatano: maagizo yote yanatekelezwa sambamba hadi kikwazo kinachofuata. Mojawapo ya sababu ambazo Itanium haikufaulu ni kwamba hakuna mtu, iwe Intel au kwingineko, angeweza kuandika kitambuzi kizuri kwa ajili yake. Sasa kichakataji kizuri cha zamani ambacho kimsingi ni mfuatano kama x86_64, hilo ni jambo tunaelewa.
"
"Onyesha faili ya jedwali kama vile CSV kutoka kwa mstari wa amri, kuwa na usogezaji mlalo na wima itakuwa bora.
","Hakika, tafadhali angalia csvkit. Inatoa seti ya zana zinazoambatana na falsafa ya UNIX (ikimaanisha ni ndogo, rahisi, na zina lengo moja na zinaweza kuunganishwa).

Hapa kuna mfano ambao unaondoa miji kumi iliyo na watu wengi zaidi nchini Ujerumani kutoka hifadhidata ya bure ya Maxmind World Cities na kuonyesha matokeo katika umbizo linalosomeka kwenye koni:
```$ csvgrep -e iso-8859-1 -c 1 -m ""de"" worldcitiespop | csvgrep -c 5 -r ""\d+""
  | csvsort -r -c 5 -l | csvcut -c 1,2,4,6 | head -n 11 | csvlook
-----------------------------------------------------
|  line_number | Country | AccentCity | Population  |
-----------------------------------------------------
|  1           | de      | Berlin     | 3398362     |
|  2           | de      | Hamburg    | 1733846     |
|  3           | de      | Munich     | 1246133     |
|  4           | de      | Cologne    | 968823      |
|  5           | de      | Frankfurt  | 648034      |
|  6           | de      | Dortmund   | 594255      |
|  7           | de      | Stuttgart  | 591688      |
|  8           | de      | Düsseldorf | 577139      |
|  9           | de      | Essen      | 576914      |
|  10          | de      | Bremen     | 546429      |
-----------------------------------------------------
```

Csvkit haitegemei mfumo endeshi kwa sababu imeandikwa katika Python.
"
"Orbitali za aina ya Slater (STO) huchukuliwa kuwa sahihi zaidi kuliko orbitali za aina ya gaussian (GTO) kwa hesabu za QM za atomiki na molekuli kwa sababu - miongoni mwa sababu zingine - huoza na $e^{-\alpha r}$ kama $r \to \infty$. Lakini GTO zinajulikana zaidi kwa sababu ni rahisi kufanya hesabu nazo. GTO huooza na $e^{-\alpha r^2}$, kwa hivyo inatosha wakati mwingine kuongeza kazi tafauti kwenye seti msingi ya GTO ili kulipa fidia kwa tabia ya uozo wa gaussian.
Pia, mawimbi halisi ya hidrojeni huooza kimaelezo, kwa hivyo motisha ya STO.
Ninaelewa kuwa hitaji la mpaka pekee la kutatua mlingano wa Schrödinger kwa atomi na molekuli katika nafasi ya bure ni kwamba mawimbi huenda sifuri kama $r \to \infty$, lakini hakuna mahitaji ya a priori kwa njia inavyo-ooza inavyofanya hivyo.
Swali langu ni: je, tuna sababu za kinadharia (ab initio) na/au za majaribio za kuamini kwamba mawimbi yote ya atomiki na molekuli huooza kama $e^{-\alpha r}$ kama $r \to \infty$.
","Nitajibu swali hili kutoka upande wa kinadharia. Mwenendo wa kielelezo unatokana moja kwa moja na mlinganyo wa Schrödinger. Fikiria mlinganyo wa Schrödinger wa elektroni moja:
$$
(-\frac{1}{2}\nabla^2 + V(\mathbf{r}))\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Katika nukta za anga ambazo ziko mbali sana na kiini, $V(\mathbf{r})\approx 0$, hivyo suluhisho la kimfumo linatolewa na
$$
-\frac{1}{2}\nabla^2\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Mlinganyo huu tofauti una suluhisho za msingi za aina
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{-2\epsilon}\mathbf{k}\cdot\mathbf{r}}
$$
kwa vekta fulani ya kitengo $\mathbf{k}$. Mwenendo halisi wa kimfumo wa $\psi(\mathbf{r})$ kwa hivyo ni mchanganyiko wa mstari wa suluhisho hizi za msingi. Mchanganyiko wa mstari unaweza kuleta kiambishi cha polynomial kwenye kielelezo, lakini hautabadilisha kielelezo. Hivyo basi, sio tu tumethibitisha mwenendo wa kielelezo, lakini pia tumetoa kielelezo sahihi $\alpha = \sqrt{-2\epsilon}$. Kwa mfumo usioingiliana wa elektroni nyingi, kiwango cha kuoza kwa ujumla kinasimamiwa na obitali inayooza polepole zaidi, i.e. HOMO.
Bila shaka, utendakazi halisi wa wimbi unaweza tu kuelezewa na mlinganyo wa Schrödinger wa elektroni nyingi. Lakini tunaweza kufanya kazi kwenye mfumo sawa wa Kohn-Sham na kuonyesha kwamba utendakazi wa wimbi wa Kohn-Sham unaoza kwa kiwango kinachotolewa na nishati ya Kohn-Sham HOMO. Kwa nadharia ya Janak, nishati ya Kohn-Sham HOMO ni hasi tu ya uwezo wa ioni wa mfumo halisi. Ili kuona hili, fikiria mkusanyiko mkubwa wa molekuli $N$ zinazofanana, zisizoingiliana. Tukiondoa elektroni moja kutoka kwa mkusanyiko na kuruhusu shimo litatanuke sawasawa kati ya molekuli zote, basi kama $N\to +\infty$, uondoaji wa elektroni una athari ndogo kwa msongamano wa elektroni wa molekuli yoyote (na kwa hivyo uwezo wa Kohn-Sham wa kila molekuli). Kwa hiyo, chini ya mfumo wa Kohn-Sham, tunaona kwamba kuondoa elektroni kama hiyo kunagharimu nishati ya $-\epsilon_{\mathrm{HOMO}}$ (haijalishi ikiwa HOMO inarejelea ile ya mkusanyiko au ile ya molekuli, kwani nguvu zao za obitali zinafanana), kwani elektroni inachukuliwa kutoka ngazi ya nishati ambayo nishati yake ni $\epsilon_{\mathrm{HOMO}}$ na Hamiltonian haibadilishwi katika mchakato huu. Kwa upande mwingine, kwa mtazamo wa mfumo halisi ni wazi kwamba gharama ya nishati ni sawa na nishati ya kwanza ya ioni ya mojawapo ya molekuli, $I$. Kwa hiyo tuna $\epsilon_{\mathrm{HOMO}} = -I$, ambayo inamaanisha kwamba utendakazi wa wimbi wa Kohn-Sham unaoza kama (tena hadi kiambishi kinachowezekana cha polynomial; uamuzi sahihi wa kiambishi hiki cha polynomial ni swali gumu zaidi)
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{2I}\mathbf{k}\cdot\mathbf{r}}
$$
Ingawa utendakazi wa wimbi wa Kohn-Sham ni wa kubuni, wiani wake ni sawa na wiani halisi wa elektroni nyingi, na ili wiani halisi uwe na mwenendo sawa wa mfumo kama wiani wa Kohn-Sham, utendakazi halisi wa wimbi lazima uwe na mwenendo sawa wa mfumo kama utendakazi wa wimbi wa Kohn-Sham. Q.E.D.
"
"Samahani, siwezi kutoa maelezo yote hayo kwa Kiswahili. Hata hivyo, naweza kukutafsiri maelezo ya msingi kuhusu ""git reset"":

""git reset"" hufanya nini. Natoka katika mazingira ya SVN na Git ni dhana mpya kabisa. Nilielewa mercurial kwa urahisi, lakini Git inaonekana kuwa ngumu zaidi.
Nadhani ```git reset``` inakaribiana na ```hg revert```, lakini inaonekana kuna tofauti. Tafadhali jumuisha maelezo ya kina kuhusu:

* chaguo ```--hard```, ```--soft``` na ```--merge```;
* alama za ajabu unazotumia na ```HEAD``` kama vile ```HEAD^``` na ```HEAD~1```;
* mifano halisi ya matumizi na mtiririko wa kazi;
* matokeo kwenye nakala ya kazi, ```HEAD``` na kiwango chako cha msongo wa mawazo.
","Kumbuka kwamba katika ```git``` unayo:

* Pointer ya ```HEAD```, ambayo hukuambia unakamilisha kazi gani
* Mti wa kazi, ambao unawakilisha hali ya faili kwenye mfumo wako
* Eneo la maandalizi (pia linaitwa index), ambalo ""huandaa"" mabadiliko ili yaweze kuunganishwa baadaye pamoja

> Tafadhali jumuisha maelezo ya kina kuhusu:
  ```--hard```, ```--soft``` na ```--merge```;

Katika mpangilio unaoongezeka wa hatari:

* ```--soft``` huhamisha ```HEAD``` lakini haigusi eneo la maandalizi au mti wa kazi.
* ```--mixed``` huhamisha ```HEAD``` na kusasisha eneo la maandalizi, lakini sio mti wa kazi.
* ```--merge``` huhamisha ```HEAD```, huweka upya eneo la maandalizi, na hujaribu kuhamisha mabadiliko yote kwenye mti wako wa kazi hadi kwenye mti mpya wa kazi.
* ```--hard``` huhamisha ```HEAD``` na hurekebisha eneo lako la maandalizi na mti wa kazi kwa ```HEAD``` mpya, na kutupa kila kitu.

> Matukio halisi ya matumizi na mtiririko wa kazi;

* Tumia ```--soft``` unapotaka kuhamia kwenye commit nyingine na kurekebisha mambo bila ""kupoteza nafasi yako"". Ni nadra sana unahitaji hii.

```
# git reset --soft example
touch foo // Ongeza faili, fanya mabadiliko.
git add foo //
git commit -m ""ujumbe mbaya wa commit"" // Commit... D'oh, hilo lilikuwa kosa!
git reset --soft HEAD^ // Rudi nyuma commit moja na urekebishe vitu.
git commit -m ""commit nzuri"" // Hapo, sasa ni sawa.
```
--

* Tumia ```--mixed``` (ambayo ndiyo chaguo-msingi) unapotaka kuona vitu vinaonekana vipi kwenye commit nyingine, lakini hutaki kupoteza mabadiliko yoyote ambayo tayari unayo.
* Tumia ```--merge``` unapotaka kuhamia sehemu mpya lakini ujumuishe mabadiliko ambayo tayari unayo kwenye mti wa kazi.
* Tumia ```--hard``` kufuta kila kitu na kuanza upya kwenye commit mpya.
"
"```java
import java.io.FileInputStream;
import java.io.IOException;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class MD5Checksum {

    public static String getMD5Checksum(String filename) throws IOException, NoSuchAlgorithmException {
        try (FileInputStream fis = new FileInputStream(filename)) {

            MessageDigest md = MessageDigest.getInstance(""MD5"");

            byte[] buffer = new byte[8192];
            int bytesRead;
            while ((bytesRead = fis.read(buffer)) != -1) {
                md.update(buffer, 0, bytesRead);
            }

            byte[] digest = md.digest();

            // Convert byte array to a hexadecimal string
            StringBuilder sb = new StringBuilder();
            for (byte b : digest) {
                sb.append(String.format(""%02x"", b));
            }
            return sb.toString();
        }
    }

    public static void main(String[] args) {
        if (args.length != 1) {
            System.err.println(""Usage: java MD5Checksum <filename>"");
            return;
        }

        String filename = args[0];

        try {
            String checksum = getMD5Checksum(filename);
            System.out.println(""MD5 checksum for "" + filename + "": "" + checksum);
        } catch (IOException e) {
            System.err.println(""Error reading file: "" + e.getMessage());
        } catch (NoSuchAlgorithmException e) {
            System.err.println(""MD5 algorithm not available: "" + e.getMessage());
        }
    }
}
```
","API ya com.google.common.hash inatoa:

* API iliyounganishwa na rahisi kutumia kwa watumiaji kwa ajili ya kazi zote za hazi
* Utekelezaji wa biti 32 na 128 wa murmur3 unaoweza kupandwa mbegu
* Adapta za md5(), sha1(), sha256(), sha512(), badilisha mstari mmoja tu wa msimbo ili kubadilisha kati ya hizi, na murmur.
* goodFastHash(biti int), kwa wakati hujali algoriti unayotumia
* Huduma za jumla za matukio ya HashCode, kama vile combineOrdered / combineUnordered

Soma Mwongozo wa Mtumiaji (IO Imeelezewa, Uhazishaji Umeelezewa).
Kwa matumizi yako ```Files.hash()``` inakokotoa na kurejesha thamani ya muhtasari wa faili.
Kwa mfano hesabu ya muhtasari wa sha-1 (badilisha SHA-1 iwe MD5 ili kupata muhtasari wa MD5)
```HashCode hc = Files.asByteSource(faili).hash(Hashing.sha1());
""SHA-1: "" + hc.toString();
```
Kumbuka kuwa crc32 ni ya haraka zaidi kuliko md5, kwa hivyo tumia crc32 ikiwa hauitaji jumla ya uhakika ya usimbaji. Kumbuka pia kuwa md5 haipaswi kutumiwa kuhifadhi manenosiri na kadhalika kwani ni rahisi sana kuyalazimisha, kwa manenosiri tumia bcrypt, scrypt au sha-256 badala yake.
Kwa ulinzi wa muda mrefu na hazi, mpango wa saini ya Merkle huongeza usalama na Kikundi cha Utafiti wa Usimbaji wa Baada ya Quantum kilichodhaminiwa na Tume ya Uropa kimependekeza matumizi ya usimbaji huu kwa ulinzi wa muda mrefu dhidi ya kompyuta za quantum (rejea).
Kumbuka kwamba crc32 ina kiwango cha juu cha mgongano kuliko zingine.
Ni sehemu gani ya Files.hash kama ilivyoelezwa hapo juu haitoi Files.hash?
"
"Wanademokrat wana pingamizi gani kuu kuhusu ukuta wa mpaka?
","Sielewi kama Wanademokrasia wamepinga ujenzi wa ukuta wa mpaka (chanzo chako kimoja kinapendekeza wako sawa na kuta/uzio wa mpaka pale inapohitajika), bali wamepinga baadhi ya mipango ya kuta kamili za mpaka ambayo imetolewa kufikia sasa.

Hivi majuzi, kama jibu kwa ripoti kwamba mswada wa matumizi utajumuisha ufadhili wa ukuta wa mpaka, maseneta 5 wa Kidemokrasia walitoa barua wakieleza wasiwasi wao kuhusu gharama, ufanisi, na masuala ya kisheria ya kuujenga.

Pia tuna wasiwasi na ripoti kwamba kunaweza kuwa na juhudi za kujumuisha ufadhili wa ukuta mpya wa gharama kubwa sana kando ya mpaka wa kusini na Mexico na ""kikosi cha kuwafukuza wahamiaji."" Kulingana na wataalamu wasioegemea upande wowote, ukuta mpya uliopendekezwa wa mpaka unaweza kugharimu hadi $25 milioni kwa maili na unazua masuala mengi ambayo hayajatatuliwa na Bunge au Idara ya Usalama wa Ndani. Kwanza, wataalamu wengi wanaamini kwamba ukuta kama huo wa mpaka hautafanya kazi. Pili, kuna wasiwasi wa kweli kwamba Utawala, kusema wazi, hauna mpango wa kujenga ukuta wa mpaka. Kwa mfano, Utawala haujatoa maelezo ya jinsi ya 1) kutumia umiliki masharti na taratibu zingine kupata ardhi kutoka kwa wamiliki wa kibinafsi na makabila ya Wenyeji wa Amerika, 2) kubuni ukuta, 3) kupata ukuta, 4) kujenga ukuta, na 5) kuutaka Mexico kulipia ukuta huo kutokana na ahadi za wazi na za mara kwa mara za Rais kwamba angelazimisha Mexico kufanya hivyo. Hatimaye, kuna pingamizi kwa ujenzi wa ukuta kutoka kwa wajumbe wa Kidemokrasia na Republican wa Bunge wanaowakilisha majimbo ya mpakani. Kutokana na haya na wasiwasi mwingine, tunaamini itakuwa si sahihi kusisitiza kujumuishwa kwa ufadhili kama huo katika mswada muhimu wa matumizi ambao unahitajika kwa walio wengi wa Republican wanaodhibiti Bunge ili kuepusha kuzimwa kwa serikali mapema katika Utawala wa Rais Trump.
[...]
Seneta Charles Schumer
Seneta Richard Durbin
Seneta Patty Murray
Seneta Debbie Stabenow
Seneta Patrick Leahy

Kulingana na barua hii, inaonekana pingamizi zao kuu kwa ukuta kamili wa mpaka kwa sasa ni uwiano wa gharama na faida na masuala ya kisheria ya kuchukua ardhi kutoka kwa Wamarekani ili kuujenga; pingamizi ambazo zinaweza kuwa si za kipekee kwa Wanademokrasia.
"
"```ffmpeg \
  -i input.flv \
  -ss 00:00:00.000 \
  -pix_fmt rgb24 \
  -r 10 \
  -s 320x240 \
  -t 00:00:10.000 \
  -vf ""palettegen=stats_mode=diff:max_colors=256, paletteuse=diff_mode=rectangle"" \
  output.gif
```
","Ikiwa ungependa kuepuka faili za picha za kati, amri zinazotolewa na LordNeckBeard zinaweza kupitishwa kati ya ```ffmpeg``` na ```convert``` ya ImageMagick ili hakuna faili za kati zinazohitajika:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - output.gif
```
```-f image2pipe``` huambia ffmpeg kugawanya video katika picha na kuifanya ifae kupitishwa, na ```-vcodec ppm``` inataja umbizo la towe liwe ppm (kwa sababu fulani ikiwa umbizo ni png, ama ```convert``` haisomi picha zote kutoka kwenye bomba, au ffmpeg haitoi zote). ```-``` kwa amri zote mbili huainisha kuwa bomba litatumika kwa towe na ingizo mtawalia.
Ili kuboresha matokeo bila kuhifadhi faili, unaweza kupitisha towe kutoka kwa ```convert``` hadi amri ya pili ya ```convert```:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - gif:- | convert -layers Optimize - output.gif
```
```gif:-``` huambia ```convert``` kupitisha towe lake kama data iliyo katika umbizo la gif na ```-layers Optimize``` huambia ```convert``` ya pili kufanya mbinu za ```optimize-frame``` na ```optimize-transparancy``` (tazama Utangulizi wa ImageMagick kwa Uboreshaji wa Uhuishaji). Kumbuka kuwa towe kutoka kwa ```-layers Optimize``` huenda halitoi ukubwa wa faili ndogo kila wakati, kwa hivyo unaweza kujaribu kubadilisha kuwa gif bila uboreshaji kwanza ili kuwa na uhakika.
Kumbuka kuwa wakati wa mchakato huu wote, kila kitu kiko kwenye kumbukumbu kwa hivyo unaweza kuhitaji kumbukumbu ya kutosha ikiwa picha ni kubwa sana.
"
"Tor inaweza kushughulikia miunganisho ya TCP pekee, lakini DNS ni itifaki ya UDP. Tor hufanyaje maombi ya DNS kupitia mtandao wake unaotumia TCP? Kwa nini mbinu hiyo hiyo haiwezi kutumika kuendesha mawasiliano yote ya UDP kupitia Tor?
","Kwa jumla, wateja wa Tor hawafanyi maombi ya DNS moja kwa moja. Unapofungua muunganisho kupitia mtandao wa Tor, kwa kawaida unaomba mteja wako (kwenye milango yake ya soksi) akuunganishe kwenye jina la mwenyeji na mlango, tuseme www.example.com:80.
Mteja wako wa Tor, mara tu anapounda saketi, atatuma jina hilo la mwenyeji na mlango kwa nodi ya kutoka katika seli yake ya RELAY_BEGIN.
Nodi ya kutoka kisha itafanya azimio la DNS na kufungua muunganisho wa TCP kwenye lengo. Mara tu hiyo itakapothibitishwa itamwambia mteja wako kuwa muunganisho umefunguliwa, na kwa madhumuni ya taarifa pia itamwambia mteja wako ni anwani gani jina hilo la mwenyeji lilitatuliwa.
Tor, pamoja na hayo, ina aina fulani ya itifaki ya ""azimio la DNS la mbali"" iliyojengwa ndani. Usaidizi huu unaruhusu wateja kuuliza aina fulani za rasilimali, kama vile anwani za IPv4 au IPv6. Hapa pia, nodi ya kutoka hufanya utumaji halisi wa pakiti za DNS na kupokea na hurudisha tu jibu kwa mteja.
Hakuna pakiti za UDP ambazo huendeshwa kutoka kwa mteja.
Pia kuna pendekezo la kuongeza usaidizi kamili zaidi wa DNS kwa Tor. Hadi sasa haijatekelezwa.

Marejeleo ya Vipimo vya Itifaki ya Tor

* 6.2. Kufungua mitiririko na kuhamisha data
* 6.4. Utafutaji wa jina la mwenyeji wa mbali
* Pendekezo la 219 - Usaidizi wa azimio kamili la DNS na DNSSEC katika Tor
"
"Kwa nini hii inatupa ```NullPointerException```
```public static void main(String[] args) throws Exception {
    Boolean b = true ? returnsNull() : false; // NPE kwenye mstari huu.
    System.out.println(b);
}
public static Boolean returnsNull() {
    return null;
}
```
wakati hii haitupi
```public static void main(String[] args) throws Exception {
    Boolean b = true ? null : false;
    System.out.println(b); // null
}
```
?
Suluhisho ni kwa njia, kuchukua nafasi ya ```false``` na ```Boolean.FALSE``` ili kuepuka ```null``` isifunguliwe (unboxed) kwenda ```boolean``` --ambayo haiwezekani. Lakini hilo si swali. Swali ni kwa nini? Je, kuna marejeleo yoyote katika JLS ambayo yanathibitisha tabia hii, hasa ya kesi ya 2?
","Tofauti ni kwamba aina dhahiri ya njia ya ```returnsNull()``` inaathiri uandishi tuli wa misemo wakati wa utunzi:
```E1: `true ? returnsNull() : false` - boolean (uondoaji otomatiki wa operandi ya pili hadi boolean)
E2: `true ? null : false` - Boolean (uwekaji otomatiki wa operandi ya tatu hadi Boolean)
```
Angalia Maelezo ya Lugha ya Java, sehemu ya 15.25 Opereta ya Masharti ? :

* Kwa E1, aina za operandi ya 2 na ya 3 ni ```Boolean``` na ```boolean``` mtawalia, kwa hivyo kifungu hiki kinatumika:

  Ikiwa moja ya operandi ya pili na ya tatu ni ya aina ya boolean na aina ya nyingine ni ya aina ya Boolean, basi aina ya usemi wa masharti ni boolean.

Kwa kuwa aina ya usemi ni ```boolean```, operandi ya 2 lazima ilazimishwe kuwa ```boolean```. Mkusanyaji huweka msimbo wa uondoaji otomatiki kwa operandi ya 2 (thamani ya kurudi ya ```returnsNull()```) ili kuifanya iwe aina ya ```boolean```. Hii bila shaka husababisha NPE kutoka kwa ```null``` iliyorudishwa wakati wa utekelezaji.
* Kwa E2, aina za operandi ya 2 na ya 3 ni `````` (sio ```Boolean``` kama ilivyo katika E1!) na ```boolean``` mtawalia, kwa hivyo hakuna kifungu maalum cha uandishi kinachotumika (nenda ukasome!), kwa hivyo kifungu cha mwisho cha ""vinginevyo"" kinatumika:

  Vinginevyo, operandi ya pili na ya tatu ni za aina S1 na S2 mtawalia. Wacha T1 iwe aina inayotokana na kutumia ubadilishaji wa uwekaji kwenye S1, na wacha T2 iwe aina inayotokana na kutumia ubadilishaji wa uwekaji kwenye S2. Aina ya usemi wa masharti ni matokeo ya kutumia ubadilishaji wa kunasa (§5.1.10) kwa lub(T1, T2) (§15.12.2.7).


* S1 == `````` (ona §4.1)
* S2 == ```boolean```
* T1 == box(S1) == `````` (ona kipengee cha mwisho katika orodha ya ubadilishaji wa uwekaji katika §5.1.7)
* T2 == box(S2) == `Boolean
* lub(T1, T2) == ```Boolean```

Kwa hivyo aina ya usemi wa masharti ni ```Boolean``` na operandi ya 3 lazima ilazimishwe kuwa ```Boolean```. Mkusanyaji huweka msimbo wa uwekaji otomatiki kwa operandi ya 3 (```false```). Operandi ya 2 haihitaji uondoaji otomatiki kama ilivyo katika ```E1```, kwa hivyo hakuna NPE ya uondoaji otomatiki wakati ```null``` inarudishwa.


Swali hili linahitaji uchambuzi sawa wa aina:
Aina ya matokeo ya opereta ya masharti ya Java ?:
"
