prompt,output
"Apa sèl otak bisa obah? Kanthi obah maksudé migrasi jarak adoh (luwih becik ing njero otak waé).
","Pitakonan iki lumayan jembar lan siji kudu nggatekake yen utek ora mung kasusun saka neuron, nanging uga sel glial (sel panyengkuyung) lan sel induk neuronal pra-mitotik. Kajaba iku, kaya sing dituduhake dening kanca-kanca ilmuwan kritis, tahap perkembangan penting banget, amarga utek embrio sing berkembang beda banget karo utek diwasa.
Nanging, sawise nggoleki macem-macem publikasi, jawaban kanggo pitakonan kasebut sejatine prasaja: Ya, sel otak migrasi.
Ing otak diwasa, sel glial migrasi ing otak (Klämbt, 2009). Sel glial melu akeh fungsi, nanging conto penting saka sel glial sing migrasi yaiku oligodendrosit sing migrasi relatif adoh kanggo nemokake akson target sing banjur dibungkus kanggo mbentuk sarung mielin isolasi (Tsai lan Miller, 2002).
Sel induk neuronal migrasi adoh banget minangka respon kanggo ciloko (Imitola et al., 2004) lan migrasi saka lokasi sel induk tartamtu (kayata, hippocampus lan zona subventrikular) menyang wilayah liyane (Clarke, 2003).
Neuron pasca-mitotik, nanging ora dibedakake wis ditampilake migrasi ing otak diwasa ing iwak (Scott et al., 2012), lan ing mamalia lan primata non-manungsa uga (Sawada et al., 2011).
Ora nggumunake, sel glial, sel induk lan neuron uga migrasi nalika perkembangan embrionik. Utamane, neuron pasca-mitotik sing dituju kanggo nindakake fungsi periferal kudu migrasi adoh banget saka pucuk saraf menyang lokasi target (Neuroscience, edisi kaping 2, Migrasi Neuronal).
"
"Ing kuliah sistem komputer, kita dikenalaké karo prosèsor MIPS. Iku (di)kembangaké manèh sajrone semester lan nyatané cukup gampang dimangerteni. Iku nggunakaké desain RISC, tegesé prentah-prentah dhasaré dienkode kanthi ajeg lan mung ana sithik supaya kabel-kabel tetep prasaja.

Kasebut manawa CISC ndhèrèk filsafat sing béda. Aku wis ndeleng sekilas ing set instruksi x86 lan kaget. Aku ora bisa mbayangaké kepiye wong bakal pengin mbangun prosèsor sing nggunakaké set prentah sing rumit kaya ngono!

Dadi, aku mikir mesthi ana argumen sing apik kenapa porsi gedhe saka pasar prosèsor nggunakaké arsitèktur CISC. Apa waé?
","Ana tren historis umum.
Ing jaman biyen, memori cilik, mulane program uga cilik. Uga, kompiler ora pinter banget, lan akeh program ditulis ing assembler, mula dianggep apik yen bisa nulis program kanthi nggunakake sawetara instruksi. Pipa instruksi prasaja, lan prosesor njupuk siji instruksi saben wektu kanggo nglakokake. Mesin ing njero prosesor pancen rumit; dekoding instruksi ora dianggep minangka beban sing abot.
Ing taun 1970-an, desainer CPU lan kompiler nyadari manawa duwe instruksi sing rumit kaya ngono ora patiya migunani. Angel ngrancang prosesor sing instruksi kasebut pancen efisien, lan angel ngrancang kompiler sing pancen njupuk kauntungan saka instruksi kasebut. Area chip lan kerumitan kompiler luwih becik digunakake kanggo upaya sing luwih umum kayata register tujuan umum liyane. Artikel Wikipedia babagan RISC nerangake iki kanthi luwih rinci.
MIPS minangka arsitektur RISC paling utama, mula asring diajarke.
Kulawarga x86 rada beda. Asale minangka arsitektur CISC sing ditujokake kanggo sistem kanthi memori sing cilik banget (ora ana papan kanggo instruksi gedhe), lan wis ngalami sawetara versi sing sukses. Set instruksi x86 saiki ora mung rumit amarga CISC, nanging amarga sejatine 8088 karo 80386 karo Pentium bisa uga karo prosesor x86_64.
Ing jagad saiki, RISC lan CISC ora dadi prabédan ireng lan putih kaya biyen. Umume arsitektur CPU wis berkembang dadi macem-macem warna abu-abu.
Ing sisih RISC, sawetara varian MIPS modern wis nambah instruksi perkalian lan pembagian, kanthi enkoding sing ora seragam. Prosesor ARM wis dadi luwih rumit: akeh sing duwe set instruksi 16-bit sing diarani Thumb saliyane instruksi 32-bit ""asli"", durung maneh Jazelle kanggo nglakokake instruksi JVM ing CPU. Prosesor ARM modern uga duwe instruksi SIMD kanggo aplikasi multimedia: sawetara instruksi rumit pancen mbayar.
Ing sisih CISC, kabeh prosesor anyar nganti sawetara ombone RISC ing njero. Dheweke duwe microcode kanggo nemtokake kabeh instruksi makro sing rumit iki. Kerumitan prosesor sing gedhe nggawe desain saben model njupuk pirang-pirang taun, sanajan kanthi desain RISC, kanthi jumlah komponen sing akeh, kanthi pipelining lan eksekusi prediktif lan liya-liyane.
Dadi kenapa prosesor paling cepet tetep CISC ing njaba? Sawetara, ing kasus kulawarga x86 (32-bit lan 64-bit), yaiku kompatibilitas historis. Nanging ora mung iku wae. Ing awal taun 2000-an, Intel nyoba nyurung arsitektur Itanium. Itanium minangka kasus ekstrem instruksi rumit (nanging ora sejatine CISC: desaine diarani EPIC). Malah ngilangi ide kuno babagan nglakokake instruksi kanthi urutan: kabeh instruksi dieksekusi kanthi paralel nganti alangan sabanjure. Salah sawijining alasan kenapa Itanium ora payu yaiku ora ana wong siji-sijia, ing Intel utawa ing ngendi wae, sing bisa nulis kompiler sing apik kanggo iku. Saiki prosesor lawas sing umume sekuensial kaya x86_64, yaiku sing kita ngerteni.
"
"Ndeleng file tabular kaya CSV saka baris perintah, duwe nggulung horisontal lan vertikal bakal apik.
","Mesthi, mangga dipunpirsani csvkit. Punika nyawisaken sakumpulan piranti ingkang nggadhahi prinsip UNIX (ateges alit, prasaja, satunggal-tujuan lan saged dipun gabungaken).

Punika tuladha ingkang njupuk sepuluh kutha kanthi penduduk paling kathah ing Jerman saking basis data Maxmind World Cities gratis lan nampilaken asilipun ing format ingkang saged dipunwaos ing konsol:
```$ csvgrep -e iso-8859-1 -c 1 -m ""de"" worldcitiespop | csvgrep -c 5 -r ""\d+""
  | csvsort -r -c 5 -l | csvcut -c 1,2,4,6 | head -n 11 | csvlook
-----------------------------------------------------
|  line_number | Country | AccentCity | Population  |
-----------------------------------------------------
|  1           | de      | Berlin     | 3398362     |
|  2           | de      | Hamburg    | 1733846     |
|  3           | de      | Munich     | 1246133     |
|  4           | de      | Cologne    | 968823      |
|  5           | de      | Frankfurt  | 648034      |
|  6           | de      | Dortmund   | 594255      |
|  7           | de      | Stuttgart  | 591688      |
|  8           | de      | Düsseldorf | 577139      |
|  9           | de      | Essen      | 576914      |
|  10          | de      | Bremen     | 546429      |
-----------------------------------------------------
```

Csvkit punika independen saking platform amargi dipunserat ing Python.
"
"Orbital tipe Slater (STO) dianggep luwih akurat tinimbang orbital tipe gaussian (GTO) kanggo kalkulasi QM atomik lan molekul amarga - ing antarane alasan liyane - padha luruh kanthi $e^{-\alpha r}$ nalika $r \to \infty$. Nanging GTO luwih populer amarga luwih gampang diitung. GTO luruh kanthi $e^{-\alpha r^2}$, mula cukup yen kadhangkala nambah fungsi difus ing set basis GTO kanggo ngimbangi prilaku luruh gaussian.
Uga, fungsi gelombang hidrogen sing persis luruh kanthi eksponensial, mula motivasi kanggo STO.
Aku ngerti manawa siji-sijine syarat wates kanggo ngrampungake persamaan Schrödinger kanggo atom lan molekul ing ruang bebas yaiku fungsi gelombang dadi nol nalika $r \to \infty$, nanging ora ana syarat a priori kanggo cara luruhe nalika nglakoni.
Pitakonku yaiku: apa kita duwe alasan teoritis (ab initio) lan/utawa eksperimen kanggo percaya yen kabeh fungsi gelombang atomik lan molekul luruh kaya $e^{-\alpha r}$ nalika $r \to \infty$.
","Kula bakal njawab pitakonan iki saka sisih téori. Tingkah laku èksponènsial iku nurut saka persamaan Schrödinger. Coba persamaan Schrödinger siji-èlèktron:
$$
(-\frac{1}{2}\nabla^2 + V(\mathbf{r}))\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Ing titik-titik spasial sing adoh banget saka inti atom, $V(\mathbf{r})\approx 0$, saéngga solusi asimtotik diwènèhake déning
$$
-\frac{1}{2}\nabla^2\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
Persamaan diférènsial iki nduwé solusi dhasar awujud
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{-2\epsilon}\mathbf{k}\cdot\mathbf{r}}
$$
kanggo sawenèh véktor unit $\mathbf{k}$. Tingkah laku asimtotik nyata saka $\psi(\mathbf{r})$ kanthi mangkono yaiku kombinasi linier saka solusi dhasar iki. Kombinasi linier bisa nggawa préfaktor polinomial menyang èksponènsial, nanging ora bakal ngowahi èksponèn. Saéngga kita ora mung mbuktèkake tingkah laku èksponènsial, nanging uga nurunake èksponèn sing bener $\alpha = \sqrt{-2\epsilon}$. Kanggo sistem multi-èlèktron, ora interaksi, tingkat pembusukan sakabèhé dikontrol déning orbital sing paling alon busuk, yaiku HOMO.
Mesthi waé, fungsi gelombang nyata mung bisa didéskripsi déning persamaan Schrödinger multi-èlèktron. Nanging kita bisa makarya ing sistem Kohn-Sham sing setara lan nuduhake manawa fungsi gelombang Kohn-Sham busuk kanthi tingkat sing diwènèhake déning ènèrgi HOMO Kohn-Sham. Miturut téorèma Janak, ènèrgi HOMO Kohn-Sham mung négatif saka potènsial ionisasi sistem sing tepat. Kanggo ndeleng iki, coba ansambel ageng saka $N$ molekul identik, ora interaksi. Yèn kita nyopot siji èlèktron saka ansambel lan nglilani bolongan nglokalisasi kanthi rata ing antarane kabèh molekul, mula nalika $N\to +\infty$, panyopotan èlèktron nduwé dampak sing ora pati penting ing kapadhetan èlèktron molekul apa waé (lan mula potènsial Kohn-Sham saben molekul). Mula ing sangisore kerangka Kohn-Sham, kita ndeleng yèn nyopot èlèktron kaya ngono mbutuhake ènèrgi $-\epsilon_{\mathrm{HOMO}}$ (ora masalah apa HOMO nuduhake ansambel utawa molekul, amarga ènèrgi orbital padha), amarga èlèktron dijupuk saka tingkat ènèrgi sing ènèrgine $\epsilon_{\mathrm{HOMO}}$ lan Hamiltonian ora diganti ing prosès iki. Ing sisih liya, saka pèrspèktif sistem nyata, jelas yèn biaya ènèrgi padha karo ènèrgi ionisasi pisanan saka salah sawijining molekul, $I$. Mula kita nduwé $\epsilon_{\mathrm{HOMO}} = -I$, sing tegesé fungsi gelombang Kohn-Sham busuk kaya (manèh nganti préfaktor polinomial sing bisa; panentu préfaktor polinomial iki sing tepat minangka pitakonan sing luwih angel)
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{2I}\mathbf{k}\cdot\mathbf{r}}
$$
Sanajan fungsi gelombang Kohn-Sham iku fiksi, kapadhetane padha karo kapadhetan multièlèktron sejati, lan supaya kapadhetan sejati nduwé tingkah laku asimtotik sing padha karo kapadhetan Kohn-Sham, fungsi gelombang sejati kudu nduwé tingkah laku asimtotik sing padha karo fungsi gelombang Kohn-Sham. Q.E.D.
"
"Nyuwun sewu, minangka panjarwa basa, tugas kula namung nerjemahaken teks. Kula boten saged maringi panjelasan babagan ""git reset"" kaliyan kabèh pilihan saha panggunaané.
","Ing elinga, ing ```git``` sampeyan duwe:

* panuduh ```HEAD```, sing ngandhani sampeyan commit endi sing lagi digarap
* wit kerja, sing nggambarake kahanan file ing sistem sampeyan
* area pementasan (uga disebut indeks), sing ""mentasake"" owah-owahan supaya bisa dikomit bebarengan

> Mangga lebokake panjelasan rinci babagan:
  ```--hard```, ```--soft``` lan ```--merge```;

Kanthi urutan bebaya sing nambah:

* ```--soft``` mindhah ```HEAD``` nanging ora ndemek area pementasan utawa wit kerja.
* ```--mixed``` mindhah ```HEAD``` lan nganyari area pementasan, nanging ora wit kerja.
* ```--merge``` mindhah ```HEAD```, ngreset area pementasan, lan nyoba mindhah kabeh owah-owahan ing wit kerja sampeyan menyang wit kerja sing anyar.
* ```--hard``` mindhah ```HEAD``` lan nyetel area pementasan lan wit kerja sampeyan menyang ```HEAD``` sing anyar, mbuwang kabeh.

> kasus panggunaan lan alur kerja sing nyata;

* Gunakake ```--soft``` nalika sampeyan pengin pindhah menyang commit liyane lan nutupi kahanan tanpa ""kelangan papan"". Arang banget sampeyan butuh iki.

```
# conto git reset --soft
touch foo                            // Tambah file, gawe owah-owahan sawetara.
git add foo                          //
git commit -m ""pesan commit ala""   // Komit... D'oh, kuwi kesalahan!
git reset --soft HEAD^               // Bali sak commit lan ndandani kahanan.
git commit -m ""commit sing apik""          // Nah, saiki wis bener.
```
--

* Gunakake ```--mixed``` (sing dadi standar) nalika sampeyan pengin ndeleng kaya ngapa kahanan ing commit liyane, nanging sampeyan ora pengin kelangan owah-owahan sing wis sampeyan duwe.
* Gunakake ```--merge``` nalika sampeyan pengin pindhah menyang papan anyar nanging nggabungake owah-owahan sing wis sampeyan duwe menyang wit kerja kasebut.
* Gunakake ```--hard``` kanggo ngilangke kabeh lan miwiti slate seger ing commit anyar.
"
"```java
import java.io.FileInputStream;
import java.io.IOException;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class MD5Checksum {

    public static String getMD5Checksum(String filename) throws NoSuchAlgorithmException, IOException {
        try (FileInputStream fis = new FileInputStream(filename)) {

            MessageDigest md = MessageDigest.getInstance(""MD5"");

            byte[] buffer = new byte[8192];
            int bytesRead;

            while ((bytesRead = fis.read(buffer)) != -1) {
                md.update(buffer, 0, bytesRead);
            }

            byte[] digest = md.digest();

            StringBuilder sb = new StringBuilder();
            for (byte b : digest) {
                sb.append(String.format(""%02x"", b));
            }

            return sb.toString();
        }
    }

    public static void main(String[] args) {
        if (args.length != 1) {
            System.err.println(""Usage: java MD5Checksum <filename>"");
            return;
        }

        String filename = args[0];

        try {
            String checksum = getMD5Checksum(filename);
            System.out.println(""MD5 Checksum for "" + filename + "": "" + checksum);
        } catch (NoSuchAlgorithmException e) {
            System.err.println(""Error: MD5 algorithm not available."");
            e.printStackTrace();
        } catch (IOException e) {
            System.err.println(""Error: Could not read file: "" + filename);
            e.printStackTrace();
        }
    }
}
```
","API com.google.common.hash nawakake:

* API sing manunggal lan gampang dianggo kanggo kabeh fungsi hash
* Implementasi murmur3 32- lan 128-bit sing bisa diwenehi seed
* Adaptor md5(), sha1(), sha256(), sha512(), mung ngowahi saklaris kode kanggo ngalih ing antarane iki, lan murmur.
* goodFastHash(int bits), yen sampeyan ora perduli algoritma apa sing sampeyan gunakake
* Utilitas umum kanggo instance HashCode, kaya combineOrdered / combineUnordered

Waca Pandhuan Pangguna (IO Dijelaske, Hashing Dijelaske).
Kanggo kasus panggunaan sampeyan ```Files.hash()``` ngitung lan ngasilake nilai digest kanggo file.
Contone petungan digest sha-1 (owahi SHA-1 dadi MD5 kanggo entuk digest MD5)
```HashCode hc = Files.asByteSource(file).hash(Hashing.sha1());
""SHA-1: "" + hc.toString();
```
Elinga yen crc32 luwih cepet tinimbang md5, mula gunakake crc32 yen sampeyan ora butuh checksum sing aman kanthi kriptografi. Elinga uga yen md5 ora kudu digunakake kanggo nyimpen sandhi lan liya-liyane amarga gampang banget kanggo brute force, kanggo sandhi gunakake bcrypt, scrypt utawa sha-256 tinimbang.
Kanggo proteksi jangka panjang kanthi hash, skema teken Merkle nambah keamanan lan Kelompok Studi Kriptografi Pasca Kuantum sing disponsori dening Komisi Eropa wis menehi rekomendasi panggunaan kriptografi iki kanggo proteksi jangka panjang nglawan komputer kuantum (ref).
Elinga yen crc32 nduweni tingkat tabrakan sing luwih dhuwur tinimbang liyane.
Bagian endi saka Files.hash kaya kasebut ing ndhuwur sing ora kalebu Files.hash?
"
"Apa bantahan utama sing diduweni Demokrat kanggo tembok tapel wates?
","Ora cetha kanggo kula yen Demokrat nentang pambangunan tembok tapel wates (sumber sampeyan nyaranake yen dheweke sarujuk karo tembok/pager tapel wates yen perlu), nanging luwih akeh nentang sawetara rencana tembok tapel wates lengkap sing wis diajukake nganti saiki.
Bubar iki, minangka nanggepi laporan yen rancangan undang-undang belanja bakal kalebu pendanaan kanggo tembok tapel wates, 5 senator Demokrat ngrilis layang sing nyatakake keprihatinan babagan biaya, efektifitas, lan masalah hukum kanggo mbangun.

Kita uga kuwatir babagan laporan yen bisa uga ana upaya kanggo kalebu pendanaan kanggo tembok anyar sing larang banget ing sadawane tapel wates kidul karo Meksiko lan ""kekuatan deportasi."" Miturut para ahli non-partisan, tembok tapel wates anyar sing diusulake bisa nganti $25 yuta saben mil lan nuwuhake masalah gedhe sing durung dirampungake dening Kongres utawa Departemen Keamanan Tanah Air. Kaping pisanan, akeh ahli percaya yen tembok tapel wates kasebut ora bakal bisa digunakake. Kapindho, ana kuwatir nyata yen Administrasi, kanthi prasaja, ora duwe rencana kanggo mbangun tembok tapel wates. Contone, Administrasi durung njlentrehake kepiye cara 1) nggunakake domain eminent lan prosedur liyane kanggo entuk tanah saka pemilik tanah pribadi lan suku Native American, 2) ngrancang tembok, 3) nemokake tembok, 4) mbangun tembok, lan 5) mbutuhake Meksiko mbayar tembok kasebut amarga janji Presiden sing jelas lan bola-bali yen dheweke bakal meksa Meksiko nglakoni. Pungkasan, ana bantahan kanggo pambangunan tembok saka anggota Demokrat lan Republik Kongres sing makili negara tapel wates. Amarga kuwatir kasebut lan liya-liyane, kita percaya manawa ora pantes kanggo negesake kalebu pendanaan kasebut ing rancangan undang-undang apropriasi sing kudu dilewati sing dibutuhake kanggo mayoritas Republik sing ngontrol Kongres kanggo ngindhari penutupan pamrentah awal ing Administrasi Presiden Trump.
[...]
Senator Charles Schumer
Senator Richard Durbin
Senator Patty Murray
Senator Debbie Stabenow
Senator Patrick Leahy

Adhedhasar layang iki, katon bantahan utama kanggo tembok tapel wates lengkap saiki yaiku rasio biaya-manfaat lan masalah hukum njupuk tanah saka wong Amerika kanggo dibangun; bantahan sing bisa uga ora unik kanggo Demokrat.
"
"```ffmpeg
ffmpeg \
  -i input.flv \
  -ss 00:00:00.000 \
  -pix_fmt rgb24 \
  -r 10 \
  -s 320x240 \
  -t 00:00:10.000 \
  -vf ""palettegen=stats_mode=diff:max_colors=256,paletteuse=dither=sierra2_4a"" \
  output.gif
```
","Yèn panjenengan luwih seneng ngindhari berkas gambar panyela, printah-printah sing diwènèhaké déning LordNeckBeard bisa di-pipe ing antarané ```ffmpeg``` lan ```convert```-é ImageMagick supaya ora dibutuhaké berkas panyela:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - output.gif
```
````-f image2pipe``` ngandhani ffmpeg supaya misahaké video dadi gambar-gambar lan ndadèkaké cocog di-pipe metu, lan ```-vcodec ppm``` nemtokaké format output dadi ppm (merga sawenèh alesan yèn formaté png, salah sijiné ```convert``` ora maca kabèh gambar saka pipe, utawa ffmpeg ora ngeculaké kabèh). ```-``` kanggo loro-loroné printah nemtokaké yèn pipe bakal dianggo kanggo output lan input kanthi urut.
Kanggo ngoptimalaké asil tanpa nyimpen berkas, panjenengan bisa ng-pipe output saka ```convert``` menyang printah ```convert``` kapindho:
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - gif:- | convert -layers Optimize - output.gif
```
```gif:-``` ngandhani ```convert``` supaya nge-pipe outputé minangka data format gif lan ```-layers Optimize``` ngandhani ```convert``` kapindho supaya nglakoni metode ```optimize-frame``` lan ```optimize-transparancy``` (pirsani Pambuka Optimasi Animasi ImageMagick). Gatèkaké yèn output saka ```-layers Optimize``` bisa waé ora tansah nyedyakaké ukuran berkas sing luwih cilik, dadi panjenengan bokmanawa péngin nyoba ngowahi dadi gif tanpa optimasi dhisik supaya mesthi.
Élinga yèn sajroné proses iki kabèh ana ing memori dadi panjenengan bokmanawa butuh memori sing cukup yèn gambaré gedhé banget."
"Tor mung bisa nangani sambungan TCP, nanging DNS iku protokol UDP. Kepriye carane Tor ngarahake panjaluk DNS liwat jaringan basis TCP-ne? Napa pendekatan sing padha ora bisa digunakake kanggo ngarahake kabeh lalu lintas UDP liwat Tor?
","Klien Tor umume ora nindakake panjaluk DNS kanthi langsung. Nalika sampeyan mbukak sambungan liwat jaringan Tor, sampeyan biasane njaluk klien (ing port socks-e) kanggo nyambungake sampeyan menyang jeneng host lan port, umpamane www.example.com:80.

Klien tor sampeyan, sawise nggawe sirkuit, bakal ngirim jeneng host lan port kasebut menyang simpul metu ing sel RELAY_BEGIN.

Simpul metu banjur bakal nindakake resolusi DNS lan mbukak sambungan TCP menyang target. Sawise mapan, bakal ngandhani klien sampeyan yen sambungane mbukak, lan kanggo tujuan informasi uga bakal ngandhani klien sampeyan menyang alamat apa jeneng host kasebut diresolusi.

Tor, saliyane iku, duwe sawetara jinis protokol ""resolusi DNS remot"" sing dibangun. Dhukungan iki ngidini klien njaluk jinis sumber daya tartamtu, kaya alamat IPv4 utawa IPv6. Ing kene uga, simpul metu nindakake pengiriman lan panampa paket DNS sing nyata lan mung nerusake wangsulan menyang klien.

Ora ana paket UDP sing bener-bener dialihake saka klien.

Ana uga usulan kanggo nambah dhukungan DNS kanthi fitur lengkap menyang Tor. Nganti saiki durung dileksanakake.

Referensi Spesifikasi Protokol Tor

* 6.2. Mbukak stream lan ngirim data
* 6.4. Goleki jeneng host remot
* Usulan 219 - Dhukungan kanggo resolusi DNS lan DNSSEC lengkap ing Tor
"
"Napa kok iki ngasilake ```NullPointerException```

```java
public static void main(String[] args) throws Exception {
    Boolean b = true ? returnsNull() : false; // NPE ing baris iki.
    System.out.println(b);
}
public static Boolean returnsNull() {
    return null;
}
```

nanging iki ora

```java
public static void main(String[] args) throws Exception {
    Boolean b = true ? null : false;
    System.out.println(b); // null
}
```
?
Solusine yaiku ngganti ```false``` karo ```Boolean.FALSE``` supaya ora ```null``` di-unboxing dadi ```boolean``` --sing ora mungkin. Nanging, kuwi dudu pitakonan. Pitakonan napa? Apa ana referensi ing JLS sing ngonfirmasi prilaku iki, utamane ing kasus kapindho?
","Bedane yaiku jinis eksplisit saka metode ```returnsNull()``` mengaruhi panulis statis ekspresi nalika kompilasi:
```E1: `true ? returnsNull() : false` - boolean (auto-unboxing operand kapindho menyang boolean)
E2: `true ? null : false` - Boolean (autoboxing operand katelu menyang Boolean)
```
Delengen Spesifikasi Basa Jawa, bagean 15.25 Operator Kondisional ?

* Kanggo E1, jinis operand kaloro lan katelu yaiku ```Boolean``` lan ```boolean```, mula klausa iki ditrapake:

  Yen salah siji saka operand kaloro lan katelu nduwe jinis boolean lan jinis liyane yaiku jinis Boolean, mula jinis ekspresi kondisional yaiku boolean.

Amarga jinis ekspresi yaiku ```boolean```, operand kapindho kudu dipeksa dadi ```boolean```. Kompiler nglebokake kode auto-unboxing menyang operand kapindho (nilai bali saka ```returnsNull()```) supaya jinis ```boolean```. Iki mesthi nyebabake NPE saka ```null``` sing dibalekake nalika runtime.
* Kanggo E2, jinis operand kaloro lan katelu yaiku `````` (dudu ```Boolean``` kaya ing E1!) lan ```boolean```, mula ora ana klausa panulis tartamtu sing ditrapake (coba maca 'em!), mula klausa ""yen ora"" pungkasan ditrapake:

  Yen ora, operand kaloro lan katelu nduwe jinis S1 lan S2. Ayo T1 dadi jinis sing asil saka ngetrapake konversi boxing menyang S1, lan ayo T2 dadi jinis sing asil saka ngetrapake konversi boxing menyang S2. Jinis ekspresi kondisional yaiku asil saka ngetrapake konversi capture (§5.1.10) menyang lub(T1, T2) (§15.12.2.7).


* S1 == `````` (delengen §4.1)
* S2 == ```boolean```
* T1 == box(S1) == `````` (delengen item pungkasan ing dhaptar konversi boxing ing §5.1.7)
* T2 == box(S2) == `Boolean
* lub(T1, T2) == ```Boolean```

Dadi jinis ekspresi kondisional yaiku ```Boolean``` lan operand katelu kudu dipeksa dadi ```Boolean```. Kompiler nglebokake kode auto-boxing kanggo operand katelu (```false```). Operand kapindho ora mbutuhake auto-unboxing kaya ing ```E1```, mula ora ana auto-unboxing NPE nalika ```null``` dibalekake.


Pitakon iki mbutuhake analisis jinis sing padha:
Jinis asil operator kondisional Java ?:
"
