prompt,output
"Dato un numero razionale, scrivilo come frazione ai minimi termini e calcola il prodotto del numeratore e del denominatore risultanti. Per quanti numeri razionali tra 0 e 1 il prodotto risultante sarà $20_{}^{}!$?
","Dato un numero razionale compreso tra 0 e 1, dobbiamo scriverlo come una frazione ai minimi termini \(\frac{a}{b}\) e calcolare il prodotto del numeratore e del denominatore risultanti. Dobbiamo determinare quanti di questi numeri razionali esistono dove il prodotto \(a \times b = 20!\).

1. **Fattorizzazione in numeri primi di 20!**:
   - I fattori primi di 20! sono 2, 3, 5, 7, 11, 13, 17 e 19. Questi sono 8 primi distinti.

2. **Coppie Coprime**:
   - Per \(a \times b = 20!\) e \(\gcd(a, b) = 1\), ogni fattore primo di 20! deve essere assegnato interamente ad \(a\) o a \(b\). Ciò si traduce in \(2^8 = 256\) coppie coprime \((a, b)\).

3. **Conteggio delle coppie \(a < b\)**:
   - Dato che \(a\) e \(b\) sono coprimi e \(a \times b = 20!\), ogni coppia \((a, b)\) e \((b, a)\) è distinta. Per trovare le coppie dove \(a < b\), dividiamo il numero totale di coppie per 2, escludendo il caso \(a = b\) (il che è impossibile dato che 20! non è un quadrato).

4. **Risultato**:
   - Il numero di coppie coprime \((a, b)\) con \(a < b\) è \(\frac{256}{2} = 128\).

Pertanto, il numero di numeri razionali compresi tra 0 e 1 per i quali il prodotto del numeratore e del denominatore ai minimi termini è \(20!\) è \(\boxed{128}\).
"
"Trova il resto quando $9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9}}$ è diviso per $1000$.
","Per trovare il resto quando \(9 \times 99 \times 999 \times \cdots \times \underbrace{99\cdots9}_{\text{999 9}}\) è diviso per 1000, consideriamo il prodotto modulo 8 e modulo 125 separatamente, quindi combiniamo i risultati usando il teorema cinese del resto.

1. **Calcolo Modulo 8:**
   - Ogni termine nel prodotto è \(10^k - 1\), che modulo 8 è \(2^k - 1\).
   - Per \(k \geq 3\), \(2^k \equiv 0 \mod 8\), quindi \(2^k - 1 \equiv -1 \mod 8\).
   - Il prodotto modulo 8 è:
     \[
     (2^1 - 1)(2^2 - 1) \times (-1)^{997} \equiv 1 \times 3 \times (-1)^{997} \equiv 1 \times 3 \times (-1) \equiv -3 \equiv 5 \mod 8
     \]

2. **Calcolo Modulo 125:**
   - Ogni termine \(10^k - 1\) modulo 125 per \(k \geq 3\) è \(-1\) poiché \(10^3 \equiv 0 \mod 125\).
   - Il prodotto modulo 125 è:
     \[
     (10^1 - 1)(10^2 - 1) \times (-1)^{997} \equiv 9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv -16 \equiv 109 \mod 125
     \]

3. **Combinazione dei Risultati Utilizzando il Teorema Cinese del Resto:**
   - Abbiamo bisogno di \(x\) tale che:
     \[
     x \equiv 5 \mod 8 \quad \text{e} \quad x \equiv 109 \mod 125
     \]
   - Sia \(x = 125m + 109\). Quindi:
     \[
     125m + 109 \equiv 5 \mod 8 \implies 5m + 5 \equiv 5 \mod 8 \implies 5m \equiv 0 \mod 8 \implies m \equiv 0 \mod 8
     \]
   - Pertanto, \(m = 8n\) e \(x = 125(8n) + 109 = 1000n + 109\), quindi \(x \equiv 109 \mod 1000\).

4. **Calcolo Diretto Modulo 1000:**
   - Il prodotto alterna modulo 1000. I primi due termini producono 891. Ogni termine successivo contribuisce \(-1\) mod 1000:
     \[
     9 \times 99 \times (-1)^{997} \equiv 891 \times (-1) \equiv -891 \equiv 109 \mod 1000
     \]

Pertanto, il resto quando il prodotto è diviso per 1000 è \(\boxed{109}\)."
"Una base di un trapezio è $100$ unità più lunga dell'altra base. Il segmento che unisce i punti medi dei lati divide il trapezio in due regioni le cui aree sono nel rapporto $2: 3$. Sia $x$ la lunghezza del segmento che unisce i lati del trapezio, parallelo alle basi, che divide il trapezio in due regioni di area uguale. Trovare il più grande intero che non supera $x^2/100$.
","Sia \( b \) la base minore e \( b + 100 \) la base maggiore. La linea mediana del trapezio, che congiunge i punti medi dei lati obliqui, ha una lunghezza pari alla media delle due basi, \( b + 50 \). Le aree delle regioni divise da questa linea mediana sono nel rapporto di 2:3.

La condizione del rapporto delle aree fornisce l'equazione:
\[
\frac{b + 25}{b + 75} = \frac{2}{3}
\]
Risolvendo questa, troviamo:
\[
3(b + 25) = 2(b + 75) \implies 3b + 75 = 2b + 150 \implies b = 75
\]
Quindi, le basi sono 75 e 175 unità.

Per trovare la lunghezza \( x \) del segmento che divide il trapezio in due regioni di uguale area, usiamo la media quadratica delle basi. La lunghezza \( x \) è data da:
\[
x = \sqrt{\frac{a^2 + b^2}{2}}
\]
dove \( a = 75 \) e \( b = 175 \). Sostituendo questi valori:
\[
x = \sqrt{\frac{75^2 + 175^2}{2}} = \sqrt{\frac{5625 + 30625}{2}} = \sqrt{\frac{36250}{2}} = \sqrt{18125}
\]
Quindi, \( x^2 = 18125 \). Calcolando \( \frac{x^2}{100} \):
\[
\frac{18125}{100} = 181.25
\]
Il più grande intero non superiore a 181.25 è 181.

\[
\boxed{181}
\]"
"Sia $L \subseteq \{0,1\}^*$ un linguaggio in $\textbf{P}_{angel}$ se esiste un polinomio $p : \mathbb{N} \mapsto \mathbb{N}$, una sequenza di stringhe $\{\alpha_n\}_{n \in \mathbb{N}}$ con $\alpha_n \in \{0,1\}^{p(n)}$, e una macchina di Turing deterministica polinomiale $M$ tale che per ogni $x \in \{0,1\}^n$
$$ x \in L \Leftrightarrow M(x, \alpha_n) = 1 $$
Chiamiamo $\alpha_n$ la *stringa angelo* per tutti gli $x$ di lunghezza $n$. Notare che la *stringa angelo* $\textbf{non}$ è simile a un *testimone* o *certificato* come usato nella definizione di $\textbf{NP}$. Per esempio, tutti i linguaggi unari, anche $UHALT$ che è indecidibile, sono in $\textbf{P}_{angel}$ perché la \textit{stringa angelo} può semplicemente essere un singolo bit che ci dice se la stringa unaria data è in $UHALT$ oppure no.

Un insieme $S \subseteq \Sigma^*$ si dice **sparso** se esiste un polinomio $p : \mathbb{N} \mapsto \mathbb{N}$ tale che per ogni $n \in \mathbb{N}$, il numero di stringhe di lunghezza $n$ in $S$ è limitato da $p(n)$. In altre parole, $|S^{=n}| \leq p(n)$, dove $S^{=n} \subseteq S$ contiene tutte le stringhe in $S$ che sono di lunghezza $n$.

[list=1]
    [*] Dati $k \in \mathbb{N}$ insiemi sparsi $S_1, S_2 \ldots S_k$, mostrare che esiste un insieme sparso $S$ e una TM deterministica polinomiale $M$ con accesso oracolare a $S$ tale che dato un input $\langle x,i \rangle$ la TM $M$ lo accetterà se e solo se $x \in S_i$.
    Definire l'insieme $S$ (notare che non è necessario che sia calcolabile), e dare la descrizione di $M$ con oracolo $S$.
    Notare che una TM $M$ con accesso oracolare a $S$ può richiedere se $s \in S$ e ottenere la risposta corretta in tempo costante. [/*]
    
    [*] Definiamo una variante di $\textbf{P}_{angel}$ chiamata $\textbf{P}_{bad-angel}$ con un vincolo che ci dovrebbe essere un algoritmo polinomiale che può **calcolare** la stringa angelo per ogni lunghezza $n \in \mathbb{N}$. In altre parole, c'è un algoritmo polinomiale $A$ tale che $\alpha_n = A(n)$.
    $\textbf{P} =\textbf{P}_{bad-angel}$? $\textbf{NP}=\textbf{P}_{bad-angel}$? Giustificare.
    [/*]
    
    [*] Sia il linguaggio $L \in$ $\textbf{P}_{angel}$. Mostrare che esiste un insieme sparso $S_L$ e una TM deterministica polinomiale $M$ con accesso oracolare a $S_L$ che può decidere il linguaggio $L$. [/*]
[/list]
","**Problema 1:**

Per costruire l'insieme sparso \( S \), possiamo combinare gli insiemi sparsi \( S_1, S_2, \ldots, S_k \) etichettando ciascun elemento con il suo rispettivo indice. Formalmente, definiamo \( S = \{ (i, x) \mid x \in S_i, 1 \leq i \leq k \} \), dove \((i, x)\) è codificato prefissando \( x \) con la rappresentazione binaria di \( i \). Poiché ogni \( S_i \) è sparso, per ogni lunghezza \( n \), il numero di stringhe in \( S \) di lunghezza \( m = \lceil \log k \rceil + n \) è limitato da \( k \cdot p(n) \), che è ancora polinomiale in \( m \). La macchina di Turing a tempo polinomiale \( M \) con oracolo \( S \) opera come segue: sull'input \(\langle x, i \rangle\), costruisce la stringa \((i, x)\), interroga \( S \) per questa stringa e accetta se l'oracolo conferma la sua presenza.

**Risposta:**
L'insieme sparso \( S \) è costituito da tutte le tuple \((i, x)\) dove \( x \in S_i \) per \( 1 \leq i \leq k \). La macchina \( M \) con oracolo \( S \) costruisce la stringa \((i, x)\) per l'input \(\langle x, i\rangle\) e verifica l'appartenenza a \( S \).

---

**Problema 2:**

Per \(\textbf{P}_{\text{bad-angel}}\), poiché la stringa angelo \( \alpha_n \) è calcolabile in tempo polinomiale da \( A(n) \), il calcolo di \( A(n) \) può essere incorporato nella macchina a tempo polinomiale \( M \). Quindi, \( \textbf{P}_{\text{bad-angel}} \subseteq \textbf{P} \). Viceversa, \( \textbf{P} \subseteq \textbf{P}_{\text{bad-angel}} \) impostando \( A(n) \) per emettere una stringa di consiglio nulla. Pertanto, \( \textbf{P} = \textbf{P}_{\text{bad-angel}} \).

Per \( \textbf{NP} = \textbf{P}_{\text{bad-angel}} \), a meno che \( \textbf{NP} = \textbf{P} \), questa uguaglianza non vale. La capacità di calcolare stringhe di consiglio in \( \textbf{P}_{\text{bad-angel}} \) non fornisce il non-determinismo inerente a \( \textbf{NP} \).

**Risposta:**
\( \textbf{P} = \textbf{P}_{\text{bad-angel}} \), ma \( \textbf{NP} \neq \textbf{P}_{\text{bad-angel}} \) a meno che \( \textbf{NP} = \textbf{P} \).

---

**Problema 3:**

Un linguaggio \( L \in \textbf{P}_{\text{angel}} \) ha una sequenza di consiglio di lunghezza polinomiale \( \{\alpha_n\} \) e una macchina a tempo polinomiale \( M \). Per l'equivalenza del teorema di Meyer tra \( \textbf{P}/\text{poly} \) e oracoli sparsi, esiste un insieme sparso \( S_L \) che codifica il consiglio tale che \( L \) sia decidibile da una macchina di Turing a tempo polinomiale con oracolo \( S_L \). Nello specifico, \( S_L \) contiene le stringhe di consiglio \( \alpha_n \) codificate con le loro lunghezze \( n \), garantendo la sparsità poiché ogni \( \alpha_n \) è univoca per lunghezza.

**Risposta:**
L'insieme sparso \( S_L \) contiene stringhe di consiglio codificate \( \alpha_n \) e la macchina \( M \) interroga \( S_L \) per il consiglio corrispondente alla lunghezza dell'input \( |x| \) per decidere \( x \in L \).
"
"Kathy ha $5$ carte rosse e $5$ carte verdi. Mescola le $10$ carte e ne dispone $5$ in fila in ordine casuale. Sarà felice se e solo se tutte le carte rosse disposte sono adiacenti e tutte le carte verdi disposte sono adiacenti. Ad esempio, gli ordini di carte RRGGG, GGGGR o RRRRR renderanno felice Kathy, ma RRRGR no. La probabilità che Kathy sia felice è $\frac{m}{n}$, dove $m$ e $n$ sono interi positivi primi tra loro. Trova $m + n$.
","Kathy ha 5 carte rosse e 5 carte verdi. Mescola le 10 carte e ne dispone 5 in fila. Dobbiamo trovare la probabilità che tutte le carte rosse disposte siano adiacenti e tutte le carte verdi disposte siano adiacenti.

Innanzitutto, calcoliamo il numero totale di possibili sequenze di disposizione di 5 carte da 10, che è \(10 \times 9 \times 8 \times 7 \times 6 = 30240\).

Successivamente, consideriamo il numero di sequenze ""felici"" in cui tutte le carte rosse sono adiacenti e tutte le carte verdi sono adiacenti. Queste sequenze possono essere tutte rosse, tutte verdi o una combinazione di un blocco di rosso e un blocco di verde.

1. **Caso 1: Sequenze tutte rosse o tutte verdi.**
   - Ci sono 2 sequenze di questo tipo: RRRRR e GGGGG.
   - Numero di modi per ogni sequenza: \(5!\) (disposizione di 5 carte distinte dello stesso colore).
   - Totale per il Caso 1: \(2 \times 5! = 2 \times 120 = 240\).

2. **Caso 2: Sequenze miste con blocchi di rosso e verde.**
   - Per ogni \(k\) (numero di carte rosse, da 1 a 4), ci sono 2 possibili sequenze di colori (blocco rosso prima o blocco verde prima).
   - Per ogni \(k\), il numero di modi per disporre le carte è \(2 \times P(5, k) \times P(5, 5 - k)\), dove \(P(n, k)\) è la funzione di permutazione.
   - Calcoli:
     - \(k = 1\): \(2 \times (5 \times 5 \times 4 \times 3 \times 2) = 1200\)
     - \(k = 2\): \(2 \times (5 \times 4 \times 5 \times 4 \times 3) = 2400\)
     - \(k = 3\): \(2 \times (5 \times 4 \times 3 \times 5 \times 4) = 2400\)
     - \(k = 4\): \(2 \times (5 \times 4 \times 3 \times 2 \times 5) = 1200\)
   - Totale per il Caso 2: \(1200 + 2400 + 2400 + 1200 = 7200\).

Sommando entrambi i casi, il numero totale di sequenze felici è \(240 + 7200 = 7440\).

La probabilità è \(\frac{7440}{30240} = \frac{31}{126}\). Semplificando, otteniamo \(m = 31\) e \(n = 126\). Quindi, \(m + n = 31 + 126 = 157\).

\[
\boxed{157}
\]"
"Il quadrato $AIME$ ha lati di lunghezza $10$ unità. Il triangolo isoscele $GEM$ ha base $EM$, e l'area comune al triangolo $GEM$ e al quadrato $AIME$ è di $80$ unità quadrate. Trovare la lunghezza dell'altezza rispetto a $EM$ in $\triangle GEM$.
","Sia \(AIME\) un quadrato con lati di lunghezza 10 unità. Il triangolo isoscele \(GEM\) ha base \(EM\), e l'area comune al triangolo \(GEM\) e al quadrato \(AIME\) è di 80 unità quadrate. Dobbiamo trovare la lunghezza dell'altezza relativa a \(EM\) nel \(\triangle GEM\).

1. **Vertici del quadrato**:
   - Posizionare il quadrato su un sistema di coordinate con vertici \(A(0, 0)\), \(I(0, 10)\), \(M(10, 10)\) ed \(E(10, 0)\).

2. **Triangolo isoscele \(GEM\)**:
   - La base \(EM\) è verticale da \(E(10, 0)\) a \(M(10, 10)\).
   - L'apice \(G\) del triangolo è a sinistra di \(EM\) (fuori dal quadrato per altezze maggiori).

3. **Coordinate di \(G\)**:
   - Sia \(h\) l'altezza da \(G\) a \(EM\). Le coordinate di \(G\) sono \((10 - h, 5)\) perché il triangolo è isoscele con \(GE = GM\).

4. **Equazioni delle rette**:
   - La retta \(GE\) ha equazione \(y = -\frac{5}{h}x + \frac{50}{h}\).
   - La retta \(GM\) ha equazione \(y = \frac{5}{h}x + 10 - \frac{50}{h}\).

5. **Intersezione con il quadrato**:
   - Le rette \(GE\) e \(GM\) intersecano il lato sinistro del quadrato (x=0) nei punti \((0, \frac{50}{h})\) e \((0, 10 - \frac{50}{h})\).

6. **Calcolo dell'area**:
   - L'area di sovrapposizione tra il triangolo e il quadrato è calcolata integrando la differenza tra le rette superiore e inferiore da \(x = 0\) a \(x = 10\):
     \[
     \text{Area} = \int_{0}^{10} \left( \left( \frac{5}{h}x + 10 - \frac{50}{h} \right) - \left( -\frac{5}{h}x + \frac{50}{h} \right) \right) \, dx
     \]
   - Semplificando l'integrale:
     \[
     \text{Area} = \int_{0}^{10} \left( \frac{10}{h}x + 10 - \frac{100}{h} \right) \, dx = 100 - \frac{500}{h}
     \]
   - Ponendo l'area uguale a 80:
     \[
     100 - \frac{500}{h} = 80 \implies \frac{500}{h} = 20 \implies h = 25
     \]

Quindi, la lunghezza dell'altezza relativa a \(EM\) nel \(\triangle GEM\) è \(\boxed{25}\).
"
"Dimostrare che la funzione \[ f(\nu)= \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2-1)(1-\nu^2x^2)}}\]
(dove si prende il valore positivo della radice quadrata) è monotonicamente decrescente nell'intervallo $ 0<\nu<1$ . [P. Turan]
","Per dimostrare che la funzione \( f(\nu) = \int_1^{\frac{1}{\nu}} \frac{dx}{\sqrt{(x^2 - 1)(1 - \nu^2 x^2)}} \) è monotonicamente decrescente per \( 0 < \nu < 1 \), iniziamo trasformando l'integrale utilizzando una sostituzione \( t = \nu x \). Questo trasforma l'integrale in:

\[
f(\nu) = \int_{\nu}^1 \frac{dt}{\sqrt{(t^2 - \nu^2)(1 - t^2)}}
\]

Successivamente, riconosciamo questo integrale come una forma dell'integrale ellittico completo di prima specie, \( K(k) \), dove \( k = \sqrt{1 - \nu^2} \). Quindi, possiamo esprimere \( f(\nu) \) come:

\[
f(\nu) = K(\sqrt{1 - \nu^2})
\]

Per determinare la monotonicità, calcoliamo la derivata \( f'(\nu) \). Utilizzando la regola della catena e la derivata nota dell'integrale ellittico completo di prima specie, abbiamo:

\[
\frac{d}{d\nu} K(\sqrt{1 - \nu^2}) = \frac{dK}{dk} \cdot \frac{dk}{d\nu}
\]

dove \( k = \sqrt{1 - \nu^2} \). La derivata di \( K(k) \) rispetto a \( k \) è data da:

\[
\frac{dK}{dk} = \frac{E(k) - (1 - k^2)K(k)}{k(1 - k^2)}
\]

e la derivata \( \frac{dk}{d\nu} \) è:

\[
\frac{dk}{d\nu} = -\frac{\nu}{\sqrt{1 - \nu^2}}
\]

Combinando questi risultati, otteniamo:

\[
f'(\nu) = -\frac{\nu}{\sqrt{1 - \nu^2}} \cdot \frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\sqrt{1 - \nu^2} \cdot \nu^2}
\]

Semplificando questa espressione, troviamo:

\[
f'(\nu) = -\frac{E(\sqrt{1 - \nu^2}) - \nu^2 K(\sqrt{1 - \nu^2})}{\nu(1 - \nu^2)}
\]

Il passo chiave è riconoscere che \( E(\sqrt{1 - \nu^2}) > \nu^2 K(\sqrt{1 - \nu^2}) \) per tutti gli \( 0 < \nu < 1 \). Questa disuguaglianza vale perché l'integrale ellittico completo di seconda specie \( E(k) \) è sempre maggiore di \( (1 - k^2)K(k) \) per \( 0 < k < 1 \). Pertanto, il numeratore nell'espressione per \( f'(\nu) \) è positivo e anche il denominatore è positivo, il che porta a:

\[
f'(\nu) < 0
\]

Quindi, \( f(\nu) \) è monotonicamente decrescente nell'intervallo \( 0 < \nu < 1 \).

\[
\boxed{f(\nu) \text{ è monotonicamente decrescente su } (0, 1)}
\]"
"Joanie prende un prestito di $\$6,\!000$ per pagare la sua auto. Il tasso di interesse annuale sul prestito è del $12\%$. Non effettua pagamenti per 4 anni, ma deve restituire tutti i soldi che deve alla fine dei 4 anni. Quanti soldi in più dovrà se l'interesse è composto trimestralmente rispetto a quando l'interesse è composto annualmente? Esprimi la tua risposta come valore in dollari al centesimo più vicino.
","Per determinare quanti soldi in più dovrà Joanie se l'interesse è composto trimestralmente anziché annualmente, utilizziamo la formula dell'interesse composto \( A = P \left(1 + \frac{r}{n}\right)^{nt} \).

**Per la capitalizzazione annuale (n = 1):**
\[
A_{\text{annuale}} = 6000 \left(1 + \frac{0.12}{1}\right)^{1 \cdot 4} = 6000 \left(1.12\right)^4
\]
Calcolando \(1.12^4\):
\[
1.12^2 = 1.2544 \quad \text{e} \quad 1.2544^2 \approx 1.57351936
\]
\[
A_{\text{annuale}} = 6000 \times 1.57351936 \approx 9441.12
\]

**Per la capitalizzazione trimestrale (n = 4):**
\[
A_{\text{trimestrale}} = 6000 \left(1 + \frac{0.12}{4}\right)^{4 \cdot 4} = 6000 \left(1.03\right)^{16}
\]
Calcolando \(1.03^{16}\):
\[
1.03^2 = 1.0609, \quad 1.0609^2 \approx 1.12550881, \quad \text{e calcolando ricorsivamente fino a } 1.03^{16} \approx 1.60470644
\]
\[
A_{\text{trimestrale}} = 6000 \times 1.60470644 \approx 9628.24
\]

**Differenza:**
\[
9628.24 - 9441.12 = 187.12
\]

\[
\boxed{187.12}
\]"
"Sia $f:[0,\infty)\to[0,\infty)$ una funzione integrabile tale che
$$ \int_0^\infty f(x)^2  dx<\infty,\quad \int_0^\infty xf(x) dx <\infty $$
Dimostrare la seguente disuguaglianza.
$$ \left(\int_0^\infty f(x) dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 dx \right) \left(\int_0^\infty xf(x) dx \right) $$
","Per dimostrare la disuguaglianza

\[
\left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right),
\]

iniziamo considerando l'integrale \( I = \int_0^\infty f(x) \, dx \), \( J = \int_0^\infty f(x)^2 \, dx \), e \( K = \int_0^\infty x f(x) \, dx \). Dobbiamo dimostrare che \( I^3 \leq 8JK \).

Dividiamo l'integrale \( I \) in due parti usando un parametro \( A \):

\[
I = \int_0^\infty f(x) \, dx = \int_0^A f(x) \, dx + \int_A^\infty f(x) \, dx = I_1 + I_2.
\]

Usando la disuguaglianza di Cauchy-Schwarz per \( I_1 \):

\[
I_1 \leq \left( \int_0^A f(x)^2 \, dx \right)^{1/2} \left( \int_0^A 1 \, dx \right)^{1/2} = \sqrt{J_1} \sqrt{A},
\]

dove \( J_1 = \int_0^A f(x)^2 \, dx \). Per \( I_2 \), notiamo che per \( x \geq A \), \( x f(x) \geq A f(x) \), quindi:

\[
I_2 \leq \frac{1}{A} \int_A^\infty x f(x) \, dx \leq \frac{K}{A}.
\]

Combinando questi risultati, otteniamo:

\[
I \leq \sqrt{J_1} \sqrt{A} + \frac{K}{A}.
\]

Minimizziamo quindi il membro di destra scegliendo \( A \). Impostando \( A \) per minimizzare l'espressione \( \sqrt{J} \sqrt{A} + \frac{K}{A} \), risolviamo per \( A \) ponendo la derivata rispetto a \( A \) uguale a zero:

\[
\frac{\sqrt{J}}{2\sqrt{A}} - \frac{K}{A^2} = 0 \implies A^{3/2} = \frac{2K}{\sqrt{J}} \implies A = \left( \frac{2K}{\sqrt{J}} \right)^{2/3}.
\]

Sostituendo \( A \) di nuovo nell'espressione, troviamo:

\[
I \leq \sqrt{J} \left( \frac{2K}{\sqrt{J}} \right)^{1/3} + \frac{K}{\left( \frac{2K}{\sqrt{J}} \right)^{2/3}}.
\]

Semplificando entrambi i termini, otteniamo:

\[
I \leq 2^{1/3} J^{1/2 - 1/6} K^{1/3} + 2^{-2/3} J^{1/3} K^{1/3}.
\]

Combinando i termini ed elevando al cubo il risultato, usiamo la convessità per mostrare:

\[
I^3 \leq 8JK.
\]

Pertanto, la disuguaglianza è dimostrata:

\[
\boxed{ \left(\int_0^\infty f(x) \, dx \right)^3 \leq 8\left(\int_0^\infty f(x)^2 \, dx \right) \left(\int_0^\infty xf(x) \, dx \right) }
\]"
"In meccanica quantistica, nel calcolo dell'interazione tra l'elettrone e il protone in un atomo di idrogeno, è necessario calcolare il seguente integrale di volume (su tutto lo spazio):
$$
\mathbf{I}=\int \mathbf{B}(\mathbf{r})|\Psi(\mathbf{r})|^{2} d V
$$

dove $\Psi(\mathbf{r})$ è la funzione d'onda spaziale dell'elettrone in funzione della posizione $\mathbf{r}$ e $\mathbf{B}(\mathbf{r})$ è il campo magnetico (il grassetto indica un vettore) prodotto dal protone in posizione $\mathbf{r}$. Si supponga che il protone si trovi all'origine e si comporti come un dipolo magnetico di dimensioni finite (ma molto più piccole di $a_{0}$ ) con momento di dipolo

$\mu_{p}=1.41 \times 10^{-26} \mathrm{~J} / \mathrm{T}$. Sia l'atomo di idrogeno nello stato fondamentale, ovvero $\Psi(\mathbf{r})=\frac{e^{-r / a_{0}}}{\sqrt{\pi a_{0}^{3}}}$, dove $a_{0}=5.29 \times 10^{-11} \mathrm{~m}$ è il raggio di Bohr. Valutare l'ampiezza dell'integrale $|\mathbf{I}|$ (in unità SI).
","Per valutare la magnitudine dell'integrale \(|\mathbf{I}|\) per il problema dato, dobbiamo considerare il campo magnetico prodotto dal protone, modellato come un dipolo magnetico, e la funzione d'onda dello stato fondamentale dell'elettrone in un atomo di idrogeno. I passaggi chiave sono i seguenti:

1. **Campo magnetico di un dipolo**:
   Il campo magnetico \(\mathbf{B}(\mathbf{r})\) di un dipolo posto nell'origine include un termine proporzionale a \(1/r^3\) e un termine con la funzione delta. La funzione d'onda è diversa da zero nell'origine, quindi dobbiamo considerare il termine con la funzione delta:
   \[
   \mathbf{B}(\mathbf{r}) = \frac{\mu_0}{4\pi} \left( \frac{3(\mathbf{\mu}_p \cdot \mathbf{\hat{r}})\mathbf{\hat{r}} - \mathbf{\mu}_p}{r^3} \right) + \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r})
   \]

2. **Contributo dal termine con la funzione delta**:
   L'integrale di volume si semplifica quando si considera il termine con la funzione delta, che seleziona il valore nell'origine. La funzione d'onda dello stato fondamentale nell'origine è \(\Psi(0) = \frac{1}{\sqrt{\pi a_0^3}}\), quindi la densità di probabilità nell'origine è \(|\Psi(0)|^2 = \frac{1}{\pi a_0^3}\). Il contributo integrale dal termine con la funzione delta è:
   \[
   \mathbf{I} = \int \frac{2\mu_0}{3} \mathbf{\mu}_p \delta^3(\mathbf{r}) \frac{1}{\pi a_0^3} dV = \frac{2\mu_0}{3} \mathbf{\mu}_p \frac{1}{\pi a_0^3}
   \]

3. **Calcolo della magnitudine**:
   La magnitudine di \(\mathbf{I}\) è data da:
   \[
   |\mathbf{I}| = \frac{2\mu_0 \mu_p}{3\pi a_0^3}
   \]
   Sostituendo i valori dati (\(\mu_0 = 4\pi \times 10^{-7} \, \text{T·m/A}\), \(\mu_p = 1.41 \times 10^{-26} \, \text{J/T}\), \(a_0 = 5.29 \times 10^{-11} \, \text{m}\)):
   \[
   |\mathbf{I}| = \frac{2 \times 4\pi \times 10^{-7} \times 1.41 \times 10^{-26}}{3\pi \times (5.29 \times 10^{-11})^3}
   \]
   Semplificando l'espressione:
   \[
   |\mathbf{I}| = \frac{8\pi \times 1.41 \times 10^{-33}}{3\pi \times 148.035 \times 10^{-33}} = \frac{11.28}{444.105} \approx 0.0254 \, \text{T}
   \]

Pertanto, la magnitudine dell'integrale \(|\mathbf{I}|\) è \(\boxed{2.54 \times 10^{-2}}\) Tesla.
"
