prompt,output
"뇌세포가 움직일 수 있나요? 여기서 움직임이란 장거리 이동(가급적 뇌 내에서만)을 의미합니다.
","질문은 비교적 광범위하며, 뇌가 뉴런뿐만 아니라 신경교세포(지지 세포) 및 유사 분열 전 신경 줄기세포로 구성된다는 점을 고려해야 합니다. 또한, 중요한 동료 과학자들이 지적했듯이, 발달 단계는 매우 중요합니다. 발달 중인 배아 뇌는 성인 뇌와 매우 다르기 때문입니다.
그러나 다양한 출판물을 검토한 결과, 질문에 대한 답은 실제로 매우 간단합니다. 예, 뇌 세포는 이동합니다.
성인 뇌에서 신경교세포는 뇌에서 이동합니다 (Klämbt, 2009). 신경교세포는 다양한 기능에 관여하지만, 이동하는 신경교세포의 주목할 만한 예는 올리고덴드로사이트입니다. 이 세포는 비교적 먼 거리를 이동하여 표적 축삭돌기를 찾아 감싸 절연 수초를 형성합니다 (Tsai and Miller, 2002).
신경 줄기세포는 부상에 반응하여 먼 거리를 이동하며 (Imitola et al., 2004), 특정 줄기세포 위치 (예: 해마 및 뇌실하 영역)에서 다른 영역으로 이동합니다 (Clarke, 2003).
유사 분열 후이지만 분화되지 않은 뉴런은 성인 뇌에서 물고기 (Scott et al., 2012)와 포유류 및 비인간 영장류에서도 이동하는 것으로 나타났습니다 (Sawada et al., 2011).
당연히 신경교세포, 줄기세포 및 뉴런은 배아 발생 중에도 이동합니다. 특히, 말초 기능을 수행하도록 예정된 유사 분열 후 뉴런은 신경능선에서 표적 위치까지 비교적 먼 거리를 이동해야 합니다 (신경과학, 2판, 뉴런 이동).
"
"컴퓨터 시스템 강의에서 MIPS 프로세서를 소개받았습니다. 학기 동안 (재)개발되었고 실제로 이해하기가 매우 쉬웠습니다. RISC 설계를 사용하는데, 즉 기본 명령어가 규칙적으로 인코딩되어 있고 배선을 단순하게 유지하기 위해 그 수가 적습니다.

CISC는 다른 철학을 따른다고 언급되었습니다. x86 명령어 집합을 간략하게 살펴봤는데 충격을 받았습니다. 그렇게 복잡한 명령어 세트를 사용하는 프로세서를 누가 만들고 싶어 할지 상상조차 할 수 없습니다!

그래서 프로세서 시장의 상당 부분이 CISC 아키텍처를 사용하는 데에는 분명 좋은 이유가 있을 것이라고 생각합니다. 그 이유는 무엇입니까?
","일반적인 역사적 추세가 있습니다.
옛날에는 메모리가 작았기 때문에 자연히 프로그램도 작았습니다. 또한 컴파일러가 그다지 똑똑하지 않았고 많은 프로그램이 어셈블리어로 작성되었으므로 적은 수의 명령어를 사용하여 프로그램을 작성할 수 있다는 것이 좋은 일이라고 여겨졌습니다. 명령어 파이프라인은 단순했으며 프로세서는 한 번에 하나의 명령어를 가져와 실행했습니다. 프로세서 내부의 기계 장치는 어차피 매우 복잡했습니다. 명령어를 디코딩하는 것은 큰 부담으로 느껴지지 않았습니다.
1970년대에 CPU 및 컴파일러 설계자는 그렇게 복잡한 명령어를 갖는 것이 결국 그다지 도움이 되지 않는다는 것을 깨달았습니다. 이러한 명령어가 실제로 효율적인 프로세서를 설계하기 어려웠고 이러한 명령어를 실제로 활용하는 컴파일러를 설계하기 어려웠습니다. 칩 면적과 컴파일러 복잡성은 범용 레지스터와 같은 보다 일반적인 추구에 더 잘 사용되었습니다. RISC에 대한 Wikipedia 기사에서 이를 더 자세히 설명합니다.
MIPS는 최고의 RISC 아키텍처이므로 자주 교육됩니다.
x86 제품군은 약간 다릅니다. 원래 매우 작은 메모리(큰 명령어를 위한 공간이 없음)가 있는 시스템을 위한 CISC 아키텍처였으며 여러 차례의 후속 버전을 거쳤습니다. 오늘날의 x86 명령어 세트는 CISC이기 때문에 복잡할 뿐만 아니라 80386, 펜티엄, 가능하면 x86_64 프로세서를 사용한 8088이기 때문에 복잡합니다.
오늘날 RISC와 CISC는 더 이상 과거처럼 흑백으로 명확하게 구분되지 않습니다. 대부분의 CPU 아키텍처는 다양한 회색 음영으로 진화했습니다.
RISC 측면에서 일부 최신 MIPS 변형은 불균일한 인코딩으로 곱셈 및 나눗셈 명령어를 추가했습니다. ARM 프로세서는 더욱 복잡해졌습니다. 많은 프로세서에는 CPU에서 JVM 명령어를 실행하기 위한 Jazelle은 물론 ""원래"" 32비트 명령어 외에도 Thumb라는 16비트 명령어 세트가 있습니다. 최신 ARM 프로세서에는 멀티미디어 애플리케이션을 위한 SIMD 명령어도 있습니다. 결국 일부 복잡한 명령어는 효과가 있습니다.
CISC 측면에서 최근의 모든 프로세서는 어느 정도 RISC 내부입니다. 이러한 복잡한 매크로 명령어를 정의하는 마이크로코드가 있습니다. 프로세서의 엄청난 복잡성으로 인해 파이프라이닝 및 예측 실행 등을 포함하여 많은 수의 구성 요소가 있는 RISC 설계조차도 각 모델의 설계에 몇 년이 걸립니다.
그렇다면 가장 빠른 프로세서가 왜 여전히 CISC 외부로 남아 있을까요? x86(32비트 및 64비트) 제품군의 경우 부분적으로는 역사적 호환성 때문입니다. 그러나 그것이 전부는 아닙니다. 2000년대 초 Intel은 Itanium 아키텍처를 추진하려고 했습니다. Itanium은 복잡한 명령어의 극단적인 예입니다(그렇다고 해서 CISC는 아닙니다. 해당 설계는 EPIC으로 불렸습니다). 심지어는 명령어를 순서대로 실행한다는 옛날 방식의 아이디어도 없애고 모든 명령어가 다음 장벽까지 병렬로 실행됩니다. Itanium이 성공하지 못한 이유 중 하나는 Intel이든 다른 곳이든 누구도 이를 제대로 컴파일할 수 없었기 때문입니다. 이제 x86_64와 같이 좋은 오래된 순차적 프로세서가 바로 우리가 이해하는 것입니다.
"
"명령줄에서 CSV와 같은 테이블 형식 파일을 가로 및 세로 스크롤을 지원하며 볼 수 있으면 좋겠습니다.
","물론입니다. csvkit을 살펴보십시오. 이 도구는 UNIX 철학을 따르는 도구 모음을 제공합니다(작고, 단순하며, 단일 목적을 가지며, 결합될 수 있음을 의미).

다음은 무료 Maxmind World Cities 데이터베이스에서 독일에서 인구가 가장 많은 상위 10개 도시를 추출하여 콘솔에서 읽을 수 있는 형식으로 결과를 표시하는 예제입니다.
```$ csvgrep -e iso-8859-1 -c 1 -m ""de"" worldcitiespop | csvgrep -c 5 -r ""\d+""
  | csvsort -r -c 5 -l | csvcut -c 1,2,4,6 | head -n 11 | csvlook
-----------------------------------------------------
|  line_number | Country | AccentCity | Population  |
-----------------------------------------------------
|  1           | de      | Berlin     | 3398362     |
|  2           | de      | Hamburg    | 1733846     |
|  3           | de      | Munich     | 1246133     |
|  4           | de      | Cologne    | 968823      |
|  5           | de      | Frankfurt  | 648034      |
|  6           | de      | Dortmund   | 594255      |
|  7           | de      | Stuttgart  | 591688      |
|  8           | de      | Düsseldorf | 577139      |
|  9           | de      | Essen      | 576914      |
|  10          | de      | Bremen     | 546429      |
-----------------------------------------------------
```

Csvkit은 Python으로 작성되었기 때문에 플랫폼에 독립적입니다.
"
"Slater형 궤도함수(STO)는 원자 및 분자 양자 계산에서 Gaussian형 궤도함수(GTO)보다 정확하다고 여겨지는데, 여러 이유 중 하나는 $r \to \infty$일 때 $e^{-\alpha r}$로 감쇠하기 때문입니다. 그러나 GTO는 계산하기 더 쉽기 때문에 더 많이 사용됩니다. GTO는 $e^{-\alpha r^2}$로 감쇠하므로, Gaussian 감쇠 거동을 보상하기 위해 GTO 기저 집합에 확산 함수를 추가하는 것이 적절할 때가 있습니다.
또한, 정확한 수소 원자 파동함수는 지수적으로 감쇠하므로 STO에 대한 동기가 됩니다.
저는 자유 공간에서 원자와 분자에 대한 슈뢰딩거 방정식을 풀기 위한 유일한 경계 조건은 파동함수가 $r \to \infty$일 때 0으로 가는 것이며, 그렇게 감쇠하는 방식에 대한 사전 요구 사항은 없다는 것을 이해합니다.
제 질문은 다음과 같습니다. 모든 원자 및 분자 파동함수가 $r \to \infty$일 때 $e^{-\alpha r}$처럼 감쇠한다고 믿을 만한 이론적(ab initio) 및/또는 실험적 근거가 있습니까?
","이 질문에 대해 이론적인 측면에서 답변하겠습니다. 지수 함수적 거동은 단순히 슈뢰딩거 방정식에서 비롯됩니다. 단일 전자 슈뢰딩거 방정식을 고려하십시오.
$$
(-\frac{1}{2}\nabla^2 + V(\mathbf{r}))\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
핵으로부터 매우 멀리 떨어진 공간 지점에서 $V(\mathbf{r})\approx 0$이므로 점근적 해는 다음과 같습니다.
$$
-\frac{1}{2}\nabla^2\psi(\mathbf{r}) = \epsilon\psi(\mathbf{r}), \epsilon < 0
$$
이 미분 방정식은 다음과 같은 형태의 기본 해를 가집니다.
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{-2\epsilon}\mathbf{k}\cdot\mathbf{r}}
$$
여기서 $\mathbf{k}$는 단위 벡터입니다. 따라서 $\psi(\mathbf{r})$의 실제 점근적 거동은 이러한 기본 해의 선형 결합입니다. 선형 결합은 지수 함수에 다항식 계수를 가져올 수 있지만 지수는 변경하지 않습니다. 따라서 우리는 지수 함수적 거동을 증명했을 뿐만 아니라 올바른 지수 $\alpha = \sqrt{-2\epsilon}$도 유도했습니다. 다전자, 비상호작용 시스템의 경우 전체 감쇠율은 가장 느리게 감쇠하는 궤도 함수, 즉 HOMO에 의해 결정됩니다.
물론 실제 파동 함수는 다전자 슈뢰딩거 방정식으로만 설명할 수 있습니다. 그러나 우리는 등가 Kohn-Sham 시스템에서 작업하여 Kohn-Sham 파동 함수가 Kohn-Sham HOMO 에너지에 의해 주어진 속도로 감쇠한다는 것을 보여줄 수 있습니다. Janak의 정리에 따르면 Kohn-Sham HOMO 에너지는 정확한 시스템의 이온화 포텐셜의 음수입니다. 이를 확인하기 위해 N개의 동일한 비상호작용 분자 앙상블을 고려하십시오. 앙상블에서 전자 하나를 제거하고 구멍이 모든 분자 사이에서 균등하게 비편재화되도록 하면 $N\to +\infty$일 때 전자 제거는 분자의 전자 밀도 (따라서 각 분자의 Kohn-Sham 포텐셜)에 미미한 영향을 미칩니다. 따라서 Kohn-Sham 프레임워크 하에서 우리는 HOMO에 해당하는 에너지 레벨에서 전자가 취해지고 해밀토니안이 이 과정에서 변경되지 않기 때문에 이러한 전자를 제거하는 데 $-\epsilon_{\mathrm{HOMO}}$의 에너지가 든다는 것을 알 수 있습니다 (HOMO가 앙상블의 HOMO를 가리키는지 분자의 HOMO를 가리키는지는 중요하지 않습니다. 왜냐하면 그들의 궤도 에너지들은 같기 때문입니다). 반면에 실제 시스템의 관점에서 볼 때 에너지 비용은 분자 중 하나의 첫 번째 이온화 에너지 $I$와 같습니다. 따라서 $\epsilon_{\mathrm{HOMO}} = -I$를 얻습니다. 즉, Kohn-Sham 파동 함수는 다음과 같이 감쇠합니다 (다시 가능한 다항식 계수까지; 이 다항식 계수의 정확한 결정은 훨씬 더 어려운 문제입니다).
$$
\psi(\mathbf{r}) = Ce^{-\sqrt{2I}\mathbf{k}\cdot\mathbf{r}}
$$
Kohn-Sham 파동 함수는 가상이지만 그 밀도는 실제 다전자 밀도와 같으며 실제 밀도가 Kohn-Sham 밀도와 동일한 점근적 거동을 갖기 위해서는 실제 파동 함수가 Kohn-Sham 파동 함수와 동일한 점근적 거동을 가져야 합니다. 증명 완료.
"
"""git reset""이 하는 일을 설명해주세요. 저는 SVN 경험만 있어서 Git은 완전히 새로운 패러다임입니다. Mercurial은 쉽게 이해했지만, Git은 훨씬 기술적인 것 같습니다.

""git reset""이 ""hg revert""와 비슷한 것 같지만, 차이점이 있는 것 같습니다. 다음 사항에 대한 자세한 설명을 포함해주세요.

* 옵션 ""--hard"", ""--soft"" 및 ""--merge"";
* ""HEAD^"" 및 ""HEAD~1""과 같이 ""HEAD""와 함께 사용하는 이상한 표기법;
* 구체적인 사용 사례 및 워크플로우;
* 작업 복사본, ""HEAD"" 및 전반적인 스트레스 수준에 미치는 영향.
","```git```에서 다음을 기억하세요.

* ```HEAD``` 포인터: 현재 작업 중인 커밋을 가리킵니다.
* 작업 트리: 시스템 상의 파일 상태를 나타냅니다.
* 스테이징 영역 (인덱스라고도 함): 변경 사항을 ""스테이징""하여 나중에 함께 커밋할 수 있도록 합니다.

> 다음 내용에 대한 자세한 설명을 포함해 주세요.
  ```--hard```, ```--soft``` 및 ```--merge```;

위험도가 증가하는 순서대로:

* ```--soft```는 ```HEAD```만 이동하고 스테이징 영역이나 작업 트리는 건드리지 않습니다.
* ```--mixed```는 ```HEAD```를 이동하고 스테이징 영역을 업데이트하지만 작업 트리는 업데이트하지 않습니다.
* ```--merge```는 ```HEAD```를 이동하고, 스테이징 영역을 리셋하며, 작업 트리의 모든 변경 사항을 새로운 작업 트리에 이동시키려고 시도합니다.
* ```--hard```는 ```HEAD```를 이동하고 스테이징 영역과 작업 트리를 새로운 ```HEAD```에 맞게 조정하여 모든 것을 버립니다.

> 구체적인 사용 사례 및 워크플로우;

* ```--soft```는 다른 커밋으로 이동하여 ""자리를 잃지 않고"" 작업을 수정하고 싶을 때 사용합니다. 이 기능이 필요한 경우는 매우 드뭅니다.

```
# git reset --soft 예시
touch foo                            // 파일을 추가하고 변경 사항을 적용합니다.
git add foo                          //
git commit -m ""잘못된 커밋 메시지""   // 커밋... 젠장, 실수다!
git reset --soft HEAD^               // 이전 커밋으로 돌아가서 수정합니다.
git commit -m ""올바른 커밋""          // 됐어, 이제 맞다.
```
--

* ```--mixed``` (기본값)는 다른 커밋에서 상황이 어떻게 보이는지 확인하고 싶지만 이미 가지고 있는 변경 사항을 잃고 싶지 않을 때 사용합니다.
* ```--merge```는 새로운 위치로 이동하고 이미 가지고 있는 변경 사항을 작업 트리에 통합하고 싶을 때 사용합니다.
* ```--hard```는 모든 것을 지우고 새로운 커밋에서 깨끗하게 시작하고 싶을 때 사용합니다.
"
"```java
import java.io.FileInputStream;
import java.io.IOException;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class MD5Checksum {

    public static String getMD5Checksum(String filename) throws IOException, NoSuchAlgorithmException {
        try (FileInputStream fis = new FileInputStream(filename)) {

            MessageDigest md = MessageDigest.getInstance(""MD5"");

            byte[] buffer = new byte[8192];
            int bytesRead;

            while ((bytesRead = fis.read(buffer)) != -1) {
                md.update(buffer, 0, bytesRead);
            }

            byte[] digest = md.digest();

            // Convert byte array to a hexadecimal string
            StringBuilder sb = new StringBuilder();
            for (byte b : digest) {
                sb.append(String.format(""%02x"", b));
            }

            return sb.toString();
        }
    }

    public static void main(String[] args) {
        if (args.length != 1) {
            System.err.println(""Usage: java MD5Checksum <filename>"");
            return;
        }

        String filename = args[0];

        try {
            String checksum = getMD5Checksum(filename);
            System.out.println(""MD5 checksum for "" + filename + "": "" + checksum);
        } catch (IOException e) {
            System.err.println(""Error reading file: "" + e.getMessage());
        } catch (NoSuchAlgorithmException e) {
            System.err.println(""MD5 algorithm not available: "" + e.getMessage());
        }
    }
}
```
","com.google.common.hash API는 다음을 제공합니다.

* 모든 해시 함수를 위한 통합된 사용자 친화적인 API
* 시드 가능한 32비트 및 128비트 Murmur3 구현
* md5(), sha1(), sha256(), sha512() 어댑터, 코드 한 줄만 변경하여 이들 간에 전환 가능, 그리고 머머.
* 어떤 알고리즘을 사용할지 신경 쓰지 않을 때를 위한 goodFastHash(int bits)
* HashCode 인스턴스를 위한 일반 유틸리티 (예: combineOrdered / combineUnordered)

사용자 가이드(IO 설명, 해싱 설명)를 읽어보세요.
사용 사례에 따라 ```Files.hash()```는 파일의 다이제스트 값을 계산하여 반환합니다.
예를 들어 SHA-1 다이제스트 계산 (MD5 다이제스트를 얻으려면 SHA-1을 MD5로 변경)
```HashCode hc = Files.asByteSource(file).hash(Hashing.sha1());
""SHA-1: "" + hc.toString();
```
crc32는 md5보다 훨씬 빠르므로 암호학적으로 안전한 체크섬이 필요하지 않은 경우 crc32를 사용하십시오. 또한 md5는 무차별 대입 공격에 너무 취약하므로 비밀번호 저장 등에 사용해서는 안됩니다. 비밀번호에는 bcrypt, scrypt 또는 sha-256을 대신 사용하십시오.
해시를 이용한 장기적인 보호를 위해 머클 서명 체계는 보안을 강화하며 유럽 위원회의 지원을 받는 양자 후 암호 연구 그룹은 양자 컴퓨터에 대한 장기적인 보호를 위해 이 암호 기술의 사용을 권장했습니다(참고).
crc32는 다른 해시 함수보다 충돌률이 더 높습니다.
위에서 언급된 Files.hash의 어떤 부분이 Files.hash를 다루지 않습니까?
"
"민주당이 국경 장벽에 대해 가지는 주요 반대 의견은 무엇인가요?
","민주당이 국경 장벽 건설에 반대하는지는 명확하지 않습니다(귀하의 출처에서는 필요에 따라 국경 장벽/울타리에 찬성한다고 합니다). 그보다는 지금까지 제시된 국경 전체 장벽 계획 일부에 반대하는 것으로 보입니다.

최근 지출 법안에 국경 장벽 자금 지원이 포함될 것이라는 보도에 대응하여 5명의 민주당 상원 의원은 비용, 효율성 및 건설의 법적 문제에 대한 우려를 표명하는 서한을 발표했습니다.

저희는 또한 멕시코와의 남부 국경을 따라 매우 비싼 새 장벽과 ""추방 부대""에 대한 자금 지원을 포함하려는 노력이 있을 수 있다는 보고에 대해 우려하고 있습니다. 초당파 전문가에 따르면 제안된 새로운 국경 장벽은 마일당 2,500만 달러까지 들 수 있으며 의회나 국토안보부에서 해결하지 못한 상당한 문제를 야기합니다. 첫째, 많은 전문가들은 그러한 국경 장벽이 효과가 없을 것이라고 믿습니다. 둘째, 행정부가 국경 장벽을 건설할 계획이 없다는 실질적인 우려가 있습니다. 예를 들어, 행정부는 1) 사유지 소유자와 아메리카 원주민 부족으로부터 토지를 취득하기 위해 토지 수용권 및 기타 절차를 사용하는 방법, 2) 장벽 설계 방법, 3) 장벽 위치 지정 방법, 4) 장벽 건설 방법, 5) 대통령이 멕시코에 강요하겠다고 분명하고 반복적으로 약속한 점을 감안하여 멕시코에 장벽 비용을 지불하도록 요구하는 방법을 자세히 설명하지 않았습니다. 마지막으로, 국경 주를 대표하는 민주당 및 공화당 의원들은 장벽 건설에 반대합니다. 이러한 우려 사항과 기타 우려 사항을 고려할 때 공화당이 의회를 통제하는 다수파에게 트럼프 대통령 행정부 초기에 정부 폐쇄를 막기 위해 필요한 필수 통과 세출 법안에 그러한 자금 지원을 포함하도록 강요하는 것은 부적절하다고 생각합니다.
[...]
찰스 슈머 상원 의원
리처드 더빈 상원 의원
패티 머레이 상원 의원
데비 스태버노 상원 의원
패트릭 리히 상원 의원

이 서한에 따르면 전체 국경 장벽에 대한 그들의 주요 반대 이유는 현재 비용 편익 비율과 건설을 위해 미국인으로부터 토지를 취득하는 법적 문제입니다. 이러한 반대는 민주당에만 해당하는 것은 아닐 수 있습니다.
"
"```
ffmpeg \
  -i input.flv \
  -ss 00:00:00.000 \
  -pix_fmt rgb24 \
  -r 10 \
  -s 320x240 \
  -t 00:00:10.000 \
  output.gif
```
이 명령어로 비디오를 GIF 파일로 변환했을 때 품질이 매우 낮습니다. GIF 변환 품질을 높이는 방법이 있을까요?
","중간 이미지 파일을 피하고 싶다면 LordNeckBeard가 제공한 명령어를 ```ffmpeg```와 ImageMagick의 ```convert``` 사이에 파이프로 연결하여 중간 파일이 필요 없도록 할 수 있습니다.
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - output.gif
```
```-f image2pipe```는 ffmpeg에게 비디오를 이미지로 분할하여 파이프로 내보내기에 적합하게 만들라고 지시하고, ```-vcodec ppm```은 출력 형식을 ppm으로 지정합니다(어떤 이유에서인지 형식이 png인 경우 ```convert```가 파이프에서 모든 이미지를 읽지 않거나 ffmpeg가 모든 이미지를 출력하지 않음). 두 명령어의 ```-```는 각각 출력 및 입력에 파이프가 사용됨을 나타냅니다.
파일을 저장하지 않고 결과를 최적화하려면 ```convert```의 출력을 두 번째 ```convert``` 명령어로 파이프할 수 있습니다.
```ffmpeg -i input.flv -vf scale=320:-1 -r 10 -f image2pipe -vcodec ppm - | convert -delay 10 -loop 0 - gif:- | convert -layers Optimize - output.gif
```
```gif:-```는 ```convert```에게 출력을 gif 형식 데이터로 파이프하라고 지시하고 ```-layers Optimize```는 두 번째 ```convert```에게 ```optimize-frame``` 및 ```optimize-transparancy``` 메서드를 수행하라고 지시합니다(ImageMagick 애니메이션 최적화 소개 참조). ```-layers Optimize```의 출력이 항상 더 작은 파일 크기를 제공하는 것은 아니므로 먼저 최적화 없이 gif로 변환하여 확인하는 것이 좋습니다.
이 전체 과정 동안 모든 것이 메모리에 있으므로 이미지가 매우 큰 경우 충분한 메모리가 필요할 수 있습니다.
"
"Tor는 TCP 연결만 처리할 수 있지만, DNS는 UDP 프로토콜입니다. Tor는 어떻게 TCP 기반 네트워크를 통해 DNS 요청을 라우팅합니까? 왜 동일한 접근 방식을 사용하여 모든 UDP 트래픽을 Tor를 통해 라우팅할 수 없는 것입니까?
","일반적으로 Tor 클라이언트는 DNS 요청을 직접 수행하지 않습니다. Tor 네트워크를 통해 연결을 열 때 일반적으로 클라이언트(SOCKS 포트에서)에 호스트 이름과 포트(예: www.example.com:80)에 연결하도록 요청합니다.
Tor 클라이언트는 회로를 생성하면 해당 호스트 이름과 포트를 RELAY_BEGIN 셀에 담아 출구 노드로 보냅니다.
그러면 출구 노드는 DNS 확인을 수행하고 대상에 대한 TCP 연결을 엽니다. 연결이 설정되면 클라이언트에게 연결이 열렸음을 알리고 정보 제공 목적으로 해당 호스트 이름이 해석된 주소도 알려줍니다.
Tor는 이 외에도 ""원격 DNS 확인"" 프로토콜을 내장하고 있습니다. 이 지원을 통해 클라이언트는 IPv4 또는 IPv6 주소와 같은 특정 리소스 유형을 쿼리할 수 있습니다. 여기서도 출구 노드는 실제 DNS 패킷을 보내고 받는 작업을 수행하고 응답을 클라이언트에 릴레이하기만 합니다.
클라이언트에서 실제로 라우팅되는 UDP 패킷은 없습니다.
또한 Tor에 더 완전한 기능을 갖춘 DNS 지원을 추가하려는 제안도 있습니다. 아직 구현되지는 않았습니다.

Tor 프로토콜 사양 참조

* 6.2. 스트림 열기 및 데이터 전송
* 6.4. 원격 호스트 이름 검색
* 제안 219 - Tor에서 전체 DNS 및 DNSSEC 확인 지원"
"이 코드가 ```NullPointerException```을 발생시키는 이유는 무엇인가?
```java
public static void main(String[] args) throws Exception {
    Boolean b = true ? returnsNull() : false; // 이 라인에서 NPE 발생.
    System.out.println(b);
}
public static Boolean returnsNull() {
    return null;
}
```
반면에 이것은 그렇지 않다.
```java
public static void main(String[] args) throws Exception {
    Boolean b = true ? null : false;
    System.out.println(b); // null
}
```
해결책은 ```false``` 를 ```Boolean.FALSE```로 대체하여 ```null```이 ```boolean```으로 언박싱되는 것을 방지하는 것이다. 그러나 그것이 질문이 아니다. 질문은 왜 그런가? 이 동작, 특히 두 번째 경우를 확인하는 JLS의 참조가 있는가?
","차이점은 ```returnsNull()``` 메서드의 명시적 타입이 컴파일 시 표현식의 정적 타입에 영향을 미친다는 것입니다.
```E1: `true ? returnsNull() : false` - boolean (두 번째 피연산자를 boolean으로 자동 언박싱)
E2: `true ? null : false` - Boolean (세 번째 피연산자를 Boolean으로 자동 박싱)
```
Java Language Specification, section 15.25 Conditional Operator ? :를 참조하십시오.

* E1의 경우, 두 번째 및 세 번째 피연산자의 타입은 각각 ```Boolean``` 및 ```boolean```이므로 다음 조항이 적용됩니다.

  두 번째 및 세 번째 피연산자 중 하나가 boolean 타입이고 다른 하나가 Boolean 타입인 경우 조건식의 타입은 boolean입니다.

표현식의 타입이 ```boolean```이므로 두 번째 피연산자는 ```boolean```으로 강제 변환되어야 합니다. 컴파일러는 두 번째 피연산자(```returnsNull()```의 반환 값)를 ```boolean``` 타입으로 만들기 위해 자동 언박싱 코드를 삽입합니다. 물론 이것은 런타임에 ```null```이 반환될 때 NPE를 발생시킵니다.
* E2의 경우, 두 번째 및 세 번째 피연산자의 타입은 각각 `````` (E1에서와 같은 ```Boolean```이 아님!) 및 ```boolean```이므로 특정 타입 조항이 적용되지 않습니다(모두 읽어보세요!). 따라서 최종 ""그렇지 않으면"" 조항이 적용됩니다.

  그렇지 않으면 두 번째 및 세 번째 피연산자는 각각 S1 및 S2 타입입니다. T1을 박싱 변환을 S1에 적용한 결과로 나타나는 타입이라고 하고, T2를 박싱 변환을 S2에 적용한 결과로 나타나는 타입이라고 합시다. 조건식의 타입은 캡처 변환(§5.1.10)을 lub(T1, T2)(§15.12.2.7)에 적용한 결과입니다.


* S1 == `````` (§4.1 참조)
* S2 == ```boolean```
* T1 == box(S1) == `````` (§5.1.7의 박싱 변환 목록의 마지막 항목 참조)
* T2 == box(S2) == `Boolean`
* lub(T1, T2) == ```Boolean```

따라서 조건식의 타입은 ```Boolean```이고 세 번째 피연산자는 ```Boolean```으로 강제 변환되어야 합니다. 컴파일러는 세 번째 피연산자(```false```)에 대해 자동 박싱 코드를 삽입합니다. 두 번째 피연산자는 ```E1```에서와 같은 자동 언박싱이 필요하지 않으므로 ```null```이 반환될 때 자동 언박싱 NPE가 발생하지 않습니다.


다음 질문은 유사한 타입 분석이 필요합니다.
Java 조건 연산자 ?: 결과 타입
"
